Date,Open,High,Low,Close,Volume,Adj Close
2016-01-04,12.55,13.0,12.49,12.49,2500,11.669929
2016-01-05,12.69,12.77,12.69,12.743,1200,11.906318
2016-01-06,12.89,12.89,12.648,12.72,12100,11.884829
2016-01-07,12.58,12.58,12.45,12.45,1300,11.632556
2016-01-08,12.4,12.49,12.27,12.27,5200,11.464375
2016-01-11,12.36,12.36,12.283,12.283,1100,11.476521
2016-01-12,12.27,12.27,12.13,12.189,4900,11.388693
2016-01-13,12.25,12.25,11.908,11.908,1700,11.126143
2016-01-14,11.91,12.03,11.847,12.03,7500,11.240132
2016-01-15,11.9,11.9,11.54,11.59,1100,10.829022
2016-01-19,11.67,11.67,11.586,11.586,1400,10.825285
2016-01-20,11.59,11.59,11.03,11.467,3800,10.714098
2016-01-21,11.56,11.56,11.4,11.41,2300,10.66084
2016-01-22,11.75,11.75,11.75,11.75,2100,10.978517
2016-01-25,11.83,11.83,11.618,11.618,4400,10.855184
2016-01-26,11.783,11.84,11.783,11.84,8400,11.062608
2016-01-27,11.882,11.882,11.84,11.84,400,11.062608
2016-01-28,11.84,11.84,11.84,11.84,0,11.062608
2016-01-29,11.84,11.84,11.84,11.84,0,11.062608
2016-02-01,11.97,12.22,11.961,12.19,2500,11.490557
2016-02-02,11.901,12.09,11.901,12.09,1500,11.396296
2016-02-03,12.27,12.27,12.26,12.27,2700,11.565968
2016-02-04,12.34,12.34,12.34,12.34,500,11.631951
2016-02-05,12.26,12.26,12.26,12.26,300,11.556542
2016-02-08,11.9,11.9,11.9,11.9,1400,11.217197
2016-02-09,11.84,11.84,11.64,11.64,900,10.972116
2016-02-10,11.8,11.8,11.79,11.79,1300,11.113509
2016-02-11,11.432,11.51,11.43,11.43,2500,10.774166
2016-02-12,11.614,11.67,11.614,11.617,900,10.950435
2016-02-16,11.81,11.85,11.75,11.849,3000,11.169124
2016-02-17,12.0,12.117,12.0,12.117,400,11.421746
2016-02-18,12.117,12.117,12.117,12.117,0,11.421746
2016-02-19,12.21,12.25,12.18,12.18,800,11.481132
2016-02-22,12.33,12.43,12.33,12.43,1400,11.716787
2016-02-23,12.4,12.4,12.38,12.38,1000,11.669656
2016-02-24,12.24,12.38,12.23,12.38,1300,11.669656
2016-02-25,12.38,12.38,12.38,12.38,0,11.669656
2016-02-26,12.66,12.7,12.66,12.7,700,11.971295
2016-02-29,12.65,12.66,12.62,12.62,1100,11.895885
2016-03-01,12.62,12.62,12.58,12.58,2700,11.85818
2016-03-02,12.74,12.779,12.651,12.779,3500,12.045762
2016-03-03,12.82,12.93,12.82,12.93,1900,12.188098
2016-03-04,12.95,13.009,12.95,13.009,900,12.262565
2016-03-07,13.0,13.08,13.0,13.08,700,12.329491
2016-03-08,13.01,13.02,12.989,12.989,2400,12.243713
2016-03-09,12.98,13.011,12.98,13.011,300,12.26445
2016-03-10,13.01,13.03,12.969,13.03,10300,12.28236
2016-03-11,12.85,13.24,12.85,13.24,8700,12.48031
2016-03-14,13.28,13.28,13.108,13.159,3300,12.403959
2016-03-15,13.054,13.054,13.054,13.054,1300,12.304983
2016-03-16,13.308,13.308,13.308,13.308,900,12.544409
2016-03-17,13.36,13.54,13.36,13.524,4800,12.748015
2016-03-18,13.54,13.61,13.505,13.546,4100,12.768752
2016-03-21,13.69,13.69,13.52,13.55,6400,12.772524
2016-03-22,13.6,13.606,13.5,13.56,4800,12.78195
2016-03-23,13.56,13.56,13.38,13.38,8500,12.612278
2016-03-24,13.39,13.39,13.21,13.38,2700,12.612278
2016-03-28,13.66,13.92,13.319,13.52,6600,12.744245
2016-03-29,13.53,13.53,13.44,13.5,2200,12.725392
2016-03-30,13.7,13.86,13.683,13.683,5200,12.897892
2016-03-31,13.79,13.92,13.725,13.824,2200,13.030802
2016-04-01,13.84,13.84,13.67,13.79,10400,12.998752
2016-04-04,13.8,13.81,13.59,13.59,2500,12.810228
2016-04-05,13.669,13.669,13.669,13.669,200,12.884695
2016-04-06,13.674,13.674,13.598,13.6,1900,12.819655
2016-04-07,13.63,13.72,13.59,13.59,2300,12.810228
2016-04-08,13.7,13.785,13.64,13.72,8600,12.932769
2016-04-11,13.87,13.87,13.76,13.784,3700,12.993097
2016-04-12,13.9,13.9,13.84,13.9,3500,13.102441
2016-04-13,14.02,14.02,13.805,13.9,3100,13.102441
2016-04-14,13.98,13.98,13.95,13.97,1300,13.168425
2016-04-15,14.02,14.08,13.98,14.08,9800,13.272113
2016-04-18,14.12,14.12,13.98,14.05,7300,13.243834
2016-04-19,14.26,14.3,14.2,14.3,11400,13.47949
2016-04-20,14.36,14.36,14.12,14.199,16000,13.384285
2016-04-21,14.3,14.3,13.711,14.0,12300,13.196703
2016-04-22,13.74,13.9,13.74,13.838,6500,13.043999
2016-04-25,14.0,14.0,13.946,13.946,2300,13.145802
2016-04-26,14.0,14.0,13.99,13.99,7200,13.187277
2016-04-27,14.0,14.0,13.991,14.0,10600,13.196703
2016-04-28,14.05,14.15,14.025,14.12,7800,13.309818
2016-04-29,14.1,14.12,13.99,13.99,3000,13.187277
2016-05-02,13.99,14.07,13.95,14.065,3800,13.347657
2016-05-03,13.91,13.96,13.77,13.83,4700,13.124643
2016-05-04,13.97,14.07,13.945,14.07,4400,13.352402
2016-05-05,14.14,14.15,14.01,14.12,6400,13.399852
2016-05-06,14.12,14.22,14.12,14.2,4200,13.475772
2016-05-09,14.4,14.49,14.24,14.49,9300,13.750981
2016-05-10,14.85,14.85,14.29,14.54,19800,13.798431
2016-05-11,14.61,14.61,14.478,14.549,1800,13.806972
2016-05-12,14.56,14.58,14.398,14.55,10800,13.807922
2016-05-13,14.75,14.75,14.396,14.51,9200,13.769962
2016-05-16,14.5,14.63,14.49,14.58,23600,13.836391
2016-05-17,14.59,14.59,14.311,14.456,10500,13.718716
2016-05-18,14.27,14.47,14.051,14.19,7900,13.466282
2016-05-19,14.05,14.05,13.94,14.0,3000,13.285972
2016-05-20,14.21,14.26,14.063,14.22,10800,13.494752
2016-05-23,14.32,14.32,14.02,14.205,9700,13.480517
2016-05-24,14.25,14.34,14.237,14.33,7700,13.599142
