Date,Open,High,Low,Close,Volume,Adj Close
2016-01-04,32.650002,33.740002,32.380001,32.380001,83300,32.380001
2016-01-05,31.9,33.029999,31.9,32.669998,67600,32.669998
2016-01-06,34.060001,34.400002,33.240002,33.830002,119400,33.830002
2016-01-07,35.799999,36.869999,34.66,36.77,170700,36.77
2016-01-08,35.75,37.759998,35.560001,37.610001,56100,37.610001
2016-01-11,37.189999,38.23,36.470001,36.82,74700,36.82
2016-01-12,35.740002,36.959999,35.400002,35.669998,58100,35.669998
2016-01-13,34.810001,38.630001,34.810001,38.549999,123100,38.549999
2016-01-14,38.189999,39.41,35.48,36.299999,100400,36.299999
2016-01-15,39.560001,40.619999,38.439999,39.439999,159900,39.439999
2016-01-19,38.009998,40.299999,37.869999,39.220001,100600,39.220001
2016-01-20,41.189999,43.259998,39.09,40.18,198600,40.18
2016-01-21,39.599998,41.0,37.830002,39.529999,125500,39.529999
2016-01-22,37.099998,37.549999,36.240002,36.240002,80500,36.240002
2016-01-25,36.639999,37.68,35.889999,37.57,71600,37.57
2016-01-26,37.049999,37.549999,36.169998,36.439999,41500,36.439999
2016-01-27,37.310001,39.110001,36.709999,38.68,95900,38.68
2016-01-28,37.02,38.369999,36.73,37.209999,93100,37.209999
2016-01-29,36.580002,36.580002,33.560001,33.599998,86500,33.599998
2016-02-01,34.18,34.18,32.810001,33.169998,74300,33.169998
2016-02-02,33.82,35.240002,33.540001,35.0,91600,35.0
2016-02-03,34.290001,36.66,34.279999,35.200001,121300,35.200001
2016-02-04,35.41,36.02,34.349998,34.939999,52600,34.939999
2016-02-05,35.279999,38.32,35.279999,37.990002,191700,37.990002
2016-02-08,40.189999,41.5,39.299999,39.610001,169500,39.610001
2016-02-09,41.009998,41.200001,38.509998,40.259998,162900,40.259998
2016-02-10,38.560001,40.0,37.720001,39.860001,108600,39.860001
2016-02-11,41.650002,41.650002,39.470001,40.09,151000,40.09
2016-02-12,38.91,39.849998,38.43,38.599998,94700,38.599998
2016-02-16,37.110001,37.799999,36.509998,36.509998,86400,36.509998
2016-02-17,35.790001,35.849998,34.0,34.209999,92700,34.209999
2016-02-18,33.970001,34.799999,33.77,34.650002,67100,34.650002
2016-02-19,35.139999,35.209999,34.330002,34.509998,68500,34.509998
2016-02-22,33.619999,33.619999,32.990002,33.150002,60600,33.150002
2016-02-23,33.68,34.860001,33.509998,34.77,58400,34.77
2016-02-24,36.0,36.369999,33.720001,33.790001,103900,33.790001
2016-02-25,33.73,34.299999,32.630001,32.630001,116800,32.630001
2016-02-26,32.290001,33.029999,32.009998,32.869999,57300,32.869999
2016-02-29,33.0,33.490002,32.099998,33.490002,34900,33.490002
2016-03-01,32.84,32.84,30.629999,30.639999,92700,30.639999
2016-03-02,30.73,31.059999,30.33,30.33,35800,30.33
2016-03-03,30.370001,30.99,30.34,30.370001,30300,30.370001
2016-03-04,30.16,30.629999,29.67,30.139999,53500,30.139999
2016-03-07,30.610001,31.23,30.290001,30.6,66600,30.6
2016-03-08,31.139999,31.5,30.450001,31.190001,41000,31.190001
2016-03-09,30.82,30.940001,30.370001,30.52,23500,30.52
2016-03-10,30.139999,31.49,29.6,30.5,81500,30.5
2016-03-11,29.68,29.77,29.040001,29.040001,65500,29.040001
2016-03-14,29.389999,29.389999,28.82,28.940001,18300,28.940001
2016-03-15,29.190001,29.41,28.59,28.66,26200,28.66
2016-03-16,28.709999,28.709999,27.5,27.690001,77900,27.690001
2016-03-17,27.860001,27.860001,27.08,27.24,44000,27.24
2016-03-18,27.030001,27.450001,26.98,27.190001,27600,27.190001
2016-03-21,27.440001,27.440001,26.91,26.91,10900,26.91
2016-03-22,27.25,27.25,26.58,26.85,40100,26.85
2016-03-23,26.98,27.5,26.98,27.299999,33300,27.299999
2016-03-24,27.67,27.77,27.139999,27.190001,26600,27.190001
2016-03-28,27.09,27.440001,27.09,27.32,11200,27.32
2016-03-29,27.459999,27.530001,26.0,26.049999,47800,26.049999
2016-03-30,25.629999,25.74,25.190001,25.610001,74400,25.610001
2016-03-31,25.690001,25.83,25.379999,25.74,75800,25.74
2016-04-01,26.25,26.299999,25.120001,25.120001,63100,25.120001
2016-04-04,25.129999,25.549999,25.09,25.440001,16300,25.440001
2016-04-05,25.969999,26.27,25.790001,26.17,19800,26.17
2016-04-06,26.1,26.389999,25.42,25.459999,57100,25.459999
2016-04-07,25.92,26.74,25.92,26.49,49400,26.49
2016-04-08,26.059999,26.73,25.780001,26.530001,40900,26.530001
2016-04-11,26.219999,26.68,25.719999,26.67,31000,26.67
2016-04-12,26.639999,27.059999,26.120001,26.190001,51500,26.190001
2016-04-13,25.93,25.93,25.290001,25.32,41400,25.32
2016-04-14,25.42,25.540001,25.139999,25.360001,16100,25.360001
2016-04-15,25.4,25.74,25.299999,25.639999,56200,25.639999
2016-04-18,25.9,25.940001,25.33,25.35,52900,25.35
2016-04-19,25.1,26.15,25.1,25.709999,28300,25.709999
2016-04-20,25.77,25.85,25.290001,25.59,48100,25.59
2016-04-21,25.690001,26.030001,25.58,25.85,23600,25.85
2016-04-22,27.059999,27.620001,26.74,27.15,112600,27.15
2016-04-25,27.459999,27.639999,27.209999,27.26,63800,27.26
2016-04-26,26.940001,27.77,26.940001,27.59,57300,27.59
2016-04-27,28.700001,28.93,27.91,28.01,172700,28.01
2016-04-28,27.93,29.26,27.559999,29.09,121400,29.09
2016-04-29,29.440001,30.379999,29.35,29.77,121000,29.77
2016-05-02,29.6,29.959999,29.049999,29.15,82500,29.15
2016-05-03,29.690001,30.16,29.57,29.9,60200,29.9
2016-05-04,30.33,30.450001,29.959999,30.200001,56600,30.200001
2016-05-05,30.01,30.35,29.76,30.23,50100,30.23
2016-05-06,30.549999,30.549999,29.540001,29.540001,75000,29.540001
2016-05-09,29.42,29.540001,29.110001,29.51,143700,29.51
2016-05-10,29.219999,29.299999,28.35,28.389999,90900,28.389999
2016-05-11,28.549999,28.93,28.110001,28.91,40900,28.91
2016-05-12,28.59,29.709999,28.59,29.17,64000,29.17
2016-05-13,29.23,29.5,28.709999,29.459999,24900,29.459999
2016-05-16,29.26,29.360001,28.1,28.360001,26900,28.360001
2016-05-17,28.549999,29.4,28.15,29.18,35200,29.18
2016-05-18,29.379999,29.5,28.32,28.9,75700,28.9
2016-05-19,29.09,29.940001,29.09,29.389999,53300,29.389999
2016-05-20,28.9,28.940001,28.190001,28.469999,47400,28.469999
2016-05-23,28.32,28.6,28.1,28.6,9700,28.6
2016-05-24,28.15,28.15,26.799999,26.9,66600,26.9
2016-05-25,26.52,26.629999,26.110001,26.35,39300,26.35
2016-05-26,26.27,26.48,26.0,26.1,31500,26.1
2016-05-27,26.15,26.17,25.68,25.690001,38900,25.690001
2016-05-31,25.57,25.98,25.49,25.57,33800,25.57
2016-06-01,25.82,25.92,25.58,25.780001,26200,25.780001
2016-06-02,26.34,26.450001,25.860001,25.889999,11900,25.889999
2016-06-03,25.99,26.34,25.9,26.09,21300,26.09
2016-06-06,25.98,25.99,25.66,25.83,20300,25.83
