Date,Open,High,Low,Close,Volume,Adj Close
2016-01-04,14.5,14.92,14.37,14.48,1500,14.48
2016-01-05,14.16,14.16,13.78,13.84,1700,13.84
2016-01-06,14.73,14.73,14.17,14.17,2500,14.17
2016-01-07,15.24,15.5,14.91,15.3,3300,15.3
2016-01-08,15.41,15.97,15.41,15.97,300,15.97
2016-01-11,17.41,17.41,16.41,16.41,800,16.41
2016-01-12,15.85,16.040001,15.85,15.89,2100,15.89
2016-01-13,16.200001,16.200001,16.18,16.18,400,16.18
2016-01-14,17.629999,17.629999,16.33,16.65,9600,16.65
2016-01-15,18.120001,18.66,17.76,18.209999,6200,18.209999
2016-01-19,20.82,20.82,17.9,18.299999,7900,18.299999
2016-01-20,18.969999,20.540001,18.52,18.92,7500,18.92
2016-01-21,18.73,18.73,18.559999,18.73,1200,18.73
2016-01-22,17.58,17.700001,16.98,16.98,2300,16.98
2016-01-25,17.16,17.16,16.780001,16.780001,400,16.780001
2016-01-26,17.23,17.370001,16.809999,16.809999,7600,16.809999
2016-01-27,16.93,17.42,16.42,17.42,2500,17.42
2016-01-28,16.93,16.93,16.92,16.92,700,16.92
2016-01-29,15.96,15.96,15.87,15.87,1400,15.87
2016-02-01,15.79,15.79,15.78,15.78,400,15.78
2016-02-02,16.07,16.68,16.07,16.629999,10700,16.629999
2016-02-03,16.43,17.0,16.389999,16.5,5400,16.5
2016-02-04,16.57,16.57,16.57,16.57,200,16.57
2016-02-05,17.59,18.0,17.59,17.709999,1100,17.709999
2016-02-08,18.809999,18.809999,18.809999,18.809999,300,18.809999
2016-02-09,19.27,19.299999,18.450001,18.459999,1900,18.459999
2016-02-10,18.43,18.93,18.43,18.93,9500,18.93
2016-02-11,20.209999,21.0,19.959999,19.959999,3100,19.959999
2016-02-12,19.959999,19.959999,19.959999,19.959999,900,19.959999
2016-02-16,19.959999,19.959999,19.959999,19.959999,0,19.959999
2016-02-17,18.610001,18.690001,18.190001,18.190001,26800,18.190001
2016-02-18,18.24,18.42,18.24,18.42,400,18.42
2016-02-19,18.02,18.02,17.870001,17.879999,1800,17.879999
2016-02-22,17.41,17.43,17.41,17.43,500,17.43
2016-02-23,17.309999,17.309999,17.309999,17.309999,100,17.309999
2016-02-24,18.15,18.15,17.959999,18.09,600,18.09
2016-02-25,17.51,17.51,16.940001,16.940001,2200,16.940001
2016-02-26,16.940001,16.940001,16.940001,16.940001,0,16.940001
2016-02-29,17.309999,17.309999,17.309999,17.309999,200,17.309999
2016-03-01,16.540001,16.540001,16.540001,16.540001,200,16.540001
2016-03-02,16.540001,16.540001,16.540001,16.540001,100,16.540001
2016-03-03,16.540001,16.540001,16.540001,16.540001,100,16.540001
2016-03-04,14.64,14.64,14.64,14.64,600,14.64
2016-03-07,14.91,14.91,14.91,14.91,100,14.91
2016-03-08,15.66,15.72,15.66,15.72,2000,15.72
2016-03-09,15.7,15.79,15.48,15.48,5500,15.48
2016-03-10,15.63,15.92,15.63,15.92,800,15.92
2016-03-11,14.83,14.83,14.51,14.51,600,14.51
2016-03-14,14.51,14.51,14.51,14.51,0,14.51
2016-03-15,14.59,14.59,14.49,14.54,2700,14.54
2016-03-16,13.9,13.9,13.9,13.9,600,13.9
2016-03-17,13.9,13.9,13.9,13.9,0,13.9
2016-03-18,13.76,13.76,13.76,13.76,900,13.76
2016-03-21,13.75,13.75,13.65,13.67,800,13.67
2016-03-22,13.55,13.55,13.32,13.32,2100,13.32
2016-03-23,13.66,13.66,13.66,13.66,500,13.66
2016-03-24,14.5,14.56,14.43,14.56,400,14.56
2016-03-28,14.01,14.01,14.01,14.01,600,14.01
2016-03-29,13.5,13.5,13.1,13.1,800,13.1
2016-03-30,12.79,12.79,12.39,12.47,6700,12.47
2016-03-31,12.5,12.66,12.46,12.66,1500,12.66
2016-04-01,12.68,12.68,12.49,12.49,500,12.49
2016-04-04,12.18,12.39,12.16,12.37,700,12.37
2016-04-05,13.12,13.16,13.12,13.13,3100,13.13
2016-04-06,13.17,13.17,13.17,13.17,300,13.17
2016-04-07,13.47,13.55,13.47,13.55,1000,13.55
2016-04-08,13.23,13.5,13.19,13.5,400,13.5
2016-04-11,13.45,13.45,13.45,13.45,500,13.45
2016-04-12,13.77,14.07,13.49,13.49,2200,13.49
2016-04-13,13.2,13.2,12.85,12.87,1000,12.87
2016-04-14,13.03,13.03,13.03,13.03,200,13.03
2016-04-15,12.94,12.94,12.86,12.93,1400,12.93
2016-04-18,12.48,12.48,11.73,11.74,8200,11.74
2016-04-19,11.83,12.12,11.83,12.12,400,12.12
2016-04-20,12.13,12.13,12.13,12.13,200,12.13
2016-04-21,12.45,12.62,12.45,12.62,1100,12.62
2016-04-22,12.91,12.91,12.66,12.66,900,12.66
