Date,Open,High,Low,Close,Volume,Adj Close
2016-01-04,24.52,24.52,23.639999,23.639999,7000,23.639999
2016-01-05,23.83,24.190001,23.83,24.190001,200,24.190001
2016-01-06,23.42,23.790001,23.42,23.790001,500,23.790001
2016-01-07,22.34,22.59,21.629999,21.629999,6300,21.629999
2016-01-08,22.68,22.68,21.620001,21.620001,4000,21.620001
2016-01-11,21.719999,21.719999,20.93,21.200001,3400,21.200001
2016-01-12,20.76,20.799999,20.76,20.799999,600,20.799999
2016-01-13,21.969999,21.969999,20.49,20.49,1700,20.49
2016-01-14,20.860001,21.299999,20.860001,21.299999,200,21.299999
2016-01-15,19.67,19.67,19.42,19.66,1400,19.66
2016-01-19,19.950001,19.950001,19.34,19.450001,4200,19.450001
2016-01-20,18.35,19.049999,18.34,19.049999,700,19.049999
2016-01-21,18.0,18.43,17.610001,17.610001,4000,17.610001
2016-01-22,18.67,18.950001,18.6,18.76,6400,18.76
2016-01-25,18.76,19.049999,18.18,18.18,5600,18.18
2016-01-26,17.98,18.83,17.98,18.83,2700,18.83
2016-01-27,18.98,19.76,18.98,19.299999,1800,19.299999
2016-01-28,19.99,20.0,19.15,20.0,1900,20.0
2016-01-29,21.57,22.92,21.459999,22.879999,9700,22.879999
2016-02-01,21.950001,23.08,21.950001,22.9,2300,22.9
2016-02-02,21.25,21.25,20.049999,20.049999,6000,20.049999
2016-02-03,20.940001,22.49,20.940001,22.49,3800,22.49
2016-02-04,23.5,24.76,23.5,24.110001,5000,24.110001
2016-02-05,23.030001,23.030001,22.950001,22.950001,400,22.950001
2016-02-08,22.440001,22.559999,21.93,22.049999,2400,22.049999
2016-02-09,21.1,21.49,21.08,21.49,800,21.49
2016-02-10,22.48,22.559999,22.34,22.549999,4600,22.549999
2016-02-11,21.01,21.25,20.6,20.6,600,20.6
2016-02-12,21.42,21.42,21.42,21.42,500,21.42
2016-02-16,21.77,21.790001,21.43,21.43,2000,21.43
2016-02-17,22.74,23.950001,22.540001,22.709999,5100,22.709999
2016-02-18,22.440001,22.559999,22.34,22.52,1100,22.52
2016-02-19,21.790001,22.83,21.790001,22.83,400,22.83
2016-02-22,24.379999,25.469999,24.379999,25.469999,8600,25.469999
2016-02-23,24.5,24.5,24.200001,24.200001,700,24.200001
2016-02-24,22.42,23.73,22.42,23.73,2100,23.73
2016-02-25,23.639999,23.639999,23.639999,23.639999,1000,23.639999
2016-02-26,24.200001,24.200001,24.200001,24.200001,900,24.200001
2016-02-29,24.09,24.440001,23.860001,23.860001,2300,23.860001
2016-03-01,25.209999,26.209999,25.209999,26.209999,3300,26.209999
2016-03-02,26.15,27.98,26.15,27.98,13400,27.98
2016-03-03,28.790001,31.76,28.709999,31.76,19700,31.76
2016-03-04,35.360001,36.009998,34.299999,35.220001,13400,35.220001
2016-03-07,34.310001,35.029999,34.139999,34.32,4300,34.32
2016-03-08,34.860001,35.610001,34.48,34.950001,5000,34.950001
2016-03-09,36.209999,36.560001,35.959999,35.990002,3500,35.990002
2016-03-10,35.720001,38.619999,35.290001,38.41,6900,38.41
2016-03-11,38.029999,38.650002,37.939999,38.290001,7100,38.290001
2016-03-14,38.259998,38.259998,36.439999,36.970001,5300,36.970001
