Date,Open,High,Low,Close,Volume,Adj Close
2016-01-04,15.43,15.5,15.29,15.4,5900,15.4
2016-01-05,15.2,15.2,15.07,15.17,23500,15.17
2016-01-06,15.17,15.27,15.16,15.27,15500,15.27
2016-01-07,15.49,15.72,15.44,15.69,18300,15.69
2016-01-08,15.49,15.64,15.46,15.64,12000,15.64
2016-01-11,15.45,15.56,15.44,15.46,20600,15.46
2016-01-12,15.48,15.5,15.38,15.45,21600,15.45
2016-01-13,15.45,15.54,15.45,15.51,27300,15.51
2016-01-14,15.54,15.63,15.45,15.48,33500,15.48
2016-01-15,15.73,15.8,15.62,15.63,62700,15.63
2016-01-19,15.5,15.69,15.5,15.61,51900,15.61
2016-01-20,15.6,15.67,15.54,15.55,30100,15.55
2016-01-21,15.37,15.57,15.33,15.55,86200,15.55
2016-01-22,15.35,15.38,15.25,15.29,27000,15.29
2016-01-25,15.4,15.45,15.37,15.45,30900,15.45
2016-01-26,15.39,15.46,15.39,15.46,2800,15.46
2016-01-27,15.53,15.59,15.46,15.58,7700,15.58
2016-01-28,15.59,15.77,15.59,15.77,46400,15.77
2016-01-29,15.46,15.46,15.33,15.41,34600,15.41
2016-02-01,15.48,15.59,15.48,15.53,36400,15.53
2016-02-02,15.61,15.65,15.53,15.58,15900,15.58
2016-02-03,15.78,16.25,15.76,16.18,36300,16.18
2016-02-04,16.42,16.48,16.32,16.43,38800,16.43
2016-02-05,16.26,16.32,16.139999,16.280001,18700,16.280001
2016-02-08,16.17,16.450001,16.16,16.389999,13100,16.389999
2016-02-09,16.719999,16.790001,16.59,16.68,13400,16.68
2016-02-10,16.559999,16.65,16.280001,16.639999,35400,16.639999
2016-02-11,16.82,16.889999,16.75,16.77,10100,16.77
2016-02-12,16.549999,16.57,16.450001,16.559999,3700,16.559999
2016-02-16,16.379999,16.379999,16.190001,16.219999,23200,16.219999
2016-02-17,16.219999,16.219999,16.16,16.18,1700,16.18
2016-02-18,16.07,16.15,16.01,16.07,4500,16.07
2016-02-19,15.97,16.200001,15.97,16.16,15100,16.16
2016-02-22,15.89,15.94,15.84,15.89,7900,15.89
2016-02-23,15.85,15.91,15.8,15.84,9700,15.84
2016-02-24,15.78,15.92,15.78,15.86,7600,15.86
2016-02-25,15.85,15.94,15.8,15.91,3400,15.91
2016-02-26,15.75,15.75,15.57,15.63,20100,15.63
2016-02-29,15.48,15.52,15.39,15.48,22400,15.48
2016-03-01,15.39,15.46,15.31,15.42,16500,15.42
2016-03-02,15.39,15.46,15.31,15.45,13400,15.45
2016-03-03,15.55,15.72,15.55,15.69,8600,15.69
2016-03-04,15.77,15.91,15.72,15.77,14300,15.77
2016-03-07,15.7,15.86,15.67,15.83,8800,15.83
2016-03-08,15.96,15.96,15.77,15.77,9600,15.77
2016-03-09,15.78,15.87,15.78,15.82,2400,15.82
2016-03-10,15.88,16.4,15.88,16.360001,8300,16.360001
2016-03-11,16.18,16.360001,16.15,16.26,4300,16.26
2016-03-14,16.129999,16.16,16.01,16.09,5500,16.09
2016-03-15,16.1,16.139999,16.02,16.110001,2200,16.110001
2016-03-16,16.02,16.459999,15.93,16.459999,9000,16.459999
2016-03-17,16.68,16.76,16.65,16.709999,45900,16.709999
2016-03-18,16.629999,16.639999,16.52,16.530001,11100,16.530001
2016-03-21,16.530001,16.530001,16.450001,16.469999,20100,16.469999
2016-03-22,16.379999,16.450001,16.360001,16.389999,6300,16.389999
2016-03-23,16.290001,16.309999,16.25,16.280001,2900,16.280001
2016-03-24,16.209999,16.280001,16.200001,16.280001,13800,16.280001
2016-03-28,16.370001,16.370001,16.33,16.34,1400,16.34
2016-03-29,16.35,16.65,16.34,16.65,28300,16.65
2016-03-30,16.629999,16.82,16.629999,16.73,8600,16.73
2016-03-31,16.950001,16.959999,16.860001,16.870001,4700,16.870001
2016-04-01,16.82,16.92,16.780001,16.870001,5300,16.870001
2016-04-04,16.92,16.959999,16.870001,16.93,27500,16.93
2016-04-05,16.799999,16.92,16.790001,16.889999,4800,16.889999
2016-04-06,16.860001,16.99,16.860001,16.92,22100,16.92
2016-04-07,16.799999,16.889999,16.799999,16.83,2600,16.83
2016-04-08,16.879999,16.940001,16.879999,16.91,5200,16.91
2016-04-11,16.940001,17.07,16.9,16.93,41700,16.93
2016-04-12,16.84,16.9,16.76,16.879999,3800,16.879999
2016-04-13,16.690001,16.690001,16.530001,16.549999,8700,16.549999
2016-04-14,16.540001,16.549999,16.469999,16.51,4700,16.51
2016-04-15,16.540001,16.66,16.540001,16.549999,4700,16.549999
2016-04-18,16.66,16.709999,16.610001,16.639999,10900,16.639999
2016-04-19,16.85,16.85,16.82,16.84,3500,16.84
2016-04-20,16.709999,16.709999,16.610001,16.610001,1700,16.610001
2016-04-21,16.76,16.76,16.559999,16.57,2800,16.57
2016-04-22,16.49,16.49,16.35,16.4,8700,16.4
2016-04-25,16.42,16.540001,16.42,16.49,2400,16.49
2016-04-26,16.629999,16.65,16.530001,16.57,2200,16.57
2016-04-27,16.629999,16.68,16.540001,16.629999,2800,16.629999
2016-04-28,16.639999,16.76,16.6,16.75,11500,16.75
2016-04-29,17.02,17.08,16.99,17.059999,16500,17.059999
2016-05-02,17.08,17.290001,17.08,17.25,20900,17.25
2016-05-03,17.32,17.35,17.17,17.18,8200,17.18
2016-05-04,17.200001,17.209999,17.139999,17.15,4700,17.15
2016-05-05,16.93,16.969999,16.84,16.879999,12300,16.879999
2016-05-06,16.92,16.950001,16.83,16.85,2700,16.85
2016-05-09,16.889999,16.889999,16.85,16.870001,1800,16.870001
2016-05-10,16.83,16.83,16.799999,16.82,4200,16.82
2016-05-11,16.9,17.01,16.9,16.940001,3900,16.940001
2016-05-12,16.879999,16.92,16.77,16.799999,3800,16.799999
2016-05-13,16.66,16.66,16.51,16.610001,11700,16.610001
2016-05-16,16.690001,16.690001,16.6,16.66,11800,16.66
2016-05-17,16.700001,16.700001,16.67,16.67,2800,16.67
2016-05-18,16.5,16.530001,16.34,16.35,5600,16.35
2016-05-19,16.299999,16.33,16.25,16.280001,22800,16.280001
2016-05-20,16.4,16.4,16.299999,16.309999,1300,16.309999
2016-05-23,16.209999,16.309999,16.209999,16.309999,18700,16.309999
2016-05-24,16.120001,16.17,16.08,16.09,3500,16.09
2016-05-25,16.08,16.18,16.07,16.15,3400,16.15
2016-05-26,16.309999,16.309999,16.18,16.219999,3000,16.219999
2016-05-27,16.139999,16.139999,16.0,16.040001,12600,16.040001
2016-05-31,16.17,16.17,16.040001,16.049999,2800,16.049999
2016-06-01,16.129999,16.24,16.129999,16.24,1300,16.24
2016-06-02,16.190001,16.190001,16.08,16.139999,4800,16.139999
2016-06-03,16.52,16.700001,16.52,16.700001,12600,16.700001
2016-06-06,16.719999,16.76,16.65,16.73,10400,16.73
2016-06-07,16.76,16.76,16.68,16.709999,1700,16.709999
2016-06-08,16.799999,16.889999,16.799999,16.84,39500,16.84
2016-06-09,16.639999,16.639999,16.52,16.620001,8000,16.620001
2016-06-10,16.540001,16.540001,16.389999,16.43,5500,16.43
2016-06-13,16.42,16.530001,16.41,16.49,6700,16.49
2016-06-14,16.23,16.299999,16.23,16.24,4000,16.24
2016-06-15,16.25,16.540001,16.25,16.360001,6700,16.360001
2016-06-16,16.139999,16.360001,16.030001,16.35,20100,16.35
2016-06-17,16.43,16.51,16.379999,16.389999,20500,16.389999
2016-06-20,16.639999,16.68,16.51,16.51,6000,16.51
2016-06-21,16.5,16.5,16.360001,16.4,6400,16.4
2016-06-22,16.52,16.57,16.49,16.49,12000,16.49
2016-06-23,16.76,16.76,16.65,16.75,27000,16.75
2016-06-24,15.67,16.15,15.61,15.85,53600,15.85
2016-06-27,15.63,15.75,15.56,15.63,44100,15.63
2016-06-28,15.83,15.84,15.75,15.84,27500,15.84
2016-06-29,15.95,15.96,15.91,15.96,7800,15.96
2016-06-30,15.87,15.93,15.72,15.86,4500,15.86
2016-07-01,16.030001,16.040001,15.94,16.030001,7000,16.030001
2016-07-05,16.09,16.09,15.78,15.8,12400,15.8
2016-07-06,15.8,15.91,15.72,15.91,1100,15.91
2016-07-07,15.83,15.84,15.75,15.75,7000,15.75
2016-07-08,15.75,15.8,15.7,15.8,10000,15.8
2016-07-11,15.69,15.78,15.69,15.76,1800,15.76
2016-07-12,15.81,15.88,15.78,15.79,5000,15.79
2016-07-13,15.81,15.92,15.81,15.85,8800,15.85
2016-07-14,15.96,15.96,15.87,15.93,7900,15.93
2016-07-15,15.85,15.85,15.76,15.76,5500,15.76
2016-07-18,15.79,15.84,15.77,15.78,7200,15.78
2016-07-19,15.67,15.67,15.6,15.66,7900,15.66
2016-07-20,15.62,15.62,15.55,15.62,15200,15.62
2016-07-21,15.6,15.65,15.55,15.59,6800,15.59
2016-07-22,15.6,15.63,15.44,15.47,5000,15.47
2016-07-25,15.55,15.58,15.55,15.58,1300,15.58
2016-07-26,15.54,15.57,15.5,15.52,5100,15.52
2016-07-27,15.59,15.7,15.49,15.7,7200,15.7
2016-07-28,15.81,15.88,15.77,15.82,12500,15.82
2016-07-29,16.0,16.120001,16.0,16.120001,8200,16.120001
2016-08-01,15.99,16.110001,15.99,16.059999,8200,16.059999
2016-08-02,16.129999,16.26,16.129999,16.17,14600,16.17
2016-08-03,16.040001,16.09,15.95,15.95,3500,15.95
2016-08-04,15.95,15.95,15.91,15.92,2200,15.92
2016-08-05,15.77,15.77,15.68,15.76,1500,15.76
2016-08-08,15.82,15.83,15.8,15.82,900,15.82
2016-08-09,15.76,15.88,15.76,15.88,1900,15.88
2016-08-10,16.08,16.08,16.059999,16.059999,600,16.059999
2016-08-11,16.059999,16.059999,15.92,15.97,1000,15.97
2016-08-12,16.15,16.15,16.01,16.01,3900,16.01
2016-08-15,16.0,16.129999,16.0,16.09,13900,16.09
2016-08-16,16.290001,16.32,16.290001,16.299999,17600,16.299999
2016-08-17,16.370001,16.43,16.27,16.360001,12500,16.360001
2016-08-18,16.459999,16.59,16.440001,16.59,9400,16.59
2016-08-19,16.41,16.51,16.41,16.51,3500,16.51
2016-08-22,16.469999,16.49,16.389999,16.450001,6300,16.450001
2016-08-23,16.5,16.5,16.41,16.43,18900,16.43
2016-08-24,16.34,16.34,16.219999,16.27,11200,16.27
2016-08-25,16.379999,16.379999,16.299999,16.34,6500,16.34
2016-08-26,16.389999,16.5,16.059999,16.09,23700,16.09
2016-08-29,16.02,16.07,16.02,16.049999,6100,16.049999
2016-08-30,16.01,16.01,15.89,15.94,17400,15.94
2016-08-31,15.94,15.98,15.86,15.95,11800,15.95
2016-09-01,16.059999,16.08,16.049999,16.07,700,16.07
2016-09-02,16.09,16.09,15.91,15.97,13600,15.97
2016-09-06,16.01,16.25,15.91,16.190001,13600,16.190001
2016-09-07,16.17,16.219999,16.15,16.15,800,16.15
2016-09-08,16.35,16.379999,16.23,16.25,3500,16.25
2016-09-09,16.17,16.190001,16.07,16.18,3600,16.18
2016-09-12,16.16,16.24,16.110001,16.200001,12200,16.200001
2016-09-13,16.23,16.24,16.110001,16.139999,4100,16.139999
2016-09-14,16.18,16.299999,16.16,16.25,6000,16.25
2016-09-15,16.15,16.24,16.15,16.23,5800,16.23
2016-09-16,15.99,16.0,15.93,15.97,3300,15.97
2016-09-19,16.040001,16.040001,15.98,16.030001,10900,16.030001
2016-09-20,16.059999,16.059999,15.96,15.97,1000,15.97
2016-09-21,15.87,16.049999,15.87,16.049999,2400,16.049999
2016-09-22,16.190001,16.219999,16.040001,16.1,2200,16.1
2016-09-23,16.049999,16.139999,16.049999,16.139999,12100,16.139999
2016-09-26,16.190001,16.25,16.18,16.18,4800,16.18
2016-09-27,16.110001,16.110001,16.08,16.110001,1600,16.110001
2016-09-28,16.059999,16.110001,16.030001,16.040001,11600,16.040001
2016-09-29,16.110001,16.18,16.07,16.07,2900,16.07
2016-09-30,16.15,16.15,16.120001,16.120001,800,16.120001
2016-10-03,16.07,16.07,16.059999,16.07,1400,16.07
2016-10-04,15.87,16.08,15.87,16.02,2200,16.02
2016-10-05,16.02,16.02,16.02,16.02,100,16.02
2016-10-06,16.01,16.01,15.88,15.91,7500,15.91
2016-10-07,15.99,15.99,15.94,15.98,2600,15.98
2016-10-10,15.91,15.91,15.8,15.8,2000,15.8
2016-10-11,15.67,15.68,15.57,15.58,9200,15.58
2016-10-12,15.51,15.57,15.46,15.49,171300,15.49
2016-10-13,15.55,15.61,15.55,15.61,10500,15.61
2016-10-14,15.51,15.52,15.37,15.37,16300,15.37
2016-10-17,15.39,15.45,15.39,15.44,10300,15.44
2016-10-18,15.42,15.45,15.38,15.38,2600,15.38
2016-10-19,15.35,15.35,15.32,15.34,19500,15.34
2016-10-20,15.3,15.3,15.2,15.25,14400,15.25
2016-10-21,15.13,15.13,15.04,15.06,16100,15.06
2016-10-24,15.17,15.17,15.08,15.08,40500,15.08
2016-10-25,15.05,15.19,15.05,15.14,9300,15.14
2016-10-26,15.24,15.27,15.17,15.19,25000,15.19
2016-10-27,15.22,15.23,15.11,15.11,15200,15.11
2016-10-28,15.24,15.4,15.21,15.34,4200,15.34
2016-10-31,15.33,15.33,15.24,15.31,2500,15.31
2016-11-01,15.54,15.6,15.46,15.52,34000,15.52
2016-11-02,15.71,15.78,15.64,15.64,7300,15.64
2016-11-03,15.65,15.76,15.63,15.74,6700,15.74
2016-11-04,15.73,15.85,15.73,15.85,23300,15.85
2016-11-07,15.63,15.63,15.52,15.57,7700,15.57
2016-11-08,15.59,15.59,15.49,15.52,6500,15.52
2016-11-09,15.38,15.38,15.16,15.16,11300,15.16
2016-11-10,15.14,15.16,15.06,15.06,56500,15.06
2016-11-11,15.02,15.03,14.92,14.96,28900,14.96
2016-11-14,14.72,14.76,14.58,14.7,8200,14.7
2016-11-15,14.66,14.69,14.61,14.61,10700,14.61
2016-11-16,14.6,14.61,14.48,14.48,13800,14.48
2016-11-17,14.52,14.53,14.33,14.36,22400,14.36
2016-11-18,14.35,14.35,14.23,14.25,24000,14.25
2016-11-21,14.35,14.41,14.26,14.4,25000,14.4
2016-11-22,14.5,14.5,14.31,14.4,21900,14.4
2016-11-23,14.21,14.22,14.1,14.21,26400,14.21
2016-11-25,14.29,14.39,14.25,14.3,3500,14.3
2016-11-28,14.26,14.33,14.22,14.22,8300,14.22
2016-11-29,14.29,14.45,14.29,14.45,39800,14.45
2016-11-30,14.3,14.35,14.19,14.22,24500,14.22
2016-12-01,14.31,14.45,14.24,14.41,8600,14.41
2016-12-02,14.37,14.49,14.37,14.44,6900,14.44
2016-12-05,14.54,14.82,14.54,14.73,45400,14.73
