Date,Open,High,Low,Close,Volume,Adj Close
2016-01-04,8.76,8.82,8.48,8.53,9342100,8.53
2016-01-05,8.4,8.7,8.39,8.64,6004700,8.64
2016-01-06,8.65,8.77,8.33,8.47,8459800,8.47
2016-01-07,8.54,9.03,8.53,8.87,16072300,8.87
2016-01-08,8.93,9.27,8.89,9.21,10590500,9.21
2016-01-11,8.97,8.97,8.79,8.84,7003800,8.84
2016-01-12,8.58,8.63,8.33,8.39,8590300,8.39
2016-01-13,8.4,8.63,8.39,8.45,6533200,8.45
2016-01-14,8.23,8.3,7.92,7.96,6710100,7.96
2016-01-15,7.92,7.93,7.75,7.81,3182100,7.81
2016-01-19,7.94,7.96,7.69,7.72,6971500,7.72
2016-01-20,7.8,7.87,7.64,7.85,3176800,7.85
2016-01-21,7.87,8.05,7.63,7.92,8246600,7.92
2016-01-22,7.84,7.97,7.8,7.93,4873900,7.93
2016-01-25,7.72,7.97,7.65,7.86,4440500,7.86
2016-01-26,7.93,8.01,7.77,7.9,4280300,7.9
2016-01-27,7.97,8.12,7.83,7.88,6270900,7.88
2016-01-28,7.72,8.17,7.68,8.17,8431400,8.17
2016-01-29,8.36,8.49,8.32,8.49,8725200,8.49
2016-02-01,7.94,7.95,7.81,7.87,6944700,7.87
2016-02-02,7.37,7.51,7.26,7.48,9403400,7.48
2016-02-03,7.41,7.58,7.31,7.55,5323900,7.55
2016-02-04,7.28,7.44,7.17,7.28,10380100,7.28
2016-02-05,7.46,7.61,7.44,7.54,5946500,7.54
2016-02-08,7.9,7.97,7.73,7.82,6490100,7.82
2016-02-09,7.73,7.83,7.66,7.68,3206000,7.68
2016-02-10,7.57,7.58,7.4,7.5,3293900,7.5
2016-02-11,7.53,7.59,7.26,7.3,6424500,7.3
2016-02-12,7.26,7.28,7.16,7.22,3579600,7.22
2016-02-16,6.98,7.04,6.9,7.03,6012100,7.03
2016-02-17,6.97,7.2,6.95,7.17,5282800,7.17
2016-02-18,6.94,7.04,6.83,6.83,10518500,6.83
2016-02-19,6.78,6.78,6.6,6.62,7379500,6.62
2016-02-22,6.6,6.71,6.55,6.61,10201400,6.61
2016-02-23,6.59,6.59,6.45,6.49,9270000,6.49
2016-02-24,6.48,6.61,6.46,6.52,11942700,6.52
2016-02-25,6.39,6.4,6.13,6.32,19412600,6.32
2016-02-26,6.3,6.37,6.14,6.36,20539200,6.36
2016-02-29,6.04,6.16,6.02,6.02,30548600,6.02
2016-03-01,6.07,6.3,5.98,6.18,19258900,6.18
2016-03-02,5.96,6.1,5.9,5.91,18372100,5.91
2016-03-03,5.81,6.01,5.78,5.79,20246000,5.79
2016-03-04,5.81,5.94,5.79,5.93,10598800,5.93
2016-03-07,5.91,6.17,5.88,6.1,34669300,6.1
2016-03-08,6.05,6.13,5.95,6.08,25531300,6.08
2016-03-09,6.15,6.33,6.1,6.24,31168000,6.24
2016-03-10,6.35,6.42,6.14,6.42,19524000,6.42
2016-03-11,6.5,6.59,6.41,6.43,10227300,6.43
2016-03-14,6.4,6.58,6.37,6.44,17252800,6.44
2016-03-15,6.67,6.72,6.49,6.56,20407300,6.56
2016-03-16,6.48,6.65,6.45,6.6,17081400,6.6
2016-03-17,6.69,6.88,6.48,6.83,13434400,6.83
2016-03-18,6.85,6.86,6.66,6.68,8966500,6.68
2016-03-21,6.66,6.68,6.39,6.42,23845500,6.42
2016-03-22,6.51,6.59,6.38,6.57,23352100,6.57
2016-03-23,6.62,6.65,6.28,6.3,11788900,6.3
2016-03-24,6.29,6.45,6.29,6.4,8757900,6.4
2016-03-28,6.37,6.58,6.33,6.56,13438200,6.56
2016-03-29,6.52,6.75,6.48,6.72,9969400,6.72
2016-03-30,6.77,6.82,6.66,6.76,21036600,6.76
2016-03-31,6.82,6.87,6.55,6.66,13785000,6.66
2016-04-01,6.62,6.66,6.53,6.61,4975600,6.61
2016-04-04,6.81,7.03,6.73,6.82,9692000,6.82
2016-04-05,6.73,6.73,6.55,6.61,10959800,6.61
2016-04-06,6.5,6.54,6.43,6.45,10303000,6.45
2016-04-07,6.63,6.86,6.6,6.85,14853900,6.85
2016-04-08,6.82,6.85,6.73,6.74,18224900,6.74
2016-04-11,6.5,6.54,6.46,6.52,11242600,6.52
2016-04-12,6.66,6.89,6.62,6.85,13794100,6.85
2016-04-13,6.85,6.94,6.79,6.91,12775800,6.91
2016-04-14,6.72,6.85,6.65,6.68,9479600,6.68
2016-04-15,6.48,6.56,6.46,6.49,9759100,6.49
2016-04-18,6.5,6.63,6.45,6.59,7621500,6.59
2016-04-19,6.85,7.1,6.84,7.07,10929900,7.07
2016-04-20,7.07,7.22,6.97,7.08,13941900,7.08
2016-04-21,7.07,7.19,7.04,7.12,7242700,7.12
2016-04-22,7.19,7.38,7.11,7.28,9613000,7.28
2016-04-25,7.11,7.12,6.99,7.09,5943400,7.09
2016-04-26,6.96,7.0,6.91,6.99,5340600,6.99
2016-04-27,6.9,7.0,6.82,6.94,7775200,6.94
2016-04-28,6.75,6.81,6.67,6.69,9993700,6.69
2016-04-29,6.78,7.09,6.72,6.93,15231400,6.93
2016-05-02,6.83,6.85,6.55,6.61,9098600,6.61
2016-05-03,6.69,6.8,6.66,6.75,6338000,6.75
2016-05-04,6.93,6.96,6.86,6.93,6437700,6.93
2016-05-05,6.85,6.89,6.68,6.74,6722100,6.74
2016-05-06,6.68,6.82,6.66,6.78,6521800,6.78
2016-05-09,6.82,6.85,6.74,6.79,3488900,6.79
2016-05-10,6.95,7.01,6.91,7.0,5713500,7.0
2016-05-11,6.89,7.05,6.83,7.01,5508600,7.01
2016-05-12,7.01,7.06,6.87,6.94,6416100,6.94
2016-05-13,6.79,6.98,6.76,6.78,5275900,6.78
2016-05-16,6.6,6.61,6.55,6.57,8437800,6.57
2016-05-17,6.69,6.69,6.58,6.64,3332100,6.64
2016-05-18,6.48,6.53,6.42,6.46,8876600,6.46
2016-05-19,6.4,6.65,6.36,6.61,10364700,6.61
2016-05-20,6.7,6.72,6.62,6.65,8617200,6.65
2016-05-23,6.84,6.85,6.6,6.65,7397000,6.65
2016-05-24,6.57,6.58,6.47,6.5,9076500,6.5
2016-05-25,6.49,6.6,6.43,6.55,6327300,6.55
2016-05-26,6.51,6.58,6.43,6.48,8162800,6.48
2016-05-27,6.51,6.62,6.49,6.53,8086600,6.53
2016-05-31,6.8,6.96,6.75,6.89,14205300,6.89
2016-06-01,7.13,7.21,7.02,7.2,11312300,7.2
2016-06-02,7.21,7.32,7.15,7.25,7102100,7.25
2016-06-03,7.34,7.37,7.21,7.24,8045300,7.24
2016-06-06,7.28,7.46,7.24,7.44,8085200,7.44
2016-06-07,7.36,7.51,7.34,7.49,6546800,7.49
2016-06-08,7.49,7.53,7.41,7.44,6367700,7.44
2016-06-09,7.43,7.95,7.4,7.86,13779200,7.86
2016-06-10,7.8,7.81,7.7,7.76,6844700,7.76
2016-06-13,7.88,7.93,7.76,7.83,8898600,7.83
2016-06-14,7.77,7.92,7.76,7.86,7102600,7.86
2016-06-15,7.91,7.94,7.8,7.82,4358200,7.82
2016-06-16,7.82,7.95,7.7,7.78,8131600,7.78
2016-06-17,7.82,7.96,7.81,7.95,6676600,7.95
2016-06-20,7.98,8.24,7.97,8.18,9365600,8.18
2016-06-21,8.22,8.32,8.17,8.26,5764300,8.26
2016-06-22,8.28,8.29,7.96,8.0,8519000,8.0
2016-06-23,7.97,8.15,7.85,8.09,9731500,8.09
2016-06-24,7.98,8.07,7.95,7.96,5765500,7.96
2016-06-27,8.11,8.18,8.0,8.17,5321100,8.17
2016-06-28,8.38,8.57,8.33,8.54,10604700,8.54
2016-06-29,8.61,8.62,8.42,8.44,10231300,8.44
2016-06-30,8.55,8.71,8.46,8.64,11236200,8.64
2016-07-01,8.57,8.87,8.56,8.85,6283100,8.85
2016-07-05,8.35,8.36,8.14,8.15,10668500,8.15
2016-07-06,8.11,8.27,8.08,8.27,10079700,8.27
2016-07-07,8.36,8.53,8.06,8.18,9588400,8.18
2016-07-08,8.26,8.32,8.21,8.32,4167500,8.32
2016-07-11,8.28,8.29,7.97,8.01,8706300,8.01
2016-07-12,8.09,8.13,7.95,8.11,6979800,8.11
2016-07-13,8.17,8.22,7.99,8.12,5931300,8.12
