Date,Open,High,Low,Close,Volume,Adj Close
2016-01-04,21.4,21.4,21.4,21.4,100,21.36556
2016-01-05,21.4,21.4,21.4,21.4,0,21.36556
2016-01-06,19.91,19.91,18.52,18.52,900,18.490196
2016-01-07,18.747,18.747,17.849001,17.849001,500,17.820276
2016-01-08,17.790001,17.99,17.790001,17.99,200,17.961048
2016-01-11,17.08,17.124001,17.08,17.124001,34200,17.096442
2016-01-12,17.110001,17.110001,17.110001,17.110001,100,17.082465
2016-01-13,16.35,16.35,14.65,14.68,1300,14.656375
2016-01-14,14.68,14.68,14.68,14.68,0,14.656375
2016-01-15,14.52,14.52,14.03,14.48,7900,14.456697
2016-01-19,14.37,14.37,13.05,13.05,3400,13.028998
2016-01-20,12.1,13.37,11.302,13.37,2500,13.348483
2016-01-21,13.37,13.37,13.37,13.37,0,13.348483
2016-01-22,16.85,16.85,15.75,16.1,5600,16.07409
2016-01-25,15.5,15.5,14.96,14.96,2800,14.935925
2016-01-26,15.56,15.56,15.56,15.56,900,15.534959
2016-01-27,16.65,16.719999,15.73,15.73,1700,15.704685
2016-01-28,17.790001,17.790001,16.752001,16.780001,2800,16.752996
2016-01-29,17.35,18.629999,17.35,18.629999,2600,18.600017
2016-02-01,17.549999,17.549999,16.690001,17.389999,10800,17.362013
2016-02-02,15.49,15.89,15.49,15.89,3400,15.864428
2016-02-03,16.25,16.25,16.25,16.25,500,16.223848
2016-02-04,17.799999,18.280001,16.959999,17.01,6300,16.982626
2016-02-05,16.1,16.1,15.663,15.7,3100,15.674733
2016-02-08,14.14,14.97,14.14,14.91,6200,14.886005
2016-02-09,13.9,14.4,13.0,13.77,8100,13.74784
2016-02-10,13.64,14.29,13.59,13.59,4700,13.568129
2016-02-11,12.83,12.83,12.83,12.83,500,12.809352
2016-02-12,13.58,13.79,13.07,13.43,4600,13.408387
2016-02-16,13.21,13.21,13.02,13.19,700,13.168773
2016-02-17,13.5,14.5,13.5,14.45,2300,14.426745
2016-02-18,13.65,13.65,13.19,13.3,1600,13.278596
2016-02-19,12.5,12.77,12.3,12.77,4000,12.749449
2016-02-22,13.63,13.695,13.63,13.695,4200,13.67296
2016-02-23,12.7,12.7,12.515,12.515,500,12.49486
2016-02-24,12.13,12.741,12.13,12.741,300,12.720496
2016-02-25,12.741,12.741,12.741,12.741,0,12.720496
2016-02-26,12.741,12.741,12.741,12.741,0,12.720496
2016-02-29,13.65,13.65,13.65,13.65,500,13.628032
2016-03-01,13.78,14.244,13.78,13.94,1800,13.917566
2016-03-02,14.151,15.41,14.04,15.41,21300,15.3852
2016-03-03,16.068001,17.41,16.068001,17.240999,6800,17.213253
2016-03-04,17.959999,19.1,17.23,17.511999,9700,17.483817
2016-03-07,18.889999,20.01,18.889999,19.825001,3900,19.793096
2016-03-08,19.690001,19.690001,17.0,17.0,2900,16.972641
2016-03-09,17.98,18.052,17.290001,18.052,31100,18.022949
2016-03-10,17.5,17.860001,17.5,17.860001,5200,17.831258
2016-03-11,18.879999,19.629999,18.879999,19.4,17300,19.368779
2016-03-14,18.658001,19.01,18.658001,19.01,400,18.979407
2016-03-15,17.92,18.799999,17.780001,18.799999,4200,18.769744
2016-03-16,19.23,20.4,19.23,20.4,11900,20.367169
2016-03-17,20.25,21.299999,20.25,21.037001,1800,21.003145
2016-03-18,21.51,21.75,20.74,20.92,12500,20.886333
2016-03-21,21.0,21.0,20.704,20.704,300,20.670681
2016-03-22,21.25,21.27,21.049999,21.049999,16100,21.016123
2016-03-23,21.049999,21.049999,21.049999,21.049999,0,21.038111
2016-03-24,18.200001,18.719999,18.200001,18.719999,3700,18.709427
2016-03-28,18.608,19.1,18.608,19.049999,1800,19.039241
2016-03-29,18.52,18.85,18.52,18.85,700,18.839355
2016-03-30,18.85,18.85,18.85,18.85,0,18.839355
2016-03-31,19.879,20.08,19.879,20.08,1400,20.06866
2016-04-01,19.469999,19.469999,19.469999,19.469999,200,19.459004
2016-04-04,19.469999,19.469999,19.469999,19.469999,0,19.459004
2016-04-05,18.921,19.042999,18.617001,19.01,2100,18.999264
2016-04-06,18.889999,20.030001,18.889999,20.030001,1300,20.018689
2016-04-07,19.559999,19.559999,19.559999,19.559999,400,19.548953
2016-04-08,21.700001,21.700001,21.360001,21.360001,700,21.347937
2016-04-11,22.15,22.15,22.040001,22.040001,500,22.027554
2016-04-12,22.99,24.450001,22.99,24.450001,700,24.436193
2016-04-13,24.327999,24.327999,24.327999,24.327999,100,24.31426
2016-04-14,23.496,23.496,23.448,23.448,500,23.434758
2016-04-15,23.15,23.15,23.15,23.15,1000,23.136926
2016-04-18,21.32,23.139999,21.32,23.139999,600,23.126931
2016-04-19,23.139999,23.139999,23.139999,23.139999,0,23.126931
2016-04-20,25.450001,26.26,25.450001,26.26,1100,26.24517
2016-04-21,25.412001,25.412001,25.4,25.4,700,25.385655
2016-04-22,27.18,27.18,27.18,27.18,100,27.16465
2016-04-25,26.49,26.49,26.49,26.49,200,26.475039
2016-04-26,26.49,26.49,26.49,26.49,1300,26.475039
2016-04-27,29.42,30.129999,28.719999,29.110001,2000,29.093561
2016-04-28,29.83,30.02,28.5,28.5,1100,28.483905
