Date,Open,High,Low,Close,Volume,Adj Close
2016-01-04,27.370001,27.5,27.370001,27.5,219100,27.5
2016-01-05,27.549999,27.620001,27.5,27.52,93000,27.52
2016-01-06,27.67,27.67,27.549999,27.610001,23000,27.610001
2016-01-07,27.559999,27.6,27.41,27.41,74500,27.41
2016-01-08,27.59,27.620001,27.549999,27.57,82600,27.57
2016-01-11,27.58,27.639999,27.530001,27.639999,86800,27.639999
2016-01-12,27.620001,27.790001,27.610001,27.639999,657400,27.639999
2016-01-13,27.629999,27.700001,27.610001,27.700001,56300,27.700001
2016-01-14,27.620001,27.74,27.610001,27.66,133200,27.66
2016-01-15,27.629999,27.780001,27.629999,27.74,71700,27.74
2016-01-19,27.809999,27.809999,27.73,27.790001,51000,27.790001
2016-01-20,27.85,27.870001,27.77,27.790001,154400,27.790001
2016-01-21,27.85,27.9,27.790001,27.799999,55300,27.799999
2016-01-22,27.76,27.93,27.719999,27.879999,56900,27.879999
2016-01-25,27.85,27.870001,27.809999,27.85,363100,27.85
2016-01-26,27.85,27.85,27.719999,27.76,102900,27.76
2016-01-27,27.709999,27.799999,27.700001,27.74,263200,27.74
2016-01-28,27.6,27.690001,27.59,27.690001,98900,27.690001
2016-01-29,27.780001,27.889999,27.780001,27.84,94800,27.84
2016-02-01,27.790001,27.809999,27.68,27.700001,148500,27.700001
2016-02-02,27.74,27.83,27.709999,27.75,157800,27.75
2016-02-03,27.57,27.57,27.209999,27.26,113900,27.26
2016-02-04,27.059999,27.190001,27.059999,27.15,113900,27.15
2016-02-05,27.219999,27.32,27.219999,27.32,106000,27.32
2016-02-08,27.379999,27.379999,27.219999,27.26,77800,27.26
2016-02-09,27.17,27.280001,27.049999,27.120001,66500,27.120001
2016-02-10,27.15,27.18,27.02,27.02,45400,27.02
2016-02-11,27.02,27.049999,26.950001,27.02,235700,27.02
2016-02-12,27.08,27.129999,27.040001,27.049999,38600,27.049999
2016-02-16,27.120001,27.290001,27.120001,27.25,199700,27.25
2016-02-17,27.32,27.32,27.09,27.129999,33100,27.129999
2016-02-18,27.1,27.18,27.1,27.15,33500,27.15
2016-02-19,27.23,27.23,27.049999,27.049999,10700,27.049999
2016-02-22,27.15,27.200001,27.1,27.15,54200,27.15
2016-02-23,27.129999,27.200001,27.129999,27.16,13600,27.16
2016-02-24,27.219999,27.25,27.120001,27.17,34600,27.17
2016-02-25,27.16,27.190001,27.07,27.110001,657200,27.110001
2016-02-26,27.219999,27.379999,27.219999,27.33,29600,27.33
2016-02-29,27.290001,27.34,27.25,27.290001,55200,27.290001
2016-03-01,27.280001,27.33,27.23,27.26,3913600,27.26
2016-03-02,27.23,27.299999,27.120001,27.209999,36600,27.209999
2016-03-03,27.139999,27.18,27.030001,27.040001,45700,27.040001
2016-03-04,27.0,27.01,26.9,27.0,218500,27.0
2016-03-07,26.940001,27.030001,26.85,26.9,88900,26.9
2016-03-08,26.860001,26.969999,26.860001,26.969999,185500,26.969999
2016-03-09,27.0,27.0,26.809999,26.870001,86300,26.870001
2016-03-10,26.83,26.969999,26.700001,26.719999,32900,26.719999
