Date,Open,High,Low,Close,Volume,Adj Close
2016-01-04,17.25,17.52,16.799999,17.0,44500,17.0
2016-01-05,16.75,16.790001,16.620001,16.620001,24800,16.620001
2016-01-06,16.219999,16.4,15.93,16.0,155400,16.0
2016-01-07,15.7,16.110001,15.64,15.74,103900,15.74
2016-01-08,15.82,15.82,15.46,15.65,133600,15.65
2016-01-11,15.6,15.6,14.87,14.93,120100,14.93
2016-01-12,15.12,15.2,14.41,14.7,152000,14.7
2016-01-13,14.75,14.85,14.23,14.38,114800,14.38
2016-01-14,14.45,14.78,14.29,14.7,53900,14.7
2016-01-15,14.08,14.19,13.82,14.04,326700,14.04
2016-01-19,14.02,14.02,13.63,13.67,167700,13.67
2016-01-20,13.41,13.61,12.99,13.6,205700,13.6
2016-01-21,13.34,14.1,13.25,14.03,282600,14.03
2016-01-22,14.54,14.9,14.41,14.9,166800,14.9
2016-01-25,14.56,14.75,14.17,14.18,121900,14.18
2016-01-26,14.5,15.11,14.41,14.66,129800,14.66
2016-01-27,14.66,15.35,14.54,15.02,171500,15.02
2016-01-28,15.8,15.83,15.34,15.75,156400,15.75
2016-01-29,15.9,16.049999,15.46,15.88,147100,15.88
2016-02-01,15.55,15.55,15.13,15.17,103600,15.17
2016-02-02,14.72,14.9,14.52,14.65,184800,14.65
2016-02-03,15.03,15.53,14.59,15.53,250700,15.53
2016-02-04,15.59,15.85,15.2,15.35,144600,15.35
2016-02-05,15.35,15.58,15.11,15.25,257300,15.25
2016-02-08,15.15,15.2,14.75,14.89,224300,14.89
2016-02-09,14.69,14.81,13.87,14.12,388100,14.12
2016-02-10,14.0,14.44,13.9,14.03,382600,14.03
2016-02-11,13.83,14.22,13.69,14.2,373300,14.2
2016-02-12,14.33,14.83,14.12,14.57,204100,14.57
2016-02-16,14.89,14.89,14.23,14.4,476500,14.4
2016-02-17,14.64,15.24,14.5,15.07,345900,15.07
2016-02-18,15.39,15.39,14.78,14.81,208300,14.81
2016-02-19,14.87,14.95,14.45,14.65,199400,14.65
2016-02-22,15.14,15.27,15.0,15.11,255300,15.11
2016-02-23,14.98,14.98,14.52,14.67,148000,14.67
2016-02-24,14.4,14.94,14.24,14.9,185700,14.9
2016-02-25,14.8,15.2,14.49,15.02,141900,15.02
2016-02-26,15.45,15.5,14.86,15.0,139300,15.0
2016-02-29,15.21,15.37,15.09,15.36,116300,15.36
2016-03-01,15.31,15.6,15.2,15.41,205300,15.41
2016-03-02,15.29,15.57,15.15,15.49,207000,15.49
2016-03-03,15.31,15.58,15.26,15.57,80100,15.57
2016-03-04,15.73,16.16,15.5,16.16,237700,16.16
2016-03-07,16.26,16.879999,16.26,16.82,269300,16.82
2016-03-08,16.780001,16.780001,16.129999,16.129999,228500,16.129999
2016-03-09,16.469999,16.83,16.389999,16.719999,152700,16.719999
2016-03-10,16.48,16.65,16.4,16.51,58000,16.51
2016-03-11,16.75,16.799999,16.51,16.709999,84700,16.709999
