Date,Open,High,Low,Close,Volume,Adj Close
2016-01-04,32.929999,34.829999,31.749999,31.959999,1727700,798.999982
2016-01-05,30.649999,32.589999,29.529999,30.129999,1273800,753.249983
2016-01-06,34.089999,34.109999,31.729999,31.929999,1448500,798.249982
2016-01-07,36.229999,39.859999,34.539999,38.839999,1884800,970.999978
2016-01-08,35.839999,43.969999,35.029999,42.819999,1932200,1070.499976
2016-01-11,41.719999,49.439999,39.119999,39.899999,2152300,997.499978
2016-01-12,36.609999,41.339999,35.919999,36.169999,1657800,904.24998
2016-01-13,34.719999,44.899999,34.539999,43.459999,1846200,1086.499976
2016-01-14,42.589999,46.709999,37.999999,40.059999,1610500,1001.499978
2016-01-15,49.199999,51.389999,45.799999,48.149999,1438000,1203.749973
2016-01-19,44.649999,52.799999,44.539999,48.359999,1615300,1208.999973
2016-01-20,51.389999,58.999999,48.549999,50.639999,1850300,1265.999972
2016-01-21,49.649999,54.689999,46.879999,50.339999,1545000,1258.499972
2016-01-22,45.649999,46.679999,41.749999,41.859999,826500,1046.499977
2016-01-25,42.939999,46.339999,41.569999,45.939999,808200,1148.499974
2016-01-26,44.659999,45.829999,41.439999,41.569999,919500,1039.249977
2016-01-27,42.599999,46.219999,39.799999,45.019999,1339700,1125.499975
2016-01-28,42.019999,45.949999,41.309999,42.009999,1147200,1050.249977
2016-01-29,41.349999,41.819999,38.229999,38.469999,1077800,961.749979
2016-02-01,38.859999,40.129999,36.629999,37.539999,1030000,938.499979
2016-02-02,39.909999,43.149999,39.769999,42.429999,1135000,1060.749976
2016-02-03,41.099999,47.329999,41.039999,41.559999,1551700,1038.999977
2016-02-04,42.509999,43.529999,40.339999,42.299999,1112100,1057.499976
2016-02-05,42.159999,47.099999,42.059999,45.599999,1255800,1139.999975
2016-02-08,49.079999,53.869999,48.179999,50.059999,1211500,1251.499972
2016-02-09,54.029999,54.459999,48.899999,50.849999,1344500,1271.249972
2016-02-10,48.969999,51.889999,47.189999,51.779999,1125000,1294.499971
2016-02-11,58.729999,61.919999,55.569999,58.039999,1611300,1450.999968
2016-02-12,54.659999,57.309999,52.959999,53.259999,1187000,1331.49997
2016-02-16,49.719999,51.369999,47.979999,48.359999,1082900,1208.999973
2016-02-17,45.979999,46.979999,44.039999,44.599999,597300,1114.999975
2016-02-18,43.939999,45.779999,42.919999,44.269999,1018200,1106.749975
2016-02-19,45.829999,46.609999,41.839999,41.949999,1090400,1048.749977
2016-02-22,39.559999,39.849999,37.109999,37.229999,792700,930.749979
2016-02-23,38.219999,41.299999,37.649999,40.949999,775300,1023.749977
2016-02-24,44.369999,45.799999,39.999999,40.399999,1458900,1009.999977
2016-02-25,39.739999,41.339999,37.549999,37.619999,987600,940.499979
2016-02-26,36.389999,39.349999,35.999999,38.609999,1164500,965.249978
2016-02-29,38.259999,39.949999,36.199999,39.739999,914700,993.499978
2016-03-01,37.939999,38.749999,32.899999,32.949999,913400,823.749982
2016-03-02,33.069999,34.059999,31.619999,31.689999,642600,792.249982
2016-03-03,32.029999,32.509999,29.009999,29.579999,1019300,739.499983
2016-03-04,28.619999,30.919999,28.309999,30.249999,1003400,756.249983
2016-03-07,31.469999,31.749999,28.999999,30.379999,992800,759.499983
2016-03-08,31.599999,32.839999,30.759999,32.669999,1012700,816.749982
2016-03-09,31.939999,33.179999,31.469999,31.839999,808000,795.999982
2016-03-10,30.779999,33.599999,28.809999,30.659999,1336000,766.499983
2016-03-11,29.149999,29.479999,27.549999,27.619999,1008300,690.499985
2016-03-14,27.929999,28.379999,26.379999,26.699999,718300,667.499985
2016-03-15,28.299999,28.499999,27.339999,27.389999,678500,684.749985
2016-03-16,28.139999,28.229999,24.979999,25.429999,1231500,635.749986
2016-03-17,25.409999,25.739999,23.309999,23.889999,1295600,597.249987
2016-03-18,23.249999,24.469999,22.649999,23.499999,1146500,587.499987
2016-03-21,23.519999,23.669999,22.03,22.15,1066200,553.749988
2016-03-22,22.739999,22.869999,21.25,21.56,1128800,538.999988
2016-03-23,22.0,23.829999,21.95,23.579999,1247500,589.499987
2016-03-24,25.199999,25.599999,23.269999,23.329999,1321200,583.249987
2016-03-28,22.829999,23.629999,21.97,22.729999,902400,568.249987
2016-03-29,22.789999,23.179999,20.05,20.11,1255400,502.749989
2016-03-30,19.35,20.04,18.5,19.11,1007300,477.749989
2016-03-31,19.42,19.92,18.59,19.33,1136400,483.249989
2016-04-01,20.58,20.83,18.11,18.22,1402800,455.49999
2016-04-04,18.15,19.32,17.97,19.17,1138300,479.249989
2016-04-05,20.65,21.58,20.13,21.37,1495300,534.249988
2016-04-06,21.22,21.54,18.58,18.68,1202600,466.99999
2016-04-07,19.68,22.929999,19.23,22.07,1302200,551.749988
2016-04-08,20.47,21.81,19.75,20.92,1441500,522.999988
2016-04-11,20.23,21.59,19.72,21.57,1218800,539.249988
2016-04-12,21.52,22.529999,19.67,20.08,1954100,501.999989
2016-04-13,19.12,19.28,18.02,18.06,1562500,451.49999
2016-04-14,17.96,18.6,17.5,17.93,1274300,448.24999
2016-04-15,17.8,18.23,17.41,17.44,1356400,435.99999
2016-04-18,17.86,17.89,15.16,15.23,1687200,380.749991
2016-04-19,15.16,16.27,14.7,15.59,1543400,389.749991
2016-04-20,15.16,15.94,14.9,15.76,1797800,393.999991
2016-04-21,16.09,16.84,15.83,16.35,1823100,408.749991
2016-04-22,16.52,16.78,15.39,15.51,1569500,387.749991
2016-04-25,15.99,16.6,15.75,15.89,1587200,397.249991
2016-04-26,15.51,15.72,15.0,15.24,1202500,380.999991
2016-04-27,15.65,15.79,14.01,14.28,1652400,356.999992
2016-04-28,14.86,16.19,13.79,15.97,1959400,399.249991
2016-04-29,16.4,18.5,16.01,17.02,2725600,425.49999
2016-05-02,16.38,16.74,14.69,15.05,1616700,376.249992
2016-05-03,15.9,16.99,15.79,16.36,1605100,408.999991
2016-05-04,17.17,17.53,16.54,16.79,1887700,419.749991
2016-05-05,16.12,17.29,16.0,16.76,1733600,418.999991
2016-05-06,16.88,16.92,15.16,15.27,1782100,381.749991
2016-05-09,14.93,15.05,13.93,14.54,1493300,363.499992
2016-05-10,13.82,13.88,13.08,13.13,1448700,328.249993
2016-05-11,13.2,14.22,12.8,13.98,1346000,349.499992
2016-05-12,13.67,14.82,13.19,13.63,2017000,340.749992
2016-05-13,13.64,14.85,13.11,14.63,2034700,365.749992
2016-05-16,14.42,14.44,12.95,13.3,1516300,332.499993
2016-05-17,13.51,14.88,13.35,14.49,1699500,362.249992
2016-05-18,14.53,15.02,13.46,14.38,2939600,359.499992
2016-05-19,14.87,16.0,14.43,14.52,2916700,362.999992
2016-05-20,13.92,14.0,13.42,13.5,1736800,337.499992
2016-05-23,13.46,13.67,13.01,13.36,1344300,333.999993
2016-05-24,12.96,12.98,11.92,12.2,1806200,304.999993
2016-05-25,11.8,12.03,11.28,11.74,1403200,293.499993
2016-05-26,11.7,11.79,11.39,11.49,1305100,287.249994
2016-05-27,11.3,11.4,10.84,10.85,1248100,271.249994
2016-05-31,10.55,11.46,10.45,10.85,1728500,271.249994
2016-06-01,11.2,11.42,10.52,10.67,1742700,266.749994
2016-06-02,10.89,11.14,10.07,10.1,1523600,252.499994
2016-06-03,10.46,11.02,9.86,9.99,2226000,249.749994
2016-06-06,9.88,10.24,9.65,9.74,1773500,243.499995
2016-06-07,9.56,9.79,9.35,9.79,1434700,244.749995
2016-06-08,9.74,10.09,9.58,9.85,1434700,246.249994
2016-06-09,10.26,10.5,10.02,10.23,1545300,255.749994
2016-06-10,11.2,12.21,11.04,12.09,2379100,302.249993
2016-06-13,13.2,15.76,12.58,15.7,3646400,392.499991
2016-06-14,16.32,16.75,14.53,15.01,4825400,375.249992
2016-06-15,14.71,15.0,13.44,14.73,2426900,368.249992
2016-06-16,16.05,17.12,13.63,13.94,2857800,348.499992
2016-06-17,13.92,14.45,13.42,13.92,2223500,347.999992
2016-06-20,12.09,12.14,11.21,11.95,2169100,298.749993
2016-06-21,11.51,12.53,11.47,12.07,2174700,301.749993
2016-06-22,12.08,13.24,11.41,12.92,2711000,322.999993
2016-06-23,11.49,11.86,10.26,10.4,2637400,259.999994
2016-06-24,14.19,15.54,12.25,14.95,4880500,373.749992
2016-06-27,14.93,16.68,14.61,14.72,4237600,367.999992
2016-06-28,13.45,13.48,11.28,11.43,3006200,285.749994
2016-06-29,10.58,10.61,9.83,10.09,2488600,252.249994
2016-06-30,9.78,10.04,9.32,9.43,2558600,235.749995
2016-07-01,9.28,9.35,8.75,8.85,2847100,221.249995
2016-07-05,9.17,9.83,9.09,9.16,2431700,228.999995
2016-07-06,9.45,9.72,8.68,8.69,2644000,217.249995
2016-07-07,8.42,9.07,8.15,8.32,2324300,207.999995
2016-07-08,7.8,7.91,7.21,7.32,2185200,182.999996
2016-07-11,7.11,7.36,6.96,7.33,1520400,183.249996
2016-07-12,6.98,7.3,6.93,7.0,1731700,174.999996
2016-07-13,6.84,7.1,6.72,6.78,2041400,169.499996
2016-07-14,6.61,6.82,6.52,6.74,2039000,168.499996
2016-07-15,6.64,7.11,6.57,6.69,2599600,167.249996
2016-07-18,6.74,6.81,6.33,6.44,1890700,160.999996
2016-07-19,6.44,6.64,6.26,6.41,1716800,160.249996
2016-07-20,6.18,6.3,5.96,6.08,1685200,151.999997
2016-07-21,6.12,6.57,6.02,6.41,2301800,160.249996
2016-07-22,6.32,6.42,5.97,6.1,1751000,152.499997
2016-07-25,30.05,32.429999,29.629999,30.2,4145000,151.000002
2016-07-26,30.2,31.329999,29.55,29.629999,4327800,148.149996
2016-07-27,28.75,30.460001,27.7,28.25,5185500,141.250002
2016-07-28,28.5,29.160001,26.860001,27.24,4685700,136.199999
2016-07-29,27.179999,27.29,24.9,25.35,4766700,126.750002
2016-08-01,24.89,25.760001,23.77,24.430001,5812500,122.150003
2016-08-02,24.980001,27.8,24.7,26.310001,9254000,131.550005
2016-08-03,26.429999,26.960001,25.0,25.04,4568500,125.199999
2016-08-04,24.35,24.92,23.32,23.67,5140900,118.35
2016-08-05,22.49,22.54,21.47,22.030001,5927700,110.150003
2016-08-08,21.44,21.67,21.030001,21.04,3495800,105.199999
2016-08-09,20.45,21.02,19.55,20.35,6177100,101.750002
2016-08-10,20.1,22.130001,20.02,21.32,7107300,106.6
2016-08-11,20.82,21.35,20.260001,21.1,4535000,105.500002
2016-08-12,21.130001,21.65,20.410001,20.7,4787300,103.500002
2016-08-15,20.260001,20.380001,19.85,20.04,3648900,100.199998
2016-08-16,20.84,21.680001,20.82,21.45,4852900,107.250002
2016-08-17,21.27,22.4,20.14,20.310001,6559100,101.550005
2016-08-18,20.460001,20.77,19.6,19.610001,4457400,98.050005
2016-08-19,20.030001,20.4,19.6,19.75,4583400,98.750001
2016-08-22,20.02,20.55,19.75,19.910001,6065000,99.550005
2016-08-23,19.62,19.880001,19.380001,19.810001,4261600,99.050005
2016-08-24,19.980001,21.12,19.9,20.67,6027800,103.35
2016-08-25,21.39,21.47,20.210001,20.67,5669600,103.35
2016-08-26,20.35,22.210001,19.25,20.830001,13021000,104.150003
2016-08-29,20.69,20.7,19.74,19.99,4512700,99.949998
2016-08-30,19.810001,20.34,19.52,19.65,4740300,98.250001
2016-08-31,19.780001,20.87,19.59,19.85,6188900,99.250001
2016-09-01,19.65,20.7,19.5,19.630001,6250000,98.150003
2016-09-02,18.87,19.030001,18.24,18.27,5951100,91.35
2016-09-06,17.95,18.29,17.260001,17.3,5089700,86.500001
2016-09-07,17.3,17.42,16.760001,16.8,4312800,84.000001
2016-09-08,16.860001,17.360001,16.77,16.930001,4730800,84.650003
2016-09-09,18.3,22.5,18.160001,22.42,15276400,112.1
2016-09-12,22.92,23.4,18.95,19.4,14305100,97.000001
2016-09-13,21.04,26.1,20.910001,24.630001,18410500,123.150003
2016-09-14,24.09,25.210001,22.12,24.5,11203400,122.500002
2016-09-15,24.45,25.35,22.060001,22.630001,7628000,113.150003
2016-09-16,23.64,24.460001,21.8,22.080001,9716800,110.400003
2016-09-19,20.57,21.79,19.7,20.930001,6715100,104.650003
2016-09-20,19.95,21.280001,19.92,20.59,5202600,102.949998
2016-09-21,20.02,20.62,17.15,17.4,10183600,87.000001
2016-09-22,16.460001,16.87,16.14,16.2,5328300,81.000001
2016-09-23,16.37,16.680001,16.080001,16.49,5244400,82.449998
2016-09-26,17.74,18.660001,17.510001,18.280001,8243900,91.400003
2016-09-27,18.260001,18.55,16.12,16.380001,6305200,81.900003
2016-09-28,16.180001,17.32,15.94,16.030001,6124300,80.150003
2016-09-29,16.180001,19.17,15.67,18.0,14581300,90.000001
2016-09-30,16.85,17.47,16.22,16.65,8995800,83.250001
2016-10-03,17.030001,17.29,16.35,16.45,6355700,82.250001
2016-10-04,16.22,17.210001,15.74,16.39,10579600,81.949998
2016-10-05,16.02,16.25,15.85,16.14,5276700,80.699998
2016-10-06,16.19,16.44,15.710001,15.830001,5359900,79.150003
2016-10-07,15.660001,16.57,15.530001,15.89,7140600,79.449998
2016-10-10,15.5,15.610001,14.930001,15.19,4045100,75.949998
2016-10-11,15.410001,17.32,15.360001,16.82,10332300,84.1
2016-10-12,16.72,17.3,16.1,16.910001,8390400,84.550004
2016-10-13,18.210001,19.17,17.45,17.97,12421900,89.85
2016-10-14,16.9,17.8,16.65,17.580001,8448000,87.900003
2016-10-17,17.360001,17.880001,17.15,17.410001,5814500,87.050004
2016-10-18,16.460001,16.7,15.95,16.02,5539900,80.1
2016-10-19,15.3,15.75,15.010001,15.260001,5240000,76.300004
2016-10-20,15.310001,15.62,14.75,14.85,7192700,74.250001
2016-10-21,15.010001,15.15,14.180001,14.230001,6061200,71.150003
2016-10-24,13.580001,13.6,13.1,13.230001,4804200,66.150003
2016-10-25,13.2,13.8,13.17,13.45,5669200,67.250001
2016-10-26,14.060001,14.29,13.52,14.130001,6048800,70.650003
2016-10-27,13.680001,14.75,13.65,14.64,5754500,73.199998
2016-10-28,14.710001,16.4,14.37,15.880001,12468600,79.400003
2016-10-31,15.69,16.8,15.62,16.59,6613600,82.949998
2016-11-01,16.610001,19.12,16.610001,17.57,14936800,87.85
2016-11-02,17.7,18.680001,17.510001,18.32,11521900,91.6
2016-11-03,18.29,20.84,18.110001,20.380001,12556100,101.900003
2016-11-04,19.85,20.630001,18.810001,20.39,12549000,101.949998
2016-11-07,16.9,17.27,15.2,15.3,9669100,76.500001
2016-11-08,15.32,15.69,14.07,14.27,9416800,71.35
2016-11-09,15.880001,15.95,13.130001,13.55,20420600,67.750001
2016-11-10,12.76,15.110001,12.52,14.180001,17557100,70.900003
2016-11-11,14.660001,14.980001,13.430001,13.54,10501800,67.699998
2016-11-14,13.7,14.42,13.280001,13.42,9044300,67.099999
2016-11-15,13.14,13.44,12.28,12.3,8088700,61.500001
2016-11-16,12.73,12.75,12.12,12.39,5394100,61.950002
2016-11-17,12.33,12.43,11.61,11.61,5301800,58.05
2016-11-18,11.63,11.92,11.4,11.52,4754400,57.599999
2016-11-21,11.24,11.26,10.46,10.5,5082000,52.500001
2016-11-22,10.5,11.11,10.41,10.66,4959100,53.3
2016-11-23,10.87,11.04,10.59,10.69,4138000,53.450002
2016-11-25,10.63,10.84,10.53,10.57,1874800,52.849999
2016-11-28,10.77,11.1,10.55,10.75,5403300,53.750001
2016-11-29,10.78,10.95,10.3,10.59,4272700,52.950002
2016-11-30,10.28,10.71,10.23,10.6,6088800,53.000001
2016-12-01,10.55,11.82,10.48,11.43,8082200,57.150002
2016-12-02,11.56,11.68,10.79,11.44,7289300,57.200002
2016-12-05,10.63,10.74,9.85,9.93,6575200,49.650002
2016-12-06,9.53,9.66,9.13,9.21,5444000,46.05
2016-12-07,9.15,9.39,8.78,9.27,7497000,46.349999
2016-12-08,9.29,9.97,9.2,9.31,9549000,46.55
2016-12-09,9.49,9.51,9.04,9.14,5773300,45.700001
2016-12-12,9.13,9.45,9.09,9.25,4974600,46.250001
2016-12-13,9.21,9.74,9.15,9.43,5315900,47.150002
2016-12-14,9.52,9.6,8.81,9.37,10729500,46.849999
2016-12-15,9.08,9.34,8.93,9.08,4998400,45.400002
2016-12-16,8.86,9.11,8.75,8.85,5322200,44.250001
2016-12-19,8.65,8.66,8.21,8.23,5157500,41.150002
2016-12-20,8.07,8.11,7.82,7.91,4406400,39.55
2016-12-21,7.82,7.86,7.62,7.67,3774700,38.349999
2016-12-22,7.66,7.99,7.58,7.89,4368100,39.450001
