Date,Open,High,Low,Close,Volume,Adj Close
2016-01-04,92.769997,92.769997,91.589996,92.720001,61700,91.096983
2016-01-05,92.919998,93.110001,92.089996,92.68,102000,91.057682
2016-01-06,91.389999,91.410004,89.93,90.410004,84200,88.827421
2016-01-07,88.870003,89.440002,87.480003,87.870003,97900,86.331881
2016-01-08,88.57,88.709999,86.769997,86.910004,89600,85.388686
2016-01-11,87.300003,87.389999,85.029999,85.690002,100300,84.190041
2016-01-12,86.540001,86.709999,84.75,85.800003,53600,84.298116
2016-01-13,86.339996,86.580002,83.739998,83.830002,67400,82.362598
2016-01-14,84.019997,85.489998,83.07,84.93,78100,83.443342
2016-01-15,83.959999,83.959999,82.099998,83.269997,100700,81.812396
2016-01-19,84.120003,84.120003,81.150002,82.129997,91500,80.692352
2016-01-20,80.989998,82.32,79.0,81.709999,81500,80.279705
2016-01-21,81.779999,82.809998,81.129997,82.279999,96700,80.839727
2016-01-22,83.559998,84.809998,83.0,83.709999,80900,82.244696
2016-01-25,83.059998,83.059998,80.889999,80.970001,209000,79.552661
2016-01-26,81.599998,82.639999,81.25,82.519997,65300,81.075524
2016-01-27,82.220001,83.57,81.639999,81.800003,73000,80.368134
2016-01-28,82.480003,82.760002,81.449997,82.029999,59000,80.594104
2016-01-29,82.470001,84.769997,82.419998,84.75,88700,83.266493
2016-02-01,84.110001,85.059998,83.400002,84.82,106700,83.335267
2016-02-02,84.489998,84.489998,83.269997,83.980003,46300,82.509974
2016-02-03,84.720001,86.410004,83.629997,86.400002,64300,84.887612
2016-02-04,86.489998,89.279999,86.489998,88.510002,67400,86.960678
2016-02-05,88.099998,88.830002,87.209999,87.400002,83400,85.870107
2016-02-08,86.519997,86.959999,84.019997,85.220001,52300,83.728267
2016-02-09,84.32,86.589996,84.32,86.089996,87100,84.583033
2016-02-10,86.440002,87.410004,85.309998,85.440002,55900,83.944417
2016-02-11,84.0,84.949997,83.139999,83.730003,46500,82.26435
2016-02-12,84.529999,86.099998,84.309998,86.099998,38400,84.59286
2016-02-16,86.82,87.400002,86.059998,87.400002,76200,85.870107
2016-02-17,88.099998,89.510002,88.099998,89.010002,40800,87.451925
2016-02-18,89.129997,89.129997,88.160004,88.57,46200,87.019625
2016-02-19,88.169998,88.169998,87.300003,87.709999,38600,86.174678
2016-02-22,88.709999,89.599998,88.68,89.309998,41300,87.74667
2016-02-23,88.739998,88.739998,87.139999,87.269997,40200,85.742378
2016-02-24,86.349998,88.449997,86.040001,88.410004,29500,86.86243
2016-02-25,88.510002,89.379997,87.760002,89.379997,38800,87.815444
2016-02-26,90.099998,90.989998,90.099998,90.559998,54700,88.974789
2016-02-29,90.559998,91.75,90.260002,90.260002,88700,88.680045
