Date,Open,High,Low,Close,Volume,Adj Close
2016-01-04,49.130001,49.27,49.130001,49.139999,78500,47.76806
2016-01-05,49.139999,49.240002,49.139999,49.139999,7500,47.76806
2016-01-06,49.23,49.348,49.23,49.348,7300,47.970253
2016-01-07,49.259998,49.389999,49.25,49.389999,5600,48.01108
2016-01-08,49.369999,49.48,49.349998,49.48,14700,48.098568
2016-01-11,49.330002,49.450001,49.330002,49.450001,27700,48.069406
2016-01-12,49.504002,49.669998,49.504002,49.599998,38000,48.215216
2016-01-13,49.529999,49.700001,49.529999,49.700001,9100,48.312427
2016-01-14,49.669998,49.68,49.560001,49.658001,11200,48.271599
2016-01-15,49.709999,49.830002,49.689999,49.830002,25700,48.438798
2016-01-19,49.66,49.759998,49.66,49.665001,16300,48.278404
2016-01-20,49.880001,50.009998,49.817001,49.869999,51700,48.477679
2016-01-21,49.880001,49.889999,49.73,49.73,18800,48.341588
2016-01-22,49.618,49.700001,49.618,49.68,31000,48.292985
2016-01-25,49.700001,49.709999,49.630001,49.66,5100,48.273543
2016-01-26,49.674,49.75,49.673,49.720001,8800,48.331869
2016-01-27,49.705002,49.771999,49.682999,49.77,5600,48.380472
2016-01-28,49.82,49.826,49.726002,49.825001,16800,48.433937
2016-01-29,49.959999,50.07,49.959999,50.07,9400,48.672096
2016-02-01,49.875999,49.970001,49.830002,49.970001,61500,48.574889
2016-02-02,50.064999,50.240002,50.029999,50.23,62900,48.827628
2016-02-03,50.290001,50.324001,50.18,50.245998,7900,48.843181
2016-02-04,50.220001,50.275002,50.18,50.275002,17900,48.871374
2016-02-05,50.119999,50.25,50.063,50.139999,13700,48.740141
2016-02-08,50.416,50.509998,50.369999,50.509998,16500,49.09981
2016-02-09,50.450001,50.52,50.324001,50.490002,7500,49.080372
2016-02-10,50.439999,50.555,50.41,50.498001,8400,49.088148
2016-02-11,50.619999,50.723999,50.535,50.535,14300,49.124113
2016-02-12,50.549999,50.549999,50.389999,50.403,10700,48.995799
2016-02-16,50.27,50.349998,50.23,50.271,13200,48.867484
2016-02-17,50.214001,50.25,50.143002,50.18,21100,48.779025
2016-02-18,50.320999,50.328999,50.23,50.290001,12100,48.885955
2016-02-19,50.330002,50.330002,50.169998,50.224998,5400,48.822767
2016-02-22,50.275002,50.275002,50.169998,50.244999,18900,48.842209
2016-02-23,50.209999,50.360001,50.209999,50.349998,12500,48.944277
2016-02-24,50.52,50.529999,50.27,50.362999,21900,48.956915
2016-02-25,50.360001,50.459999,50.360001,50.389999,23200,48.983161
2016-02-26,50.32,50.32,50.209999,50.209999,20800,48.808186
2016-02-29,50.34,50.348999,50.279999,50.299999,7500,48.895674
2016-03-01,50.25,50.25,50.009998,50.105,13600,48.706118
2016-03-02,50.0,50.029999,49.957001,49.959999,6900,48.565166
2016-03-03,50.029999,50.07,50.009998,50.063999,4200,48.666263
2016-03-04,50.07,50.09,49.900002,49.900002,6900,48.506844
2016-03-07,50.033001,50.035999,49.903999,49.999001,3100,48.603079
2016-03-08,50.049999,50.209,50.049999,50.148998,2900,48.748889
2016-03-09,50.040001,50.040001,49.900002,49.900002,19100,48.506844
2016-03-10,49.990002,50.0,49.900002,49.900002,7500,48.506844
2016-03-11,49.900002,49.950001,49.869999,49.942001,6200,48.547671
2016-03-14,49.900002,49.990002,49.900002,49.911999,7600,48.518506
2016-03-15,49.919998,49.919998,49.669998,49.709999,16100,48.322146
2016-03-16,49.73,49.91,49.59,49.91,10800,48.516563
2016-03-17,50.0,50.07,49.950001,49.974998,17600,48.579747
2016-03-18,50.080002,50.16,50.009998,50.029999,8600,48.633212
2016-03-21,50.02,50.07,49.990002,50.07,2500,48.672096
2016-03-22,50.070999,50.130001,49.84,49.84,11100,48.448517
2016-03-23,49.950001,50.060001,49.880001,50.036999,45700,48.640016
2016-03-24,50.110001,50.148998,49.91,49.939999,27700,48.545724
2016-03-28,50.02,50.099998,50.009998,50.09,9900,48.691538
2016-03-29,50.099998,50.27,50.080002,50.27,71800,48.866513
2016-03-30,50.18,50.279999,50.18,50.279999,11100,48.876232
2016-03-31,50.299999,50.450001,50.259998,50.437,11500,49.02885
2016-04-01,50.464001,50.5,50.459999,50.494999,4700,49.085229
2016-04-04,50.605,50.605,50.490002,50.555,38200,49.143556
2016-04-05,50.599998,50.73,50.599998,50.694,15100,49.278675
2016-04-06,50.612,50.68,50.610001,50.68,8800,49.265066
2016-04-07,50.619999,50.798,50.619999,50.790001,5400,49.371995
2016-04-08,50.720001,50.749001,50.639999,50.720001,9800,49.30395
2016-04-11,50.73,50.771999,50.700001,50.75,11800,49.333111
2016-04-12,50.560001,50.66,50.549999,50.549999,38700,49.138694
2016-04-13,50.542999,50.650002,50.52,50.630001,20500,49.216462
2016-04-14,50.52,50.610001,50.487999,50.487999,23600,49.078425
