Date,Open,High,Low,Close,Volume,Adj Close
2016-01-04,97.330002,97.389999,96.330002,97.32,452800,95.465444
2016-01-05,97.620003,97.690002,96.860001,97.540001,319400,95.681253
2016-01-06,96.290001,96.75,95.540001,96.019997,379800,94.190215
2016-01-07,94.650002,95.07,93.449997,93.589996,553900,91.806521
2016-01-08,93.940002,94.209999,92.160004,92.269997,482200,90.511676
2016-01-11,92.550003,92.940002,91.239998,92.040001,362600,90.286063
2016-01-12,92.839996,93.120003,90.82,92.169998,441200,90.413583
2016-01-13,92.370003,92.709999,89.160004,89.639999,304300,87.931796
2016-01-14,90.099998,91.339996,88.790001,90.660004,497900,88.932363
2016-01-15,88.459999,89.389999,87.440002,89.190002,490700,87.490375
2016-01-19,90.120003,90.120003,87.580002,88.389999,443100,86.705617
2016-01-20,87.110001,88.830002,84.839996,87.980003,848900,86.303433
2016-01-21,88.099998,89.379997,87.5,87.949997,380800,86.273999
2016-01-22,89.459999,90.220001,89.050003,90.010002,1016500,88.294748
2016-01-25,89.470001,89.699997,87.879997,87.989998,326400,86.313238
2016-01-26,88.349998,90.230003,88.349998,90.160004,439900,88.441891
2016-01-27,89.760002,90.900002,88.910004,89.349998,356500,87.647322
2016-01-28,90.25,90.559998,89.269997,89.620003,356300,87.912181
2016-01-29,90.07,92.480003,90.0,92.480003,238700,90.71768
2016-02-01,91.970001,92.800003,91.349998,92.330002,303700,90.570537
2016-02-02,91.480003,91.5,90.089996,90.410004,408700,88.687127
2016-02-03,91.110001,91.300003,88.900002,91.07,495800,89.334546
2016-02-04,90.849998,92.730003,90.849998,91.790001,221100,90.040827
2016-02-05,91.370003,91.620003,90.029999,90.089996,332400,88.373218
2016-02-08,89.160004,89.230003,87.529999,88.790001,674600,87.097996
2016-02-09,87.599998,89.099998,87.580002,88.370003,316300,86.686001
2016-02-10,88.879997,89.900002,88.269997,88.339996,285200,86.656566
2016-02-11,87.199997,87.699997,86.25,87.0,442700,85.342105
2016-02-12,87.839996,88.790001,87.529999,88.669998,371100,86.98028
2016-02-16,89.599998,90.470001,88.93,90.400002,389800,88.677316
2016-02-17,91.010002,92.199997,90.900002,91.690002,289500,89.942734
2016-02-18,91.940002,91.940002,91.18,91.550003,212000,89.805402
2016-02-19,91.139999,91.559998,90.629997,91.5,336100,89.756352
2016-02-22,92.389999,93.010002,92.220001,92.790001,300100,91.02177
2016-02-23,92.540001,92.760002,91.870003,91.879997,289500,90.129108
2016-02-24,91.019997,92.75,90.470001,92.599998,175100,90.835389
2016-02-25,92.849998,93.540001,92.449997,93.5,167400,91.71824
2016-02-26,94.040001,94.419998,93.68,93.989998,168800,92.1989
2016-02-29,94.050003,94.860001,93.849998,93.870003,161100,92.081192
2016-03-01,94.610001,95.669998,94.110001,95.669998,153700,93.846886
2016-03-02,95.589996,96.830002,95.43,96.82,198300,94.974973
2016-03-03,96.839996,98.110001,96.68,98.040001,304600,96.171725
2016-03-04,98.230003,99.269997,97.919998,98.779999,263300,96.897621
2016-03-07,98.43,99.620003,98.160004,99.589996,270400,97.692183
2016-03-08,99.099998,99.099998,97.419998,97.480003,258700,95.622399
2016-03-09,97.980003,98.25,97.43,98.010002,150900,96.142298
2016-03-10,98.419998,98.559998,96.790001,97.769997,164800,95.906866
2016-03-11,98.620003,99.730003,98.620003,99.629997,194000,97.731422
2016-03-14,99.120003,99.540001,98.739998,99.25,151000,97.358666
2016-03-15,98.25,98.279999,97.650002,98.019997,185800,96.50897
2016-03-16,97.790001,99.199997,97.5,99.050003,182700,97.523099
2016-03-17,98.900002,100.839996,98.68,100.599998,257600,99.0492
2016-03-18,100.720001,101.519997,100.639999,101.120003,280600,99.561188
2016-03-21,101.059998,101.410004,100.629997,100.970001,742300,99.413499
2016-03-22,100.580002,101.290001,100.150002,100.989998,218500,99.433188
2016-03-23,100.669998,100.669998,99.389999,99.43,382700,97.897238
2016-03-24,98.769997,99.660004,98.440002,99.660004,276800,98.123696
2016-03-28,99.900002,100.080002,99.150002,99.809998,194200,98.271378
2016-03-29,99.5,101.720001,99.209999,101.720001,156300,100.151938
2016-03-30,102.230003,102.410004,101.519997,101.760002,234000,100.191322
2016-03-31,101.82,102.139999,101.639999,101.879997,181300,100.309467
2016-04-01,100.989998,102.089996,100.709999,102.010002,353200,100.437468
2016-04-04,101.879997,102.029999,100.910004,100.989998,293100,99.433188
2016-04-05,100.260002,100.610001,99.769997,99.849998,546700,98.310762
2016-04-06,99.989998,100.660004,99.5,100.610001,200600,99.059048
2016-04-07,100.099998,100.349998,98.889999,99.349998,181000,97.81847
2016-04-08,100.260002,100.839996,99.779999,100.099998,129900,98.556908
2016-04-11,100.639999,101.339996,100.099998,100.099998,147700,98.556908
2016-04-12,100.199997,101.550003,100.089996,101.400002,250100,99.836871
2016-04-13,101.980003,103.209999,101.849998,103.169998,283500,101.579582
2016-04-14,103.099998,103.290001,102.709999,102.910004,186000,101.323596
2016-04-15,102.709999,103.339996,102.650002,103.25,185300,101.658351
2016-04-18,102.709999,103.809998,102.599998,103.75,202000,102.150643
2016-04-19,103.940002,104.809998,103.830002,104.309998,312700,102.702008
2016-04-20,104.260002,104.809998,103.790001,104.300003,268900,102.692167
2016-04-21,104.360001,104.519997,103.18,103.300003,178900,101.707583
2016-04-22,103.43,104.57,103.379997,104.470001,294700,102.859545
2016-04-25,104.269997,104.300003,103.32,103.75,979600,102.150643
2016-04-26,104.160004,105.0,104.0,104.959999,207900,103.341989
2016-04-27,104.989998,105.75,104.760002,105.580002,232900,103.952434
2016-04-28,105.199997,105.790001,104.360001,104.540001,191300,102.928466
2016-04-29,104.279999,104.589996,103.199997,104.019997,366000,102.416477
2016-05-02,104.220001,104.709999,103.599998,104.660004,201100,103.046618
2016-05-03,103.949997,103.949997,102.440002,103.110001,414500,101.520509
2016-05-04,102.650002,103.470001,102.279999,102.610001,252100,101.028217
2016-05-05,103.160004,103.43,102.25,102.480003,209400,100.900224
2016-05-06,102.160004,103.169998,102.089996,103.169998,466900,101.579582
2016-05-09,103.139999,103.32,102.419998,102.889999,210000,101.3039
2016-05-10,103.279999,104.169998,103.150002,104.169998,764400,102.564167
2016-05-11,103.93,104.129997,103.129997,103.160004,157900,101.569742
2016-05-12,103.699997,103.75,102.25,102.82,134800,101.234979
2016-05-13,102.639999,102.940002,101.550003,101.82,220400,100.250395
2016-05-16,102.0,103.139999,101.940002,102.849998,142100,101.264515
2016-05-17,102.629997,103.239998,101.339996,101.739998,386300,100.171626
2016-05-18,101.529999,102.68,101.080002,101.68,1019800,100.112553
2016-05-19,101.160004,101.599998,100.300003,101.139999,293700,99.580877
2016-05-20,101.589996,102.489998,101.589996,102.410004,576400,100.831303
2016-05-23,102.440002,102.669998,102.019997,102.220001,551300,100.64423
2016-05-24,102.660004,103.93,102.660004,103.769997,358000,102.170331
2016-05-25,104.0,104.769997,103.919998,104.660004,172400,103.046618
2016-05-26,104.839996,105.010002,104.349998,104.510002,223800,102.898929
2016-05-27,104.459999,105.220001,104.459999,105.220001,143700,103.597983
2016-05-31,105.489998,105.870003,105.059998,105.480003,219300,103.853977
2016-06-01,105.059998,106.089996,104.800003,106.0,236600,104.365958
2016-06-02,105.720001,106.639999,105.57,106.629997,247600,104.986244
2016-06-03,106.519997,106.580002,105.419998,106.139999,2283600,104.503799
2016-06-06,106.459999,107.550003,106.360001,107.330002,2094700,105.675457
2016-06-07,107.43,108.050003,107.209999,107.760002,250300,106.098829
2016-06-08,107.809998,108.379997,107.769997,108.260002,175000,106.591121
2016-06-09,107.790001,107.879997,107.209999,107.769997,287200,106.108669
2016-06-10,106.849998,106.980003,105.93,106.230003,222800,104.592416
2016-06-13,105.919998,106.269997,104.849998,104.959999,264800,103.341989
2016-06-14,104.309998,104.860001,103.599998,104.209999,191500,102.91732
2016-06-15,104.440002,105.199997,104.230003,104.360001,218300,103.065461
2016-06-16,103.760002,104.230003,102.75,104.139999,259300,102.848188
2016-06-17,104.330002,104.970001,103.989998,104.480003,906000,103.183975
2016-06-20,105.93,106.339996,105.449997,105.470001,2098600,104.161692
2016-06-21,105.610001,105.739998,104.849998,105.43,403100,104.122187
2016-06-22,105.699997,106.139999,105.160004,105.209999,1525200,103.904915
2016-06-23,106.25,107.050003,106.25,107.040001,190500,105.712217
2016-06-24,103.300003,104.510002,102.589996,102.800003,774700,101.524814
2016-06-27,101.639999,101.709999,99.169998,99.540001,648800,98.305251
2016-06-28,100.669998,101.550003,100.459999,101.339996,606000,100.082918
2016-06-29,102.519997,103.529999,102.360001,103.419998,250000,102.137118
2016-06-30,103.660004,105.360001,103.18,105.309998,225100,104.003673
2016-07-01,105.220001,106.07,105.199997,105.669998,630200,104.359208
2016-07-05,105.169998,105.349998,103.410004,104.0,239900,102.709926
2016-07-06,103.550003,104.669998,103.300003,104.57,680700,103.272855
2016-07-07,104.849998,105.540001,104.099998,104.639999,247600,103.341986
2016-07-08,105.519997,106.849998,105.519997,106.629997,395300,105.307299
2016-07-11,107.199997,107.779999,107.139999,107.519997,244200,106.186258
2016-07-12,108.279999,109.379997,108.169998,108.980003,553900,107.628154
2016-07-13,109.400002,109.519997,108.449997,108.849998,357600,107.499762
2016-07-14,109.650002,109.75,109.029999,109.029999,489600,107.67753
2016-07-15,109.400002,109.709999,109.029999,109.290001,505900,107.934306
2016-07-18,109.290001,109.620003,108.919998,109.379997,355300,108.023186
2016-07-19,109.260002,109.370003,108.699997,109.059998,259200,107.707156
2016-07-20,109.199997,109.800003,108.650002,109.580002,312300,108.22071
2016-07-21,109.510002,109.989998,108.919998,109.099998,429800,107.746661
2016-07-22,109.129997,109.889999,108.93,109.790001,165200,108.428104
2016-07-25,109.629997,109.790001,109.169998,109.480003,215700,108.121952
2016-07-26,109.440002,110.139999,109.370003,110.110001,364900,108.744134
2016-07-27,110.300003,110.449997,109.279999,109.650002,382400,108.289841
2016-07-28,109.650002,110.029999,109.300003,109.800003,163700,108.437982
2016-07-29,109.790001,110.550003,109.309998,110.199997,381200,108.833014
2016-08-01,110.230003,110.339996,109.459999,109.730003,317200,108.368851
2016-08-02,109.769997,109.889999,108.139999,108.419998,470600,107.075096
2016-08-03,108.459999,109.339996,108.150002,109.339996,669800,107.983682
