Date,Open,High,Low,Close,Volume,Adj Close
2016-01-04,29.27,30.219999,28.75,28.879999,741400,28.879999
2016-01-05,28.24,29.1,27.709999,27.93,440200,27.93
2016-01-06,29.790001,29.82,28.74,28.790001,445600,28.790001
2016-01-07,30.780001,32.380001,29.98,31.879999,959900,31.879999
2016-01-08,30.74,34.02,30.41,33.560001,816900,33.560001
2016-01-11,33.189999,36.119999,32.25,32.529999,803600,32.529999
2016-01-12,31.120001,33.049999,30.870001,30.950001,484400,30.950001
2016-01-13,30.389999,34.630001,30.290001,34.040001,644400,34.040001
2016-01-14,33.740002,35.349998,31.969999,32.849998,742300,32.849998
2016-01-15,36.369999,37.369999,35.119999,36.080002,652600,36.080002
2016-01-19,34.639999,37.779999,34.639999,36.040001,572500,36.040001
2016-01-20,37.310001,40.16,36.220001,37.029999,595900,37.029999
2016-01-21,36.619999,38.450001,35.619999,36.82,598400,36.82
2016-01-22,35.099998,35.490002,33.75,33.790001,374900,33.790001
2016-01-25,34.189999,35.580002,33.700001,35.439999,392100,35.439999
2016-01-26,34.990002,35.43,33.75,33.77,300500,33.77
2016-01-27,34.209999,35.619999,33.080002,35.150002,437100,35.150002
2016-01-28,34.040001,35.459999,33.790001,33.98,317200,33.98
2016-01-29,33.799999,33.860001,32.48,32.560001,268900,32.560001
2016-02-01,32.810001,33.299999,31.84,32.18,193900,32.18
2016-02-02,33.27,34.610001,33.209999,34.330002,135300,34.330002
2016-02-03,33.790001,36.299999,33.759998,33.970001,378200,33.970001
2016-02-04,34.380001,34.740002,33.459999,34.32,304600,34.32
2016-02-05,34.23,36.189999,34.23,35.599998,246400,35.599998
2016-02-08,37.029999,38.830002,36.66,37.349998,296400,37.349998
2016-02-09,38.849998,39.0,36.93,37.689999,323600,37.689999
2016-02-10,36.93,38.029999,36.299999,38.029999,184200,38.029999
2016-02-11,40.52,41.689999,39.400002,40.349998,489200,40.349998
2016-02-12,39.139999,39.98,38.5,38.580002,204000,38.580002
2016-02-16,37.259998,37.880001,36.709999,36.790001,151400,36.790001
2016-02-17,35.91,36.259998,35.18,35.360001,153900,35.360001
2016-02-18,35.150002,35.82,34.75,35.25,199000,35.25
2016-02-19,35.900002,36.200001,34.32,34.360001,215000,34.360001
2016-02-22,33.400002,33.439999,32.369999,32.369999,153000,32.369999
2016-02-23,32.869999,34.150002,32.59,34.029999,214500,34.029999
2016-02-24,35.43,36.02,33.689999,33.779999,181800,33.779999
2016-02-25,33.549999,34.150002,32.599998,32.599998,160200,32.599998
2016-02-26,32.119999,33.389999,31.99,33.09,170800,33.09
2016-02-29,33.099998,33.639999,32.139999,33.610001,232300,33.610001
2016-03-01,32.849998,33.139999,30.700001,30.700001,231800,30.700001
2016-03-02,30.82,31.25,30.129999,30.129999,219800,30.129999
2016-03-03,30.309999,30.530001,28.9,29.129999,214800,29.129999
2016-03-04,28.65,29.77,28.549999,29.5,222100,29.5
2016-03-07,30.1,30.190001,28.93,29.58,156900,29.58
2016-03-08,30.17,30.780001,29.790001,30.65,177100,30.65
2016-03-09,30.370001,30.969999,30.23,30.280001,150000,30.280001
2016-03-10,29.809999,31.129999,28.860001,29.73,414100,29.73
2016-03-11,29.040001,29.17,28.23,28.24,218000,28.24
2016-03-14,28.459999,28.629999,27.629999,27.790001,133700,27.790001
2016-03-15,28.639999,28.75,28.15,28.16,149100,28.16
2016-03-16,28.58,28.58,26.91,27.139999,208900,27.139999
2016-03-17,27.15,27.32,26.02,26.32,244600,26.32
2016-03-18,26.0,26.629999,25.700001,26.139999,197900,26.139999
2016-03-21,26.15,26.209999,25.360001,25.440001,97600,25.440001
2016-03-22,25.75,25.799999,24.889999,25.059999,190400,25.059999
2016-03-23,25.32,26.309999,25.32,26.23,206700,26.23
2016-03-24,27.16,27.379999,26.09,26.120001,196800,26.120001
2016-03-28,25.860001,26.23,25.370001,25.74,100000,25.74
2016-03-29,25.83,26.0,24.219999,24.26,231500,24.26
2016-03-30,23.809999,24.219999,23.290001,23.690001,200900,23.690001
2016-03-31,23.9,24.16,23.370001,23.82,256500,23.82
2016-04-01,24.58,24.75,23.059999,23.129999,152300,23.129999
2016-04-04,23.07,23.780001,22.99,23.709999,183400,23.709999
2016-04-05,24.66,25.23,24.33,25.09,208600,25.09
2016-04-06,25.040001,25.08,23.43,23.48,181700,23.48
2016-04-07,24.15,26.15,23.870001,25.620001,294600,25.620001
2016-04-08,24.690001,25.459999,24.309999,24.969999,238100,24.969999
2016-04-11,24.540001,25.360001,24.25,25.34,413200,25.34
2016-04-12,25.370001,25.92,24.25,24.5,249000,24.5
2016-04-13,23.92,24.0,23.23,23.23,205100,23.23
2016-04-14,23.209999,23.57,22.9,23.16,128300,23.16
