Date,Open,High,Low,Close,Volume,Adj Close
2016-01-04,14.380001,14.830001,14.110001,14.2,1193400,71.000001
2016-01-05,13.85,14.29,13.610001,13.710001,883600,68.550004
2016-01-06,14.630001,14.64,14.110001,14.160001,866700,70.800004
2016-01-07,15.1,15.89,14.730001,15.680001,1065400,78.400003
2016-01-08,15.1,16.710001,14.94,16.49,1272300,82.449998
2016-01-11,16.330001,17.74,15.82,15.97,2076300,79.85
2016-01-12,15.29,16.24,15.160001,15.19,979000,75.949998
2016-01-13,14.910001,17.030001,14.87,16.760001,1291900,83.800004
2016-01-14,16.57,17.360001,15.69,16.130001,1370800,80.650003
2016-01-15,17.92,18.34,17.24,17.74,3095700,88.699998
2016-01-19,17.04,18.55,17.04,17.730001,1780700,88.650003
2016-01-20,18.3,19.72,17.79,18.2,1576300,91.000001
2016-01-21,18.0,18.89,17.49,18.12,1458900,90.6
2016-01-22,17.230001,17.45,16.580001,16.6,847100,83.000001
2016-01-25,16.8,17.49,16.55,17.39,747600,86.949998
2016-01-26,17.160001,17.380001,16.560001,16.580001,506900,82.900003
2016-01-27,16.77,17.5,16.230001,17.27,827500,86.35
2016-01-28,16.7,17.44,16.57,16.710001,648900,83.550004
2016-01-29,16.560001,16.64,15.95,15.99,464800,79.949998
2016-02-01,16.09,16.35,15.630001,15.79,362900,78.949998
2016-02-02,16.32,16.980001,16.29,16.84,593900,84.199998
2016-02-03,16.580001,17.8,16.560001,16.65,740400,83.250001
2016-02-04,16.860001,17.05,16.42,16.810001,527000,84.050004
2016-02-05,16.760001,17.760001,16.760001,17.480001,659000,87.400003
2016-02-08,18.17,19.05,17.960001,18.32,790100,91.6
2016-02-09,19.030001,19.12,18.1,18.480001,643500,92.400003
2016-02-10,18.14,18.64,17.79,18.610001,657900,93.050004
2016-02-11,19.89,20.44,19.310001,19.760001,1408500,98.800005
2016-02-12,19.15,19.62,18.880001,18.94,433600,94.699998
2016-02-16,18.260001,18.580001,17.99,18.060001,421400,90.300004
2016-02-17,17.64,17.79,17.25,17.330001,399000,86.650003
2016-02-18,17.22,17.580001,17.030001,17.29,369300,86.449998
2016-02-19,17.6,17.75,16.82,16.84,385400,84.199998
2016-02-22,16.35,16.42,15.87,15.89,404200,79.449998
2016-02-23,16.09,16.75,15.99,16.7,402200,83.500001
2016-02-24,17.380001,17.67,16.5,16.580001,489100,82.900003
2016-02-25,16.460001,16.760001,15.99,15.99,279600,79.949998
2016-02-26,15.75,16.380001,15.67,16.24,448000,81.199998
2016-02-29,16.180001,16.510001,15.730001,16.460001,499500,82.300004
2016-03-01,16.07,16.25,15.05,15.05,679900,75.250001
2016-03-02,15.09,15.330001,14.77,14.77,565500,73.85
2016-03-03,14.860001,14.97,14.160001,14.3,526000,71.500001
2016-03-04,14.060001,14.62,13.99,14.460001,682600,72.300004
2016-03-07,14.760001,14.82,14.17,14.5,692200,72.500001
2016-03-08,14.8,15.09,14.59,15.05,742400,75.250001
2016-03-09,14.89,15.160001,14.77,14.85,649700,74.250001
2016-03-10,14.610001,15.27,14.15,14.560001,1144700,72.800004
2016-03-11,14.24,14.3,13.84,13.85,492500,69.250001
2016-03-14,13.94,14.04,13.54,13.610001,316300,68.050004
2016-03-15,14.02,14.080001,13.79,13.810001,402900,69.050004
2016-03-16,14.010001,14.010001,13.19,13.32,1003200,66.599999
2016-03-17,13.32,13.39,12.75,12.9,514200,64.500001
2016-03-18,12.75,13.060001,12.58,12.8,519700,64.000001
2016-03-21,12.810001,12.84,12.4,12.44,396900,62.200002
2016-03-22,12.6,12.64,12.18,12.26,448900,61.3
2016-03-23,12.4,12.92,12.39,12.860001,460900,64.300004
2016-03-24,13.32,13.4,12.77,12.79,510100,63.950002
2016-03-28,12.66,12.860001,12.41,12.61,331500,63.05
2016-03-29,12.65,12.75,11.86,11.87,795000,59.349999
2016-03-30,11.69,11.87,11.39,11.59,495100,57.950002
2016-03-31,11.7,11.84,11.44,11.68,436700,58.400002
2016-04-01,12.04,12.12,11.3,11.32,482900,56.599999
2016-04-04,11.3,11.68,11.25,11.64,637000,58.200002
2016-04-05,12.07,12.35,11.91,12.29,663000,61.450002
2016-04-06,12.24,12.33,11.47,11.48,547300,57.400002
2016-04-07,11.83,12.810001,11.68,12.54,862200,62.700002
2016-04-08,12.09,12.48,11.89,12.23,756400,61.150002
2016-04-11,12.02,12.41,11.87,12.4,481300,62.000001
2016-04-12,12.39,12.68,11.87,11.98,762000,59.900002
2016-04-13,11.71,11.74,11.37,11.4,562100,57.000001
2016-04-14,11.36,11.55,11.2,11.35,363800,56.750001
2016-04-15,11.32,11.44,11.18,11.2,482300,56.000001
2016-04-18,11.34,11.34,10.47,10.5,774900,52.500001
2016-04-19,10.46,10.83,10.3,10.6,906400,53.000001
2016-04-20,10.45,10.71,10.36,10.66,809200,53.3
2016-04-21,10.77,11.02,10.68,10.86,792100,54.3
2016-04-22,10.92,11.0,10.54,10.58,596900,52.900002
2016-04-25,10.75,10.94,10.67,10.7,905600,53.500001
2016-04-26,10.57,10.64,10.4,10.48,478600,52.400002
2016-04-27,10.63,10.68,10.06,10.17,898500,50.849999
2016-04-28,10.37,10.84,9.98,10.76,953200,53.8
2016-04-29,10.9,11.6,10.77,11.1,1397700,55.500001
2016-05-02,10.9,11.01,10.34,10.45,871000,52.250001
2016-05-03,10.76,11.13,10.71,10.92,1088700,54.599999
2016-05-04,11.2,11.3,10.98,11.06,605900,55.3
2016-05-05,10.84,11.22,10.8,11.06,816200,55.3
2016-05-06,11.1,11.11,10.52,10.56,700500,52.8
2016-05-09,10.45,10.48,10.1,10.33,580200,51.650002
2016-05-10,10.06,10.07,9.8,9.82,750300,49.099999
2016-05-11,9.84,10.22,9.69,10.16,722300,50.8
2016-05-12,10.02,10.44,9.86,10.02,914800,50.099999
2016-05-13,10.04,10.47,9.83,10.38,903800,51.900002
2016-05-16,10.3,10.31,9.78,9.9,845500,49.500001
2016-05-17,9.99,10.49,9.93,10.34,1034000,51.700002
2016-05-18,10.37,10.53,9.98,10.31,1973600,51.55
2016-05-19,10.49,10.89,10.33,10.36,1866400,51.8
2016-05-20,10.14,10.16,9.95,9.99,880200,49.950002
2016-05-23,9.98,10.05,9.81,9.93,565000,49.650002
2016-05-24,9.8,9.81,9.41,9.51,763100,47.55
2016-05-25,9.37,9.44,9.16,9.34,671100,46.700001
2016-05-26,9.32,9.36,9.2,9.24,484000,46.200001
2016-05-27,9.17,9.2,8.98,8.99,696900,44.950001
2016-05-31,8.86,9.24,8.82,8.98,970400,44.900002
2016-06-01,9.13,9.22,8.85,8.88,938000,44.400002
2016-06-02,9.0,9.1,8.66,8.66,880300,43.3
2016-06-03,8.81,9.06,8.57,8.61,1078000,43.05
2016-06-06,8.57,8.72,8.47,8.51,905500,42.55
2016-06-07,8.44,8.54,8.34,8.52,850700,42.599999
2016-06-08,8.51,8.66,8.45,8.58,649700,42.900002
2016-06-09,8.75,8.85,8.64,8.73,855100,43.650002
2016-06-10,9.14,9.57,9.08,9.52,1618900,47.599999
2016-06-13,9.95,10.96,9.71,10.94,2255400,54.700002
2016-06-14,11.14,11.3,10.54,10.7,2934900,53.500001
2016-06-15,10.59,10.7,10.14,10.58,1926900,52.900002
2016-06-16,11.07,11.46,10.21,10.31,3287900,51.55
2016-06-17,10.31,10.51,10.13,10.31,1375500,51.55
2016-06-20,9.63,9.64,9.31,9.58,1669500,47.900002
2016-06-21,9.41,9.81,9.39,9.64,1145000,48.200001
2016-06-22,9.64,10.09,9.37,9.98,1256100,49.900002
2016-06-23,9.42,9.55,8.94,8.98,1710900,44.900002
2016-06-24,10.76,11.4,9.91,11.14,3203700,55.700002
2016-06-27,11.2,11.84,11.08,11.13,2276700,55.650002
2016-06-28,10.72,10.73,9.98,10.0,2618200,50.000001
2016-06-29,9.7,9.71,9.36,9.47,720400,47.349999
2016-06-30,9.34,9.47,9.11,9.16,1158200,45.8
2016-07-01,9.1,9.14,8.84,8.89,726900,44.450001
2016-07-05,9.05,9.38,9.02,9.05,657600,45.250001
2016-07-06,9.19,9.34,8.81,8.83,779500,44.150002
2016-07-07,8.68,9.01,8.54,8.67,802700,43.349999
2016-07-08,8.36,8.41,8.05,8.1,887400,40.500001
2016-07-11,7.98,8.14,7.91,8.11,590500,40.55
2016-07-12,7.92,8.1,7.9,7.92,811400,39.599999
2016-07-13,7.84,7.99,7.78,7.81,722500,39.05
2016-07-14,7.71,7.82,7.66,7.78,641000,38.900002
2016-07-15,7.73,8.0,7.68,7.76,926400,38.8
2016-07-18,7.8,7.83,7.54,7.62,559500,38.099999
2016-07-19,7.62,7.74,7.51,7.6,658200,38.000001
2016-07-20,7.45,7.53,7.33,7.39,601300,36.950001
2016-07-21,7.41,7.7,7.37,7.61,857900,38.05
2016-07-22,7.56,7.61,7.34,7.42,2848400,37.099999
2016-07-25,36.77,38.25,36.540001,36.849998,6519800,36.849998
2016-07-26,36.91,37.580002,36.5,36.52,3049600,36.52
2016-07-27,36.040001,37.07,35.360001,35.689999,4933300,35.689999
2016-07-28,35.860001,36.27,34.82,35.02,4096100,35.02
2016-07-29,35.0,35.099998,33.549999,33.799999,3417900,33.799999
2016-08-01,33.540001,34.130001,32.790001,33.220001,5978400,33.220001
2016-08-02,33.619999,35.529999,33.43,34.560001,5422900,34.560001
2016-08-03,34.599998,34.939999,33.639999,33.689999,3035900,33.689999
2016-08-04,33.220001,33.59,32.509998,32.709999,2809900,32.709999
2016-08-05,31.940001,31.959999,31.219999,31.629999,2911700,31.629999
2016-08-08,31.190001,31.35,30.9,30.91,2081500,30.91
2016-08-09,30.459999,30.889999,29.809999,30.41,4733200,30.41
2016-08-10,30.219999,31.74,30.16,31.139999,3143200,31.139999
2016-08-11,30.76,31.139999,30.360001,30.99,3506900,30.99
2016-08-12,31.0,31.379999,30.459999,30.66,2992500,30.66
2016-08-15,30.360001,30.440001,30.049999,30.18,2641400,30.18
2016-08-16,30.799999,31.42,30.790001,31.209999,2419600,31.209999
2016-08-17,31.120001,31.93,30.309999,30.43,3589400,30.43
2016-08-18,30.57,30.76,29.879999,29.879999,2699100,29.879999
2016-08-19,30.219999,30.51,29.889999,30.01,2663000,30.01
2016-08-22,30.219999,30.610001,30.01,30.120001,3738100,30.120001
2016-08-23,29.91,30.110001,29.73,30.040001,2656800,30.040001
2016-08-24,30.190001,31.040001,30.129999,30.690001,2652200,30.690001
2016-08-25,31.25,31.299999,30.379999,30.75,2525700,30.75
2016-08-26,30.48,31.879999,29.66,30.84,4284100,30.84
2016-08-29,30.73,30.74,30.040001,30.18,2710300,30.18
2016-08-30,30.07,30.49,29.85,29.969999,2711600,29.969999
2016-08-31,30.059999,30.889999,29.91,30.1,3521300,30.1
2016-09-01,29.959999,30.76,29.85,29.950001,3722500,29.950001
2016-09-02,29.35,29.469999,28.879999,28.879999,4128500,28.879999
2016-09-06,28.639999,28.91,28.110001,28.16,1995400,28.16
2016-09-07,28.15,28.24,27.700001,27.75,2099800,27.75
2016-09-08,27.780001,28.200001,27.709999,27.84,3006400,27.84
2016-09-09,28.959999,32.380001,28.85,32.360001,8198300,32.360001
2016-09-12,32.68,33.009998,29.809999,30.139999,7220600,30.139999
2016-09-13,31.379999,35.259998,31.299999,34.220001,5819400,34.220001
2016-09-14,33.700001,34.48,32.310001,34.009998,4498600,34.009998
2016-09-15,33.970001,34.580002,32.330002,32.720001,2620800,32.720001
2016-09-16,33.41,34.0,32.110001,32.310001,2770200,32.310001
2016-09-19,31.200001,32.130001,30.559999,31.51,3192500,31.51
2016-09-20,30.77,31.76,30.73,31.26,1976000,31.26
2016-09-21,30.84,31.27,28.690001,28.809999,3930300,28.809999
2016-09-22,28.059999,28.4,27.790001,27.889999,3454800,27.889999
2016-09-23,28.040001,28.26,27.76,28.09,1966300,28.09
2016-09-26,29.18,29.940001,28.959999,29.639999,2441400,29.639999
2016-09-27,29.629999,29.84,27.84,28.049999,2280900,28.049999
2016-09-28,27.870001,28.85,27.700001,27.75,1915400,27.75
2016-09-29,27.9,30.469999,27.459999,29.48,4575900,29.48
2016-09-30,28.51,29.01,27.959999,28.33,3178000,28.33
2016-10-03,28.620001,28.860001,28.08,28.15,2124900,28.15
2016-10-04,27.940001,28.799999,27.540001,28.09,2635500,28.09
2016-10-05,27.76,27.98,27.629999,27.870001,1498300,27.870001
2016-10-06,27.969999,28.15,27.52,27.610001,1319600,27.610001
2016-10-07,27.49,28.26,27.370001,27.67,2150900,27.67
2016-10-10,27.35,27.42,26.860001,27.040001,1120200,27.040001
2016-10-11,27.27,28.969999,27.24,28.530001,3640500,28.530001
2016-10-12,28.43,28.92,27.91,28.58,1988700,28.58
2016-10-13,29.719999,30.48,29.059999,29.48,1746200,29.48
2016-10-14,28.59,29.360001,28.42,29.15,2240400,29.15
2016-10-17,28.99,29.41,28.82,29.030001,1849500,29.030001
2016-10-18,28.25,28.440001,27.809999,27.860001,1625500,27.860001
2016-10-19,27.280001,27.629999,26.99,27.190001,2556200,27.190001
2016-10-20,27.280001,27.530001,26.75,26.85,2034200,26.85
2016-10-21,27.0,27.129999,26.24,26.27,1775400,26.27
2016-10-24,25.690001,25.73,25.25,25.370001,1650700,25.370001
2016-10-25,25.309999,25.91,25.309999,25.59,1647400,25.59
2016-10-26,26.200001,26.370001,25.66,26.23,2209600,26.23
2016-10-27,25.83,26.799999,25.799999,26.719999,2265300,26.719999
2016-10-28,26.790001,28.309999,26.469999,27.84,3933800,27.84
2016-10-31,27.67,28.620001,27.620001,28.42,1892500,28.42
2016-11-01,28.49,30.610001,28.48,29.25,4381200,29.25
2016-11-02,29.41,30.200001,29.25,29.91,3126000,29.91
2016-11-03,29.93,31.950001,29.74,31.559999,3144200,31.559999
2016-11-04,31.209999,31.799999,30.389999,31.59,3964400,31.59
2016-11-07,28.9,29.18,27.6,27.620001,2727800,27.620001
2016-11-08,27.780001,28.120001,26.65,26.790001,1425700,26.790001
2016-11-09,28.299999,28.35,25.76,26.16,5453100,26.16
2016-11-10,25.379999,27.709999,25.15,26.790001,4506200,26.790001
2016-11-11,27.219999,27.559999,26.08,26.18,2960300,26.18
2016-11-14,26.32,27.030001,25.93,26.07,2514200,26.07
2016-11-15,25.780001,26.09,24.940001,24.959999,3221400,24.959999
2016-11-16,25.41,25.440001,24.799999,25.08,2524200,25.08
2016-11-17,25.01,25.120001,24.33,24.33,1814100,24.33
2016-11-18,24.309999,24.620001,24.07,24.200001,1849000,24.200001
2016-11-21,23.92,23.93,23.09,23.120001,2040000,23.120001
