Date,Open,High,Low,Close,Volume,Adj Close
2016-01-04,52.810001,52.869999,52.709999,52.709999,161000,51.63104
2016-01-05,52.77,52.860001,52.73,52.810001,306700,51.728995
2016-01-06,52.810001,52.939999,52.810001,52.93,409700,51.846538
2016-01-07,52.919998,53.02,52.869999,53.0,324000,51.915105
2016-01-08,52.93,53.049999,52.93,53.040001,179500,51.954287
2016-01-11,52.939999,53.029999,52.93,52.959999,167800,51.875922
2016-01-12,52.950001,53.07,52.91,52.970001,321600,51.88572
2016-01-13,52.889999,53.09,52.889999,53.029999,184300,51.944489
2016-01-14,53.029999,53.110001,53.009998,53.09,851600,52.003262
2016-01-15,52.950001,53.18,52.950001,53.130001,137200,52.042445
2016-01-19,53.099998,53.139999,53.009998,53.07,1298600,51.983671
2016-01-20,53.16,53.209999,53.060001,53.139999,313700,52.052238
2016-01-21,53.130001,53.209999,53.09,53.110001,178000,52.022853
2016-01-22,53.049999,53.150002,53.049999,53.150002,261800,52.062036
2016-01-25,53.150002,53.200001,53.119999,53.200001,353600,52.111011
2016-01-26,53.16,53.240002,53.150002,53.189999,266600,52.101214
2016-01-27,53.139999,53.220001,53.110001,53.119999,211500,52.032647
2016-01-28,53.110001,53.25,53.110001,53.209999,196500,52.120805
2016-01-29,53.32,53.389999,53.23,53.369999,1051400,52.27753
2016-02-01,53.290001,53.299999,53.139999,53.18,152000,52.162769
2016-02-02,53.279999,53.41,53.279999,53.400002,235000,52.378562
2016-02-03,53.349998,53.459999,53.25,53.310001,187000,52.290283
2016-02-04,53.389999,53.419998,53.32,53.41,342300,52.388369
2016-02-05,53.349998,53.400002,53.27,53.369999,222900,52.349133
2016-02-08,53.43,53.470001,53.389999,53.400002,202300,52.378562
2016-02-09,53.380001,53.470001,53.360001,53.360001,173600,52.339326
2016-02-10,53.369999,53.459999,53.330002,53.439999,123500,52.417794
2016-02-11,53.450001,53.57,53.400002,53.509998,204600,52.486455
2016-02-12,53.470001,53.5,53.349998,53.41,164100,52.388369
2016-02-16,53.419998,53.439999,53.369999,53.389999,194200,52.368751
2016-02-17,53.349998,53.43,53.330002,53.41,190500,52.388369
2016-02-18,53.43,53.509998,53.360001,53.490002,212900,52.46684
2016-02-19,53.43,53.5,53.360001,53.43,266300,52.407987
2016-02-22,53.380001,53.459999,53.369999,53.41,265000,52.388369
2016-02-23,53.369999,53.48,53.34,53.400002,168900,52.378562
2016-02-24,53.439999,53.529999,53.369999,53.439999,190700,52.417794
2016-02-25,53.470001,53.5,53.41,53.450001,197500,52.427605
2016-02-26,53.349998,53.439999,53.34,53.400002,158900,52.378562
2016-02-29,53.400002,53.5,53.369999,53.450001,164500,52.427605
2016-03-01,53.419998,53.43,53.259998,53.27,169000,52.340158
2016-03-02,53.290001,53.380001,53.279999,53.369999,249800,52.438411
2016-03-03,53.389999,53.419998,53.310001,53.389999,168300,52.458062
2016-03-04,53.419998,53.419998,53.299999,53.369999,279600,52.438411
2016-03-07,53.330002,53.380001,53.27,53.279999,273900,52.349981
2016-03-08,53.349998,53.419998,53.34,53.34,179200,52.408936
2016-03-09,53.290001,53.330002,53.25,53.27,171800,52.340158
2016-03-10,53.220001,53.27,53.200001,53.220001,135700,52.291031
2016-03-11,53.209999,53.290001,53.150002,53.200001,142200,52.27138
2016-03-14,53.23,53.299999,53.209999,53.209999,267000,52.281204
2016-03-15,53.27,53.279999,53.209999,53.23,148800,52.300855
2016-03-16,53.169998,53.34,53.130001,53.330002,188800,52.399112
2016-03-17,53.34,53.41,53.34,53.349998,220200,52.418759
2016-03-18,53.369999,53.439999,53.34,53.34,233400,52.408936
2016-03-21,53.389999,53.389999,53.240002,53.279999,137800,52.349981
2016-03-22,53.34,53.34,53.27,53.279999,172500,52.349981
2016-03-23,53.27,53.349998,53.23,53.330002,211600,52.399112
2016-03-24,53.43,53.43,53.169998,53.220001,258300,52.291031
2016-03-28,53.23,53.32,53.23,53.240002,208500,52.310683
2016-03-29,53.27,53.450001,53.27,53.450001,300000,52.517016
2016-03-30,53.400002,53.450001,53.360001,53.400002,249300,52.46789
2016-03-31,53.389999,53.509998,53.380001,53.470001,393900,52.536667
2016-04-01,53.419998,53.48,53.349998,53.369999,318400,52.527806
2016-04-04,53.470001,53.490002,53.41,53.419998,165400,52.577016
2016-04-05,53.490002,53.5,53.439999,53.470001,115000,52.62623
2016-04-06,53.470001,53.470001,53.360001,53.439999,115800,52.596701
2016-04-07,53.48,53.549999,53.450001,53.459999,451100,52.616386
2016-04-08,53.439999,53.5,53.439999,53.459999,844700,52.616386
2016-04-11,53.470001,53.529999,53.400002,53.459999,148500,52.616386
2016-04-12,53.52,53.52,53.41,53.470001,259800,52.62623
2016-04-13,53.470001,53.509998,53.41,53.490002,269600,52.645915
2016-04-14,53.439999,53.450001,53.380001,53.439999,209800,52.596701
2016-04-15,53.459999,53.490002,53.43,53.470001,162100,52.62623
2016-04-18,53.5,53.5,53.43,53.490002,197800,52.645915
2016-04-19,53.459999,53.509998,53.439999,53.48,207100,52.636071
2016-04-20,53.5,53.5,53.380001,53.439999,196100,52.596701
2016-04-21,53.380001,53.43,53.360001,53.41,185000,52.567176
2016-04-22,53.380001,53.439999,53.349998,53.439999,142000,52.596701
2016-04-25,53.360001,53.400002,53.349998,53.360001,216100,52.517965
