Date,Open,High,Low,Close,Volume,Adj Close
2016-01-04,102.580002,102.949997,101.580002,102.739998,6138300,100.689107
2016-01-05,102.900002,103.18,102.300003,102.970001,3652300,100.914519
2016-01-06,101.529999,102.230003,100.949997,101.589996,3732800,99.562062
2016-01-07,99.900002,100.800003,98.870003,99.099998,9256200,97.121769
2016-01-08,99.610001,99.989998,97.779999,97.970001,7015800,96.014329
2016-01-11,98.550003,98.669998,96.779999,97.910004,6863800,95.955529
2016-01-12,98.800003,99.169998,97.279999,98.580002,4457300,96.612152
2016-01-13,99.0,99.199997,95.779999,96.040001,6163000,94.122855
2016-01-14,96.360001,98.18,95.330002,97.510002,5085100,95.563512
2016-01-15,95.050003,95.879997,94.220001,95.459999,8101700,93.554431
2016-01-19,96.57,96.669998,94.5,95.360001,7435700,93.456429
2016-01-20,94.0,95.269997,91.790001,94.419998,13844900,92.535191
2016-01-21,94.699997,95.959999,93.82,94.790001,7169500,92.897807
2016-01-22,96.330002,96.889999,95.949997,96.809998,3701500,94.877481
2016-01-25,96.639999,96.650002,95.110001,95.220001,4470500,93.319224
2016-01-26,95.599998,96.82,95.440002,96.669998,3333400,94.740276
2016-01-27,96.400002,97.32,95.050003,95.57,5202400,93.662236
2016-01-28,96.559998,96.660004,95.050003,95.949997,4540700,94.034648
2016-01-29,96.449997,98.360001,96.349998,98.330002,5005400,96.367143
2016-02-01,97.75,98.809998,97.370003,98.349998,3868900,96.38674
2016-02-02,97.5,97.550003,96.160004,96.449997,3279600,94.524667
2016-02-03,97.089996,97.290001,94.889999,97.029999,5457300,95.09309
2016-02-04,96.790001,97.919998,96.470001,97.260002,3431800,95.318503
2016-02-05,96.940002,97.0,94.949997,95.260002,3993600,93.358426
2016-02-08,94.199997,94.379997,92.5,93.779999,6303900,91.907967
2016-02-09,92.839996,94.470001,92.699997,93.660004,4793900,91.790367
2016-02-10,94.190002,95.269997,93.620003,93.720001,3580000,91.849167
2016-02-11,92.389999,93.059998,91.580002,92.559998,7239700,90.712319
2016-02-12,93.470001,94.379997,93.010002,94.360001,2948100,92.476391
2016-02-16,95.620003,96.089996,94.959999,96.080002,3577700,94.162057
2016-02-17,96.769997,97.93,96.589996,97.669998,3635000,95.720314
2016-02-18,97.900002,97.919998,97.089996,97.279999,2432100,95.3381
2016-02-19,96.849998,97.360001,96.43,97.300003,2243700,95.357705
2016-02-22,98.239998,98.800003,98.110001,98.720001,2235400,96.749357
2016-02-23,98.379997,98.519997,97.470001,97.529999,3203900,95.58311
2016-02-24,96.580002,98.139999,95.989998,98.029999,3253400,96.073129
2016-02-25,98.269997,99.190002,97.82,99.190002,4961900,97.209976
2016-02-26,99.669998,99.760002,98.959999,99.110001,3194300,97.131571
2016-02-29,99.120003,99.690002,98.32,98.32,2749400,96.35734
2016-03-01,99.129997,100.68,98.839996,100.660004,2955700,98.650633
2016-03-02,100.519997,101.239998,100.260002,101.220001,3591400,99.199452
2016-03-03,101.129997,101.75,100.849998,101.720001,2703100,99.689471
2016-03-04,101.889999,102.599998,101.400002,102.07,2442100,100.032483
2016-03-07,101.650002,102.559998,101.559998,102.279999,2963900,100.23829
2016-03-08,101.730003,101.800003,100.910004,101.010002,3436900,98.993645
2016-03-09,101.5,101.699997,100.980003,101.5,2131700,99.473862
2016-03-10,101.800003,102.300003,100.400002,101.470001,3702600,99.444462
2016-03-11,102.370003,103.239998,102.330002,103.190002,3253500,101.130128
2016-03-14,102.879997,103.32,102.690002,103.07,2987100,101.012521
2016-03-15,102.0,102.260002,101.760002,102.239998,2992400,100.667898
2016-03-16,101.989998,103.089996,101.910004,102.879997,3473600,101.298056
2016-03-17,102.870003,103.919998,102.599998,103.669998,3472500,102.075909
2016-03-18,103.949997,104.279999,103.800003,104.129997,2942300,102.528835
2016-03-21,103.980003,104.360001,103.800003,104.230003,2539300,102.627304
2016-03-22,103.75,104.519997,103.610001,104.199997,1962600,102.597759
2016-03-23,104.040001,104.040001,103.279999,103.349998,6087100,101.76083
2016-03-24,102.760002,103.330002,102.529999,103.32,2173000,101.731293
2016-03-28,103.580002,103.709999,103.07,103.389999,2103400,101.800216
2016-03-29,103.190002,104.550003,102.959999,104.540001,2925100,102.932534
2016-03-30,105.040001,105.389999,104.730003,104.940002,2258800,103.326385
2016-03-31,104.970001,105.220001,104.699997,104.82,2230100,103.208228
2016-04-01,104.300003,105.57,103.949997,105.480003,2996000,103.858083
2016-04-04,105.489998,105.550003,104.889999,105.040001,1847400,103.424846
2016-04-05,104.309998,104.550003,103.870003,104.019997,2572500,102.420526
2016-04-06,104.089996,105.199997,103.900002,105.160004,2572000,103.543004
2016-04-07,104.5,104.739998,103.440002,103.900002,2134800,102.302376
2016-04-08,104.57,104.900002,103.910004,104.199997,2337000,102.597759
2016-04-11,104.650002,105.050003,103.910004,103.910004,2276300,102.312224
2016-04-12,104.099998,105.099998,103.779999,104.919998,2358000,103.306689
2016-04-13,105.5,106.169998,105.43,106.150002,2864500,104.517779
2016-04-14,106.239998,106.389999,105.900002,106.110001,1666900,104.478393
2016-04-15,106.120003,106.190002,105.870003,106.059998,1622600,104.429159
2016-04-18,105.739998,106.790001,105.610001,106.769997,1767100,105.128241
2016-04-19,107.019997,107.309998,106.610001,107.07,2103700,105.423631
2016-04-20,107.209999,107.639999,106.830002,107.18,1958900,105.53194
2016-04-21,107.260002,107.330002,106.480003,106.650002,1675200,105.010091
2016-04-22,106.510002,106.93,106.239998,106.800003,1893600,105.157786
2016-04-25,106.5,106.589996,106.059998,106.540001,2088100,104.901781
2016-04-26,106.779999,107.050003,106.440002,106.830002,1747500,105.187323
2016-04-27,106.660004,107.330002,106.419998,107.089996,2267900,105.44332
2016-04-28,106.629997,107.300003,105.870003,106.129997,4834200,104.498082
2016-04-29,105.800003,105.959999,104.809998,105.510002,3068000,103.88762
2016-05-02,105.800003,106.400002,105.470001,106.330002,2546500,104.695011
2016-05-03,105.620003,105.68,104.82,105.260002,5172600,103.641465
2016-05-04,104.760002,105.169998,104.370003,104.639999,2578800,103.030995
2016-05-05,104.949997,105.169998,104.370003,104.599998,1616700,102.99161
2016-05-06,104.139999,104.989998,104.0,104.980003,1759600,103.365771
2016-05-09,104.870003,105.339996,104.769997,105.089996,1747300,103.474073
2016-05-10,105.5,106.400002,105.410004,106.339996,2400900,104.704852
2016-05-11,106.089996,106.290001,105.339996,105.370003,1531600,103.749774
2016-05-12,105.82,105.879997,104.720001,105.330002,2470000,103.710388
2016-05-13,105.080002,105.480003,104.220001,104.419998,3754800,102.814377
2016-05-16,104.580002,105.75,104.410004,105.459999,2069600,103.838386
2016-05-17,105.260002,105.459999,104.160004,104.510002,2792200,102.902997
2016-05-18,104.260002,105.199997,103.82,104.5,2798600,102.893149
2016-05-19,104.080002,104.360001,103.370003,104.089996,2616800,102.489449
2016-05-20,104.540001,105.139999,104.449997,104.889999,2005700,103.277151
2016-05-23,104.919998,105.120003,104.660004,104.760002,1662200,103.149153
2016-05-24,105.220001,106.370003,105.220001,106.160004,2409000,104.527627
2016-05-25,106.510002,107.139999,106.510002,106.93,3266500,105.285784
2016-05-26,107.019997,107.139999,106.730003,106.910004,1803600,105.266095
2016-05-27,106.970001,107.389999,106.949997,107.389999,1691400,105.73871
2016-05-31,107.57,107.690002,106.959999,107.339996,2570700,105.689476
2016-06-01,107.0,107.699997,106.800003,107.629997,2679600,105.975017
2016-06-02,107.400002,107.989998,107.110001,107.989998,2112700,106.329482
2016-06-03,107.779999,107.870003,106.940002,107.690002,2502500,106.0341
2016-06-06,107.839996,108.459999,107.800003,108.25,1782300,106.585487
2016-06-07,108.389999,108.809998,108.32,108.459999,1271500,106.792257
2016-06-08,108.610001,108.93,108.5,108.839996,1286500,107.166411
2016-06-09,108.449997,108.730003,108.220001,108.620003,1743400,106.9498
2016-06-10,107.779999,107.919998,107.160004,107.5,1666400,105.847019
2016-06-13,107.150002,107.68,106.589996,106.610001,2378800,104.970705
2016-06-14,105.900002,106.330002,105.360001,105.949997,2170100,104.781809
2016-06-15,106.190002,106.599998,105.739998,105.839996,1841500,104.673021
2016-06-16,105.300003,106.18,104.699997,106.150002,1884300,104.979608
