Date,Open,High,Low,Close,Volume,Adj Close
2016-01-04,24.43,24.450001,24.18,24.370001,236000,24.171299
2016-01-05,24.440001,24.49,24.370001,24.43,35900,24.230809
2016-01-06,24.139999,24.290001,24.01,24.01,120400,23.814233
2016-01-07,23.756001,23.836,23.5,23.530001,45000,23.338147
2016-01-08,23.52,23.52,23.110001,23.110001,87000,22.921572
2016-01-11,23.190001,23.209999,22.889999,23.129999,87200,22.941407
2016-01-12,23.219999,23.27,22.955,23.27,89200,23.080267
2016-01-13,23.139999,23.190001,22.620001,22.639999,18800,22.455403
2016-01-14,22.5,23.040001,22.5,22.870001,55000,22.683529
2016-01-15,22.34,22.540001,22.18,22.440001,143800,22.257035
2016-01-19,22.700001,22.700001,22.15,22.34,152000,22.15785
2016-01-20,21.68,22.41,21.66,22.219999,169300,22.038827
2016-01-21,22.309999,22.51,22.17,22.32,51500,22.138012
2016-01-22,22.75,22.771,22.57,22.75,58100,22.564507
2016-01-25,22.67,22.700001,22.309999,22.309999,28800,22.128094
2016-01-26,22.719,22.790001,22.719,22.76,15300,22.574425
2016-01-27,22.757,22.757,22.549999,22.555,15100,22.371097
2016-01-28,22.59,22.700001,22.57,22.610001,167400,22.425649
2016-01-29,22.940001,23.24,22.91,23.24,18300,23.050511
2016-02-01,23.219999,23.43,23.17,23.370001,54600,23.179452
2016-02-02,22.98,22.98,22.799999,22.83,192600,22.643854
2016-02-03,22.950001,22.959999,22.43,22.879999,57200,22.693446
2016-02-04,22.940001,23.120001,22.870001,23.01,25400,22.822387
2016-02-05,22.905001,22.92,22.620001,22.620001,62900,22.435567
2016-02-08,22.370001,22.370001,22.049999,22.33,34900,22.147931
2016-02-09,22.33,22.440001,22.184,22.33,51800,22.147931
2016-02-10,22.4,22.58,22.309999,22.309999,35800,22.128094
2016-02-11,21.931,22.110001,21.860001,22.0,125800,21.820622
2016-02-12,22.219999,22.51,22.1,22.450001,30400,22.266953
2016-02-16,22.709999,22.940001,22.629999,22.91,82800,22.723202
2016-02-17,23.201,23.32,23.201,23.290001,52000,23.100105
2016-02-18,23.280001,23.370001,23.219999,23.290001,41900,23.100105
2016-02-19,23.15,23.200001,23.01,23.198,11000,23.008854
2016-02-22,23.535999,23.6,23.49,23.559999,105400,23.367902
2016-02-23,23.59,23.59,23.389999,23.4,133800,23.209206
2016-02-24,23.146,23.68,23.146,23.65,42300,23.457168
2016-02-25,23.695,23.889999,23.690001,23.879999,65300,23.685292
2016-02-26,24.01,24.02,23.84,23.870001,20300,23.675375
2016-02-29,23.91,24.08,23.83,23.83,85500,23.635701
2016-03-01,23.969999,24.280001,23.969999,24.26,62000,24.062195
2016-03-02,24.23,24.4,24.214001,24.4,42900,24.201053
2016-03-03,24.49,24.709999,24.49,24.68,41100,24.47877
2016-03-04,24.68,24.879999,24.68,24.73,108700,24.528362
2016-03-07,24.9,24.950001,24.77,24.93,103400,24.726732
2016-03-08,24.610001,24.76,24.6,24.610001,48100,24.409342
2016-03-09,24.667,24.860001,24.629999,24.76,30400,24.558118
2016-03-10,24.610001,24.799999,24.516001,24.75,26200,24.548199
2016-03-11,25.097,25.219999,25.076,25.219999,39800,25.014367
