Date,Open,High,Low,Close,Volume,Adj Close
2016-01-04,22.5,22.5,22.280001,22.304001,5800,22.161423
2016-01-05,22.360001,22.4,22.309999,22.379999,14100,22.236935
2016-01-06,22.219999,22.23,21.99,22.097,17500,21.955746
2016-01-07,21.844999,21.844999,21.6,21.625999,32000,21.487756
2016-01-08,21.68,21.68,21.360001,21.360001,73900,21.223457
2016-01-11,21.461,21.461,21.33,21.438999,12000,21.301951
2016-01-12,21.594999,21.594999,21.51,21.587999,11600,21.449999
2016-01-13,21.492001,21.549999,21.271,21.290001,13000,21.153905
2016-01-14,21.139999,21.424,21.139999,21.362,11800,21.225443
2016-01-15,21.17,21.238001,21.110001,21.181999,16200,21.046594
2016-01-19,21.254999,21.254999,21.162001,21.190001,31100,21.054544
2016-01-20,21.051001,21.167999,21.0,21.129999,7900,20.994926
2016-01-21,21.139999,21.184999,21.091999,21.129999,9500,20.994926
2016-01-22,21.209999,21.309999,21.209999,21.264999,18000,21.129063
2016-01-25,21.226999,21.274,21.172001,21.172001,13000,21.036659
2016-01-26,21.275,21.33,21.26,21.280001,8700,21.143969
2016-01-27,21.271999,21.370001,21.264999,21.264999,8000,21.129063
2016-01-28,21.275,21.379999,21.26,21.341999,6500,21.205571
2016-01-29,21.379999,21.52,21.379999,21.48,10100,21.342689
2016-02-01,21.450001,21.530001,21.450001,21.530001,9900,21.392371
2016-02-02,21.362,21.41,21.341,21.396,7900,21.259226
2016-02-03,21.278999,21.389999,21.232,21.325001,10400,21.188681
2016-02-04,21.24,21.24,21.110001,21.15,17800,21.014799
2016-02-05,21.07,21.08,20.92,20.940001,12400,20.806142
2016-02-08,20.77,20.870001,20.761999,20.870001,15100,20.73659
2016-02-09,20.870001,20.870001,20.740999,20.82,11300,20.686908
2016-02-10,20.822001,20.853001,20.799999,20.805,19900,20.672005
2016-02-11,20.780001,20.780001,20.681999,20.745001,8700,20.612389
2016-02-12,20.709999,20.790001,20.709999,20.790001,9500,20.657101
2016-02-16,20.84,20.938999,20.84,20.889999,7800,20.756461
2016-02-17,20.995001,21.02,20.940001,20.959999,13900,20.826013
2016-02-18,21.018999,21.030001,20.969999,20.99,8800,20.855822
2016-02-19,20.98,21.030001,20.98,21.0,10500,20.865758
2016-02-22,21.07,21.120001,21.054001,21.054001,8900,20.919414
2016-02-23,21.021999,21.037001,20.975,20.999001,6900,20.864765
2016-02-24,20.799999,21.025999,20.799999,21.0,10700,20.865758
2016-02-25,21.08,21.139999,21.07,21.120001,6200,20.984992
2016-02-26,21.129999,21.16,21.09,21.09,13100,20.955183
2016-02-29,21.049999,21.093,21.01,21.01,7400,20.875694
2016-03-01,21.141001,21.24,21.139999,21.197001,7400,21.061499
2016-03-02,21.138,21.193001,21.120001,21.16,7000,21.024735
2016-03-03,21.17,21.259001,21.17,21.225,18400,21.08932
2016-03-04,21.243999,21.299999,21.231001,21.24,10400,21.104224
2016-03-07,21.24,21.309999,21.24,21.27,11200,21.134032
2016-03-08,21.275999,21.34,21.25,21.299999,20400,21.163839
2016-03-09,21.275,21.280001,21.219999,21.280001,9900,21.143969
2016-03-10,21.26,21.294001,21.200001,21.282,7500,21.145955
2016-03-11,21.389999,21.4,21.370001,21.389999,17200,21.253264
2016-03-14,21.42,21.469999,21.42,21.440001,12100,21.302946
2016-03-15,21.370001,21.400999,21.361,21.361,4500,21.22445
2016-03-16,21.421,21.459999,21.35,21.422001,14200,21.285061
2016-03-17,21.34,21.469999,21.34,21.42,12000,21.283073
2016-03-18,21.440001,21.49,21.41,21.434999,13700,21.297977
2016-03-21,21.379999,21.43,21.34,21.4,23500,21.263201
2016-03-22,21.35,21.440001,21.35,21.395,8300,21.258233
2016-03-23,21.35,21.4,21.309999,21.355,15100,21.218488
2016-03-24,21.254,21.309999,21.24,21.285,9600,21.148936
2016-03-28,21.33,21.43,21.33,21.375,15400,21.238361
2016-03-29,21.34,21.52,21.34,21.514999,14500,21.377465
2016-03-30,21.49,21.620001,21.49,21.584999,10400,21.447017
2016-03-31,21.459999,21.620001,21.459999,21.540001,652500,21.402307
2016-04-01,21.51,21.540001,21.48,21.530001,119900,21.392371
2016-04-04,21.459999,21.51,21.393999,21.417999,19600,21.281085
2016-04-05,21.290001,21.302999,21.26,21.302999,17100,21.166821
2016-04-06,21.308001,21.360001,21.299999,21.351,11600,21.214514
2016-04-07,21.219999,21.245001,21.135,21.139999,5100,21.004862
2016-04-08,21.27,21.273001,21.202,21.202,31000,21.066466
2016-04-11,21.32,21.32,21.25,21.25,14800,21.11416
2016-04-12,21.254,21.32,21.254,21.280001,13400,21.143969
2016-04-13,21.353001,21.440001,21.353001,21.43,9800,21.293009
2016-04-14,21.395,21.459999,21.389999,21.389999,6800,21.253264
2016-04-15,21.360001,21.43,21.360001,21.389999,10400,21.253264
2016-04-18,21.48,21.51,21.473,21.5,9500,21.362562
