Date,Open,High,Low,Close,Volume,Adj Close
2016-01-04,22.6,22.6,22.370001,22.41,6600,22.257743
2016-01-05,22.549999,22.577999,22.48,22.52,14600,22.366996
2016-01-06,22.49,22.49,22.27,22.360001,15300,22.208083
2016-01-07,22.190001,22.190001,21.959999,22.018,30300,21.868406
2016-01-08,22.059999,22.073999,21.77,21.775,71300,21.627057
2016-01-11,21.841,21.870001,21.73,21.870001,11700,21.721413
2016-01-12,22.01,22.09,21.959999,22.049999,13300,21.900188
2016-01-13,22.002001,22.063999,21.768999,21.768999,16400,21.621097
2016-01-14,21.652,21.952,21.639999,21.902,11600,21.753195
2016-01-15,21.610001,21.709999,21.542,21.660999,16200,21.513831
2016-01-19,21.709999,21.73,21.605,21.690001,35000,21.542635
2016-01-20,21.440001,21.587999,21.370001,21.587999,7900,21.441327
2016-01-21,21.49,21.629999,21.49,21.610001,11100,21.463179
2016-01-22,21.690001,21.780001,21.690001,21.764,17400,21.616132
2016-01-25,21.733,21.75,21.639999,21.639999,13100,21.492974
2016-01-26,21.702999,21.809999,21.702999,21.76,10400,21.612159
2016-01-27,21.74,21.819,21.702,21.705,8900,21.557533
2016-01-28,21.725,21.83,21.700001,21.815001,6200,21.666786
2016-01-29,21.923,22.040001,21.910999,21.99,12500,21.840596
2016-02-01,21.969999,22.055,21.969999,22.055,9500,21.905155
2016-02-02,21.955,22.0,21.91,21.941,7900,21.791929
2016-02-03,21.836,21.915001,21.799999,21.889999,10100,21.741275
2016-02-04,21.860001,21.91,21.719999,21.74,19500,21.592295
2016-02-05,21.68,21.68,21.530001,21.530001,13900,21.383723
2016-02-08,21.379999,21.514,21.379999,21.49,16700,21.343993
2016-02-09,21.469999,21.549999,21.459999,21.5,11100,21.353926
2016-02-10,21.572001,21.59,21.530001,21.532,19900,21.385708
2016-02-11,21.42,21.48,21.389999,21.440001,10500,21.294334
2016-02-12,21.500999,21.559999,21.49,21.554001,10800,21.40756
2016-02-16,21.610001,21.620001,21.530001,21.59,8400,21.443314
2016-02-17,21.645,21.67,21.6,21.620001,15000,21.473111
2016-02-18,21.659,21.664,21.610001,21.610001,9200,21.463179
2016-02-19,21.6,21.639999,21.59,21.612,11000,21.465164
2016-02-22,21.639999,21.68,21.620001,21.634001,9800,21.487016
2016-02-23,21.629999,21.65,21.59,21.6,10400,21.453247
2016-02-24,21.49,21.620001,21.49,21.620001,12200,21.473111
2016-02-25,21.629999,21.68,21.620001,21.639999,6100,21.492974
2016-02-26,21.639999,21.67,21.6,21.614,13300,21.467151
2016-02-29,21.6,21.631001,21.540001,21.540001,7800,21.393655
2016-03-01,21.584999,21.690001,21.584999,21.639999,9600,21.492974
2016-03-02,21.645,21.700001,21.629999,21.650999,6300,21.503899
2016-03-03,21.666,21.74,21.66,21.725,20300,21.577397
2016-03-04,21.724001,21.77,21.709999,21.719999,10900,21.57243
2016-03-07,21.709999,21.790001,21.700001,21.709,10900,21.561505
2016-03-08,21.726,21.790001,21.719999,21.76,17300,21.612159
2016-03-09,21.749001,21.768999,21.709999,21.767,9500,21.619112
2016-03-10,21.74,21.764,21.65,21.715,7800,21.567465
2016-03-11,21.799999,21.83,21.790001,21.792,18900,21.643942
2016-03-14,21.860001,21.9,21.84,21.870001,13400,21.721413
2016-03-15,21.870001,21.886,21.84,21.85,7500,21.701548
2016-03-16,21.889,21.969,21.84,21.915001,12400,21.766107
2016-03-17,21.870001,21.98,21.870001,21.92,12300,21.771072
