Date,Open,High,Low,Close,Volume,Adj Close
2016-01-04,23.226999,23.26,23.15,23.177,15600,22.856068
2016-01-05,23.25,23.280001,23.200001,23.209999,35800,22.88861
2016-01-06,23.25,23.280001,23.16,23.219999,34500,22.898472
2016-01-07,23.17,23.17,23.049999,23.07,48800,22.75055
2016-01-08,23.143,23.15,23.051001,23.110001,130700,22.789997
2016-01-11,23.08,23.08,22.969999,23.030001,17400,22.711104
2016-01-12,23.139999,23.193001,23.09,23.15,27600,22.829442
2016-01-13,23.111,23.190001,23.049999,23.059999,37300,22.740688
2016-01-14,23.0,23.139999,22.969999,23.09,30300,22.770273
2016-01-15,23.02,23.049999,22.959999,22.99,49200,22.671657
2016-01-19,22.990999,23.040001,22.91,22.93,46200,22.612489
2016-01-20,22.93,23.0,22.9,22.959999,26800,22.642072
2016-01-21,22.950001,23.02,22.93,22.955999,22700,22.638128
2016-01-22,22.959999,23.01,22.950001,22.995001,24800,22.676589
2016-01-25,22.969999,23.003,22.940001,22.955999,27700,22.638128
2016-01-26,22.961,23.009001,22.959999,22.98,12600,22.661796
2016-01-27,22.951,23.030001,22.951,22.969999,33000,22.651934
2016-01-28,22.981001,23.07,22.98,23.030001,14600,22.711104
2016-01-29,23.15,23.18,23.110001,23.129999,25200,22.809718
2016-02-01,23.09,23.16,23.09,23.110001,21300,22.789997
2016-02-02,23.164,23.190001,23.15,23.17,24500,22.849165
2016-02-03,23.202,23.219999,23.129999,23.18,29600,22.859027
2016-02-04,23.18,23.18,23.1,23.15,48400,22.829442
2016-02-05,23.08,23.129999,23.059999,23.08,27300,22.760411
2016-02-08,23.09,23.17,23.09,23.15,31700,22.829442
2016-02-09,23.110001,23.16,23.08,23.120001,21100,22.799858
2016-02-10,23.200001,23.23,23.15,23.18,24000,22.859027
2016-02-11,23.200001,23.27,23.129999,23.17,30700,22.849165
2016-02-12,23.23,23.23,23.1,23.120001,24900,22.799858
2016-02-16,23.139999,23.15,23.08,23.15,27500,22.841297
2016-02-17,23.120001,23.120001,23.049999,23.08,32800,22.772231
2016-02-18,23.15,23.190001,23.120001,23.16,18400,22.851164
2016-02-19,23.200001,23.200001,23.15,23.190001,33900,22.880765
2016-02-22,23.15,23.190001,23.139999,23.15,35100,22.841297
2016-02-23,23.120001,23.219999,23.120001,23.17,20800,22.861031
2016-02-24,23.16,23.23,23.16,23.17,15600,22.861031
2016-02-25,23.214001,23.280001,23.209999,23.23,23500,22.920231
2016-02-26,23.198,23.209999,23.129999,23.15,32000,22.841297
2016-02-29,23.15,23.209999,23.139999,23.16,26300,22.851164
2016-03-01,23.24,23.24,23.094,23.139999,27700,22.83143
2016-03-02,23.110001,23.15,23.08,23.15,17600,22.841297
2016-03-03,23.139999,23.190001,23.120001,23.18,36000,22.870898
2016-03-04,23.101,23.139999,23.07,23.110001,33800,22.801832
2016-03-07,23.139999,23.17,23.09,23.139999,22800,22.83143
2016-03-08,23.200001,23.26,23.18,23.219999,28100,22.910364
2016-03-09,23.200001,23.209999,23.15,23.200001,24300,22.890632
2016-03-10,23.18,23.209999,23.110001,23.18,23800,22.870898
2016-03-11,23.16,23.18,23.120001,23.18,17900,22.870898
2016-03-14,23.17,23.209999,23.16,23.17,11200,22.861031
2016-03-15,23.155001,23.209999,23.139999,23.139999,14400,22.83143
2016-03-16,23.138,23.215,23.111,23.17,11800,22.861031
2016-03-17,23.200001,23.280001,23.200001,23.223,27500,22.913324
2016-03-18,23.297001,23.299999,23.25,23.273001,21800,22.962658
2016-03-21,23.209999,23.27,23.200001,23.200001,48700,22.890632
2016-03-22,23.24,23.280001,23.190001,23.191999,14900,22.882737
2016-03-23,23.205,23.26,23.16,23.23,30200,22.920231
2016-03-24,23.246,23.299999,23.200001,23.27,28900,22.959698
2016-03-28,23.25,23.34,23.25,23.26,29400,22.949831
2016-03-29,23.301001,23.4,23.280001,23.4,32600,23.087964
2016-03-30,23.34,23.41,23.33,23.406,15400,23.093884
2016-03-31,23.34,23.459999,23.34,23.459999,1819400,23.147163
2016-04-01,23.389999,23.476,23.389999,23.450001,314900,23.137298
2016-04-04,23.41,23.429001,23.360001,23.4,35200,23.087964
2016-04-05,23.375,23.41,23.35,23.375,34100,23.063297
2016-04-06,23.42,23.42,23.33,23.33,31900,23.018897
2016-04-07,23.43,23.51,23.43,23.51,16800,23.196497
2016-04-08,23.469999,23.474001,23.41,23.42,21400,23.107697
2016-04-11,23.445999,23.48,23.41,23.48,47600,23.166897
2016-04-12,23.403999,23.440001,23.379999,23.379999,31700,23.06823
2016-04-13,23.360001,23.49,23.360001,23.43,28700,23.117564
2016-04-14,23.389999,23.450001,23.379999,23.42,19100,23.107697
2016-04-15,23.35,23.465,23.35,23.389999,22000,23.078097
2016-04-18,23.35,23.4,23.32,23.4,29900,23.087964
2016-04-19,23.290001,23.370001,23.290001,23.35,34200,23.038631
2016-04-20,23.34,23.379999,23.290001,23.32,17800,23.009031
2016-04-21,23.35,23.35,23.200001,23.24,51600,22.930097
2016-04-22,23.209999,23.27,23.209999,23.219999,26000,22.910364
2016-04-25,23.190001,23.23,23.17,23.17,26800,22.861031
2016-04-26,23.16,23.209999,23.139999,23.162001,42400,22.853138
2016-04-27,23.191,23.25,23.181999,23.219999,43300,22.910364
2016-04-28,23.164,23.25,23.164,23.25,25900,22.939964
2016-04-29,23.129999,23.209999,23.129999,23.190001,31500,22.880765
2016-05-02,23.18,23.23,23.16,23.17,45900,22.861031
2016-05-03,23.27,23.27,23.190001,23.25,75900,22.939964
2016-05-04,23.188999,23.254999,23.173,23.200001,38300,22.890632
2016-05-05,23.18,23.26,23.17,23.26,26600,22.949831
2016-05-06,23.1,23.219999,23.1,23.18,22500,22.870898
2016-05-09,23.219999,23.32,23.219999,23.294001,64500,22.983378
2016-05-10,23.290001,23.346001,23.285,23.346001,29900,23.034685
2016-05-11,23.302999,23.35,23.299999,23.337,28200,23.025804
2016-05-12,23.24,23.33,23.24,23.290001,25200,22.979432
2016-05-13,23.292,23.360001,23.25,23.26,74800,22.949831
2016-05-16,23.26,23.33,23.25,23.267,101500,22.956738
2016-05-17,23.17,23.290001,23.15,23.17,68000,22.89153
2016-05-18,23.09,23.15,23.0,23.040001,34500,22.763093
2016-05-19,23.049999,23.106001,23.030001,23.08,31600,22.802612
2016-05-20,23.1,23.149,23.1,23.124001,41200,22.846083
2016-05-23,23.110001,23.17,23.09,23.1,56800,22.822372
2016-05-24,23.155001,23.209999,23.152,23.18,36300,22.90141
2016-05-25,23.16,23.209999,23.15,23.15,34800,22.87177
2016-05-26,23.200001,23.26,23.200001,23.219999,28000,22.940928
2016-05-27,23.23,23.27,23.209999,23.23,75800,22.950808
2016-05-31,23.219999,23.290001,23.211,23.26,66100,22.980448
2016-06-01,23.18,23.309999,23.18,23.280001,54300,23.000209
2016-06-02,23.26,23.33,23.26,23.32,37600,23.039727
2016-06-03,23.309999,23.389999,23.309999,23.34,50300,23.059487
2016-06-06,23.35,23.4,23.34,23.35,42100,23.069367
2016-06-07,23.360001,23.43,23.360001,23.370001,28900,23.089127
2016-06-08,23.360001,23.440001,23.360001,23.412001,27400,23.130622
2016-06-09,23.41,23.459999,23.41,23.431,22600,23.149393
2016-06-10,23.35,23.440001,23.35,23.417999,33400,23.136549
2016-06-13,23.389999,23.43,23.379999,23.395,29500,23.113826
2016-06-14,23.309999,23.389999,23.309999,23.34,13600,23.059487
2016-06-15,23.25,23.441,23.25,23.42,33300,23.138525
2016-06-16,23.389,23.427999,23.360001,23.4,21700,23.118765
2016-06-17,23.41,23.440001,23.34,23.440001,33700,23.158285
2016-06-20,23.33,23.49,23.33,23.41,50600,23.128645
2016-06-21,23.406,23.440001,23.370001,23.375,50000,23.094066
2016-06-22,23.35,23.440001,23.35,23.370001,63900,23.089127
2016-06-23,23.41,23.450001,23.4,23.417,14600,23.135561
2016-06-24,23.360001,23.368999,23.24,23.297001,36600,23.017004
2016-06-27,23.190001,23.275999,23.18,23.235001,12100,22.955749
2016-06-28,23.110001,23.299999,23.110001,23.27,30600,23.016084
2016-06-29,23.33,23.379999,23.309999,23.309999,28800,23.055646
2016-06-30,23.271,23.4,23.27,23.364,34500,23.109058
2016-07-01,23.32,23.478001,23.32,23.455,37800,23.199065
2016-07-05,23.48,23.549999,23.48,23.540001,26900,23.283138
2016-07-06,23.48,23.559999,23.48,23.549999,31900,23.293027
2016-07-07,23.52,23.58,23.51,23.58,29700,23.322701
2016-07-08,23.49,23.690001,23.49,23.690001,21000,23.431501
2016-07-11,23.620001,23.709999,23.620001,23.700001,42400,23.441392
2016-07-12,23.59,23.665001,23.59,23.610001,30600,23.352374
2016-07-13,23.629999,23.700001,23.620001,23.684,40500,23.425566
2016-07-14,23.610001,23.655001,23.6,23.636999,22600,23.379078
2016-07-15,23.559999,23.610001,23.52,23.532,24100,23.275224
2016-07-18,23.559999,23.57,23.51,23.549999,58600,23.293027
2016-07-19,23.5,23.57,23.5,23.57,16600,23.335601
2016-07-20,23.549999,23.58,23.5,23.549999,36200,23.315799
2016-07-21,23.5,23.57,23.5,23.559999,47700,23.3257
2016-07-22,23.51,23.620001,23.51,23.605,15500,23.370253
2016-07-25,23.57,23.608999,23.552,23.552,20400,23.31778
2016-07-26,23.549999,23.59,23.530001,23.57,23000,23.335601
2016-07-27,23.514999,23.58,23.514999,23.58,23800,23.345502
2016-07-28,23.486,23.549999,23.459999,23.51,35700,23.276198
2016-07-29,23.6,23.700001,23.594,23.66,34300,23.424706
2016-08-01,23.610001,23.639999,23.58,23.582001,38200,23.347483
2016-08-02,23.51,23.518999,23.459999,23.465,37300,23.231645
2016-08-03,23.451,23.52,23.451,23.483,17100,23.249466
2016-08-04,23.52,23.569,23.49,23.504999,35400,23.271247
2016-08-05,23.559999,23.610001,23.530001,23.530001,26400,23.296
2016-08-08,23.542,23.57,23.4,23.540001,20300,23.3059
2016-08-09,23.58,23.610001,23.57,23.58,27100,23.345502
2016-08-10,23.559999,23.601999,23.559999,23.57,41800,23.335601
2016-08-11,23.540001,23.587999,23.51,23.530001,45400,23.296
2016-08-12,23.530001,23.555,23.511,23.530001,33400,23.296
2016-08-15,23.540001,23.57,23.530001,23.531,24000,23.296989
2016-08-16,23.48,23.483999,23.43,23.43,33300,23.229571
2016-08-17,23.379999,23.440001,23.362,23.41,37400,23.209741
2016-08-18,23.43,23.5,23.43,23.469999,48000,23.269228
2016-08-19,23.41,23.469999,23.41,23.455,13100,23.254356
2016-08-22,23.42,23.48,23.42,23.441,67600,23.240476
2016-08-23,23.503,23.540001,23.49,23.51,46800,23.308886
2016-08-24,23.49,23.51,23.459999,23.462,26500,23.261297
2016-08-25,23.455999,23.518,23.455999,23.469999,38900,23.269228
2016-08-26,23.49,23.527,23.42,23.440001,15900,23.239485
2016-08-29,23.49,23.549999,23.49,23.535,46000,23.333672
2016-08-30,23.52,23.559999,23.511,23.545,17400,23.343587
2016-08-31,23.52,23.549999,23.49,23.52,25600,23.318801
2016-09-01,23.48,23.525,23.469999,23.49,53400,23.289057
2016-09-02,23.549999,23.59,23.530001,23.551001,33300,23.349536
2016-09-06,23.559999,23.629999,23.549999,23.629999,18500,23.427859
2016-09-07,23.629999,23.67,23.629999,23.643999,8100,23.441739
2016-09-08,23.636,23.642,23.573999,23.614,59900,23.411997
2016-09-09,23.51,23.51,23.370001,23.379999,42300,23.179997
2016-09-12,23.200001,23.434999,23.200001,23.392,67600,23.191896
2016-09-13,23.264999,23.27,23.219999,23.219999,18600,23.051916
2016-09-14,23.110001,23.24,23.110001,23.200001,60900,23.032062
2016-09-15,23.299999,23.299999,23.200001,23.27,36400,23.101555
2016-09-16,23.222,23.25,23.18,23.200001,34800,23.032062
2016-09-19,23.290001,23.299999,23.23,23.26,40200,23.091627
2016-09-20,23.254999,23.290001,23.24,23.266001,28600,23.097584
2016-09-21,23.27,23.367001,23.209999,23.34,38900,23.171048
2016-09-22,23.412001,23.459999,23.4,23.440001,27500,23.270324
2016-09-23,23.42,23.455,23.389999,23.440001,68600,23.270324
2016-09-26,23.360001,23.365,23.32,23.34,20200,23.171048
2016-09-27,23.344999,23.41,23.34,23.407,52400,23.237562
2016-09-28,23.43,23.450001,23.370001,23.450001,25600,23.280252
2016-09-29,23.35,23.455,23.344,23.35,92500,23.180976
2016-09-30,23.26,23.459999,23.26,23.440001,52100,23.270324
2016-10-03,23.27,23.415001,23.27,23.389999,30600,23.220685
2016-10-04,23.382,23.438,23.33,23.35,52000,23.180976
2016-10-05,23.41,23.459999,23.41,23.43,45200,23.260396
2016-10-06,23.370001,23.450001,23.370001,23.42,34900,23.250469
2016-10-07,23.35,23.440001,23.34,23.4,14800,23.230613
2016-10-10,23.469999,23.49,23.440001,23.450001,29700,23.280252
2016-10-11,23.42,23.42,23.290001,23.32,28700,23.151192
2016-10-12,23.309999,23.35,23.294001,23.309999,17800,23.141264
2016-10-13,23.18,23.280001,23.16,23.25,27600,23.081699
2016-10-14,23.219999,23.357,23.219999,23.285,28700,23.116446
2016-10-17,23.200001,23.290001,23.200001,23.25,14800,23.081699
2016-10-18,23.25,23.32,23.23,23.32,49600,23.188093
2016-10-19,23.299999,23.43,23.299999,23.4,28800,23.267641
2016-10-20,23.450001,23.450001,23.358,23.389999,56600,23.257697
2016-10-21,23.32,23.405001,23.299999,23.389999,31900,23.257697
2016-10-24,23.43,23.440001,23.379999,23.396999,37000,23.264657
2016-10-25,23.4,23.42,23.370001,23.4,54100,23.267641
2016-10-26,23.309999,23.396,23.309999,23.33,35200,23.198037
2016-10-27,23.27,23.325001,23.27,23.280001,21900,23.148321
2016-10-28,23.24,23.290001,23.18,23.215,19500,23.083688
2016-10-31,23.201,23.264999,23.200001,23.209999,37900,23.078715
