Date,Open,High,Low,Close,Volume,Adj Close
2016-01-04,50.34,50.419998,50.16,50.369999,41000,49.735067
2016-01-05,50.18,50.18,50.049999,50.110001,52400,49.478346
2016-01-06,50.080002,50.220001,49.959999,50.110001,62900,49.478346
2016-01-07,50.099998,50.349998,49.990002,50.220001,56700,49.58696
2016-01-08,50.189999,50.330002,50.02,50.09,56100,49.458597
2016-01-11,50.02,50.09,49.810001,49.810001,42000,49.182128
2016-01-12,49.75,49.830002,49.630001,49.790001,56300,49.16238
2016-01-13,49.73,50.0,49.73,49.849998,322000,49.221621
2016-01-14,49.919998,50.02,49.779999,49.860001,71200,49.231497
2016-01-15,49.900002,49.93,49.639999,49.639999,106300,49.014269
2016-01-19,49.650002,49.799999,49.5,49.560001,76000,48.935279
2016-01-20,49.52,49.689999,49.389999,49.450001,91400,48.826665
2016-01-21,49.450001,49.57,49.349998,49.490002,61800,48.866162
2016-01-22,49.549999,49.68,49.540001,49.639999,92500,49.014269
2016-01-25,49.619999,49.860001,49.529999,49.66,54500,49.034017
2016-01-26,49.700001,49.950001,49.700001,49.93,45900,49.300614
2016-01-27,49.91,49.950001,49.77,49.91,32000,49.280866
2016-01-28,50.18,50.380001,50.169998,50.23,86000,49.596832
2016-01-29,50.299999,50.41,50.23,50.32,117700,49.685698
2016-02-01,50.27,50.580002,50.27,50.560001,113500,49.922674
2016-02-02,50.450001,50.59,50.41,50.48,68700,49.843681
2016-02-03,50.669998,51.25,50.669998,51.25,79800,50.603975
2016-02-04,51.48,51.580002,51.349998,51.490002,47500,50.840951
2016-02-05,51.369999,51.419998,51.259998,51.349998,49800,50.702713
2016-02-08,51.110001,51.369999,51.060001,51.290001,27700,50.643472
2016-02-09,51.400002,51.59,51.279999,51.369999,39100,50.722461
2016-02-10,51.349998,51.669998,51.279999,51.66,16700,51.008806
2016-02-11,51.52,51.700001,51.32,51.5,27700,50.850823
2016-02-12,51.419998,51.529999,51.27,51.360001,46800,50.712589
2016-02-16,51.200001,51.200001,50.939999,50.950001,39100,50.307757
2016-02-17,50.799999,51.200001,50.669998,51.02,68300,50.376875
2016-02-18,51.080002,51.299999,50.77,51.060001,21400,50.416371
2016-02-19,50.970001,51.189999,50.970001,51.150002,26100,50.505237
2016-02-22,50.990002,51.139999,50.880001,51.07,31400,50.426243
2016-02-23,50.790001,51.099998,50.790001,50.91,34900,50.268261
2016-02-24,50.75,50.849998,50.630001,50.700001,43200,50.060909
2016-02-25,50.68,50.919998,50.610001,50.759998,50400,50.12015
2016-02-26,50.720001,50.720001,50.34,50.389999,53300,49.754815
2016-02-29,50.549999,51.07,50.049999,50.509998,48500,49.873301
2016-03-01,50.09,50.73,50.09,50.650002,19300,50.01154
2016-03-02,50.32,50.93,50.32,50.82,31800,50.179395
2016-03-03,51.110001,51.459999,51.080002,51.419998,36000,50.77183
2016-03-04,51.5,51.860001,51.5,51.720001,149500,51.068052
2016-03-07,52.0,52.009998,51.720001,51.93,41300,51.275403
2016-03-08,52.0,52.189999,51.91,52.02,72700,51.364269
2016-03-09,52.110001,52.490002,52.09,52.279999,37100,51.62099
2016-03-10,52.48,52.669998,52.279999,52.32,33800,51.660487
2016-03-11,52.540001,52.950001,52.400002,52.720001,22500,52.055446
2016-03-14,52.610001,52.740002,52.5,52.509998,51200,51.84809
2016-03-15,52.16,52.18,51.950001,52.02,62600,51.364269
2016-03-16,51.779999,52.68,51.73,52.610001,34600,51.946832
2016-03-17,52.5,53.5,52.5,53.220001,23100,52.549143
2016-03-18,53.610001,53.889999,53.490002,53.619999,28900,52.944099
2016-03-21,53.279999,53.509998,53.279999,53.43,65900,52.756495
2016-03-22,53.220001,53.450001,53.169998,53.290001,38700,52.618261
2016-03-23,53.23,53.389999,53.040001,53.310001,221000,52.638009
2016-03-24,53.07,53.099998,52.869999,53.02,20400,52.351664
2016-03-28,53.02,53.23,53.02,53.119999,66700,52.450402
2016-03-29,53.220001,53.75,53.130001,53.630001,16600,52.953975
2016-03-30,53.669998,54.23,53.599998,53.959999,37900,53.279813
2016-03-31,54.360001,54.650002,54.049999,54.279999,865100,53.595779
2016-04-01,54.34,54.43,53.84,54.150002,221400,53.467421
2016-04-04,54.099998,54.279999,54.029999,54.200001,128300,53.51679
