Date,Open,High,Low,Close,Volume,Adj Close
2016-01-04,34.59,34.68,34.25,34.509998,30000,32.679001
2016-01-05,34.549999,34.740002,34.540001,34.66,21900,32.821044
2016-01-06,34.279999,34.34,34.18,34.18,2800,32.366512
2016-01-07,34.009998,34.009998,33.740002,33.830002,3500,32.035083
2016-01-08,33.740002,33.740002,33.299999,33.32,7800,31.55214
2016-01-11,33.509998,33.509998,33.099998,33.360001,8200,31.590019
2016-01-12,33.619999,33.619999,32.950001,33.360001,9100,31.590019
2016-01-13,33.509998,33.549999,33.009998,33.02,8500,31.268058
2016-01-14,33.040001,33.48,33.029999,33.330002,4000,31.561611
2016-01-15,32.560001,32.560001,32.220001,32.369999,6100,30.652543
2016-01-19,32.709999,32.709999,32.23,32.299999,7400,30.586258
2016-01-20,31.76,31.9,31.309999,31.690001,12800,30.008624
2016-01-21,31.530001,31.950001,31.309999,31.719999,14300,30.037031
2016-01-22,32.439999,32.52,32.290001,32.43,6700,30.709361
2016-01-25,32.200001,32.360001,32.110001,32.119999,8900,30.415808
2016-01-26,32.299999,32.68,32.290001,32.68,6700,30.946097
2016-01-27,32.580002,32.77,32.290001,32.290001,4100,30.57679
2016-01-28,32.68,32.68,32.529999,32.57,4800,30.841933
2016-01-29,33.299999,33.630001,33.299999,33.599998,5500,31.817283
2016-02-01,33.650002,33.869999,33.650002,33.849998,7300,32.054019
2016-02-02,33.529999,33.529999,33.150002,33.290001,9500,31.523733
2016-02-03,33.400002,33.82,33.400002,33.810001,6400,32.016144
2016-02-04,33.830002,33.939999,33.720001,33.77,3000,31.978265
2016-02-05,33.689999,33.689999,33.099998,33.150002,16500,31.391161
2016-02-08,32.75,32.779999,32.560001,32.779999,7500,31.04079
2016-02-09,32.580002,32.580002,32.290001,32.369999,1300,30.652543
2016-02-10,32.650002,32.709999,32.529999,32.540001,19300,30.813526
2016-02-11,32.259998,32.41,32.130001,32.41,4400,30.690422
2016-02-12,32.23,32.580002,32.189999,32.580002,8900,30.851404
2016-02-16,33.169998,33.310001,33.110001,33.25,10800,31.485854
2016-02-17,33.490002,33.669998,33.490002,33.650002,4900,31.864633
2016-02-18,33.650002,33.650002,33.450001,33.450001,7500,31.675244
2016-02-19,33.669998,33.970001,33.669998,33.919998,7200,32.120304
2016-02-22,34.25,34.299999,34.150002,34.220001,4100,32.40439
2016-02-23,33.830002,33.950001,33.73,33.799999,5100,32.006672
2016-02-24,33.459999,33.990002,33.459999,33.93,11200,32.129776
2016-02-25,34.060001,34.200001,34.029999,34.200001,1400,32.385451
2016-02-26,34.290001,34.290001,34.07,34.07,2600,32.262347
2016-02-29,34.02,34.110001,33.919998,34.049999,3100,32.243408
2016-03-01,34.34,34.75,34.32,34.610001,9000,32.773697
2016-03-02,34.73,34.959999,34.73,34.860001,6800,33.010433
2016-03-03,35.0,35.09,34.990002,35.080002,5400,33.218762
2016-03-04,35.369999,35.369999,35.23,35.23,2100,33.360801
2016-03-07,34.889999,35.139999,34.880001,35.139999,1900,33.275576
2016-03-08,34.950001,35.16,34.950001,35.16,1300,33.294515
2016-03-09,35.080002,35.209999,35.02,35.130001,3700,33.266108
2016-03-10,35.240002,35.240002,34.84,34.98,9900,33.124065
2016-03-11,35.549999,35.799999,35.549999,35.779999,14200,33.881619
2016-03-14,35.93,35.98,35.830002,35.919998,3300,34.01419
2016-03-15,35.59,35.700001,35.580002,35.650002,17200,33.758519
2016-03-16,35.740002,36.139999,35.599998,36.07,25700,34.156233
2016-03-17,36.259998,36.650002,36.259998,36.630001,7300,34.686523
2016-03-18,36.52,36.720001,36.52,36.549999,5200,34.610765
2016-03-21,36.630001,36.650002,36.459999,36.560001,9000,34.620237
2016-03-22,36.5,36.560001,36.470001,36.470001,5000,34.535012
2016-03-23,36.209999,36.209999,35.98,35.98,5100,34.315651
2016-03-24,35.759998,35.759998,35.580002,35.700001,4500,34.048604
2016-03-28,35.91,35.91,35.740002,35.75,2700,34.09629
2016-03-29,35.860001,36.439999,35.860001,36.380001,11000,34.697149
2016-03-30,36.709999,36.98,36.709999,36.919998,174300,35.212167
2016-03-31,36.779999,36.82,36.560001,36.560001,7400,34.868823
2016-04-01,36.029999,36.290001,35.900002,36.200001,4800,34.525475
2016-04-04,36.400002,36.43,36.220001,36.23,19500,34.554086
2016-04-05,36.040001,36.150002,35.880001,36.119999,5300,34.449174
2016-04-06,36.25,36.439999,36.25,36.369999,2400,34.68761
2016-04-07,36.34,36.34,36.029999,36.07,1400,34.401488
2016-04-08,36.77,36.77,36.59,36.650002,1400,34.95466
2016-04-11,36.810001,36.939999,36.689999,36.689999,9400,34.992807
2016-04-12,37.009998,37.060001,36.84,37.029999,3300,35.317079
2016-04-13,37.27,37.279999,37.099998,37.27,4600,35.545979
2016-04-14,37.240002,37.240002,37.060001,37.080002,2500,35.364769
2016-04-15,37.029999,37.130001,36.939999,36.939999,6500,35.231242
2016-04-18,36.98,37.299999,36.98,37.299999,4900,35.57459
2016-04-19,37.509998,37.66,37.450001,37.48,12500,35.746264
2016-04-20,37.52,37.75,37.48,37.599998,2600,35.860712
2016-04-21,37.580002,37.580002,37.150002,37.189999,23900,35.469678
2016-04-22,37.349998,37.349998,37.220001,37.349998,6100,35.622277
2016-04-25,37.400002,37.57,37.400002,37.470001,5200,35.736728
2016-04-26,37.720001,37.75,37.630001,37.669998,22400,35.927474
2016-04-27,37.48,37.68,37.48,37.68,40000,35.937013
2016-04-28,37.470001,37.549999,37.23,37.23,7900,35.507829
2016-04-29,37.27,37.310001,37.07,37.209999,27600,35.488753
2016-05-02,37.57,37.689999,37.509998,37.66,27200,35.917938
2016-05-03,37.32,37.32,37.139999,37.139999,9200,35.421992
2016-05-04,37.0,37.110001,36.880001,37.080002,106500,35.364769
2016-05-05,37.169998,37.169998,36.93,37.0,4600,35.288468
2016-05-06,36.950001,37.009998,36.860001,36.900002,7300,35.193095
2016-05-09,37.27,37.27,37.07,37.080002,5500,35.364769
2016-05-10,37.5,37.57,37.450001,37.57,3000,35.832101
2016-05-11,37.169998,37.330002,37.080002,37.150002,34200,35.431531
2016-05-12,37.110001,37.110001,36.790001,36.849998,9100,35.145405
2016-05-13,36.73,36.73,36.560001,36.68,5500,34.983271
2016-05-16,36.650002,36.970001,36.650002,36.93,6700,35.221707
2016-05-17,36.990002,37.009998,36.75,36.82,10700,35.116794
2016-05-18,36.77,36.990002,36.599998,36.599998,3300,34.90697
2016-05-19,36.290001,36.310001,36.169998,36.279999,10300,34.601773
2016-05-20,36.66,36.66,36.459999,36.459999,5600,34.773446
2016-05-23,36.5,36.630001,36.470001,36.490002,6600,34.802061
2016-05-24,36.57,36.93,36.57,36.799999,3200,35.097719
2016-05-25,36.950001,37.0,36.900002,36.950001,13000,35.240782
2016-05-26,36.900002,37.02,36.900002,36.919998,5100,35.212167
2016-05-27,36.939999,36.939999,36.790001,36.860001,1900,35.154945
2016-05-31,36.900002,36.950001,36.75,36.830002,7600,35.126334
2016-06-01,36.650002,36.900002,36.650002,36.900002,40900,35.193095
2016-06-02,36.59,36.970001,36.57,36.970001,135100,35.259857
2016-06-03,37.029999,37.549999,37.029999,37.490002,25700,35.755804
2016-06-06,37.720001,37.799999,37.689999,37.75,3400,36.003775
2016-06-07,37.810001,38.029999,37.779999,37.82,16900,36.070537
2016-06-08,38.07,38.099998,38.0,38.080002,7400,36.318512
2016-06-09,37.830002,38.080002,37.830002,38.029999,8200,36.270822
2016-06-10,37.380001,37.48,37.150002,37.240002,4300,35.517368
2016-06-13,36.860001,37.169998,36.82,36.990002,5200,35.278932
2016-06-14,36.509998,36.599998,36.330002,36.580002,3500,34.887898
2016-06-15,36.830002,36.869999,36.599998,36.599998,15000,34.90697
2016-06-16,36.279999,36.599998,36.279999,36.48,7100,34.792522
2016-06-17,36.41,36.689999,36.380001,36.490002,3500,34.802061
2016-06-20,37.400002,37.59,37.310001,37.310001,6800,35.58413
2016-06-21,37.200001,37.48,37.189999,37.41,6000,36.0281
2016-06-22,37.209999,37.380001,37.099998,37.099998,7200,35.72955
2016-06-23,37.540001,37.66,37.540001,37.59,12900,36.201451
2016-06-24,35.240002,36.009998,35.23,35.59,17900,34.27533
2016-06-27,35.299999,35.299999,34.650002,34.790001,9100,33.504882
2016-06-28,35.740002,35.98,35.650002,35.779999,8600,34.45831
2016-06-29,36.32,36.619999,36.32,36.610001,3500,35.257652
2016-06-30,36.650002,36.860001,36.650002,36.759998,8000,35.402109
2016-07-01,36.869999,37.09,36.830002,36.959999,29800,35.594722
2016-07-05,36.650002,36.650002,36.360001,36.400002,8900,35.05541
2016-07-06,36.060001,36.34,36.060001,36.169998,6200,34.833903
2016-07-07,36.369999,36.5,36.209999,36.27,11700,34.930211
2016-07-08,36.599998,36.599998,36.43,36.549999,27200,35.199867
2016-07-11,36.98,37.110001,36.91,37.049999,7000,35.681397
2016-07-12,37.34,37.490002,37.299999,37.330002,4400,35.951057
2016-07-13,37.310001,37.41,37.16,37.23,2600,35.854749
2016-07-14,37.439999,37.580002,37.259998,37.490002,6500,36.105146
2016-07-15,37.189999,37.189999,37.09,37.130001,7000,35.758444
2016-07-18,37.25,37.41,37.240002,37.279999,118600,35.902901
2016-07-19,37.189999,37.189999,37.07,37.07,3000,35.700659
2016-07-20,37.529999,37.630001,37.5,37.529999,12800,36.143666
2016-07-21,37.619999,37.619999,37.439999,37.490002,3900,36.105146
2016-07-22,37.509998,37.599998,37.380001,37.470001,2300,36.085885
2016-07-25,37.549999,37.650002,37.5,37.540001,8000,36.153299
2016-07-26,37.880001,37.919998,37.82,37.84,7800,36.442216
2016-07-27,37.959999,37.959999,37.529999,37.810001,2800,36.413326
