Date,Open,High,Low,Close,Volume,Adj Close
2016-01-04,23.34,23.389999,23.1,23.369999,93387500,18.563512
2016-01-05,23.409999,23.529998,23.249998,23.459999,52096500,18.635001
2016-01-06,23.12,23.239998,22.979999,23.1,77248600,18.349043
2016-01-07,22.62,22.83,22.36,22.449999,92006900,17.832727
2016-01-08,22.649999,22.669999,22.049998,22.1,83028200,17.554712
2016-01-11,22.219999,22.259999,21.91,22.13,70986600,17.578542
2016-01-12,22.36,22.399999,22.009999,22.299998,80633600,17.713577
2016-01-13,22.39,22.489999,21.62,21.719999,125524900,17.252866
2016-01-14,21.769999,22.09,21.559998,21.91,95264000,17.403789
2016-01-15,21.17,21.519999,21.13,21.42,94362800,17.014567
2016-01-19,21.65,21.729999,21.259999,21.41,83779400,17.006624
2016-01-20,20.969999,21.19,20.529999,20.989999,107682200,16.673004
2016-01-21,21.009999,21.279999,20.829998,20.9,91494800,16.601515
2016-01-22,21.17,21.37,21.13,21.279999,59334200,16.90336
2016-01-25,21.19,21.269999,20.799999,20.849998,78982200,16.561797
2016-01-26,20.93,21.259999,20.9,21.199999,63973700,16.839814
2016-01-27,21.13,21.489999,20.969999,21.119998,77206400,16.776266
2016-01-28,21.249999,21.349998,20.989999,21.13,79906700,16.784211
2016-01-29,21.279999,21.729999,21.209999,21.719999,100518900,17.252866
2016-02-01,21.62,21.739999,21.469999,21.63,84561600,17.181377
2016-02-02,21.319998,21.349998,20.979999,21.029999,86157400,16.704777
2016-02-03,21.15,21.15,20.45,21.049999,151930300,16.720664
2016-02-04,20.92,21.38,20.92,21.229999,97011000,16.863644
2016-02-05,21.249999,21.359998,20.89,20.95,81506700,16.641231
2016-02-08,20.65,20.719999,20.139998,20.42,132312800,16.220236
2016-02-09,20.019999,20.529999,20.019999,20.389998,168924200,16.196405
2016-02-10,20.549999,20.779999,20.269999,20.279999,80836900,16.109029
2016-02-11,19.74,19.879998,19.529999,19.659999,155436900,15.616544
2016-02-12,20.129998,20.489999,20.039999,20.489999,119640600,16.275839
2016-02-16,20.839998,20.91,20.629998,20.819998,97496200,16.537967
2016-02-17,21.019999,21.199999,21.019999,21.099998,79846400,16.76038
2016-02-18,21.18,21.18,20.88,20.979999,79491900,16.665061
2016-02-19,20.809999,21.069998,20.779999,20.979999,91481900,16.665061
2016-02-22,21.229999,21.4,21.229999,21.309998,52408200,16.927189
2016-02-23,21.199999,21.229999,20.89,20.93,71553400,16.625345
2016-02-24,20.629998,20.94,20.45,20.88,89023100,16.585629
2016-02-25,20.88,21.19,20.88,21.17,87713800,16.815984
2016-02-26,21.309998,21.509999,21.199999,21.319998,100096300,16.935133
2016-02-29,21.299998,21.41,21.079998,21.089998,70846000,16.752436
2016-03-01,21.239999,21.839998,21.239999,21.799998,100224900,17.316411
2016-03-02,21.819998,22.049998,21.789998,22.039998,89863600,17.507051
2016-03-03,22.019999,22.199999,21.929999,22.189999,76643700,17.626201
2016-03-04,22.299998,22.39,22.11,22.279998,70707300,17.69769
2016-03-07,22.13,22.299998,22.059998,22.269998,48251300,17.689747
2016-03-08,22.069998,22.159999,21.88,21.91,94684600,17.403789
2016-03-09,21.989999,22.049998,21.86,21.939999,59913500,17.427619
2016-03-10,22.079998,22.179999,21.66,21.919999,95215900,17.411732
2016-03-11,22.14,22.519998,22.14,22.489999,79284300,17.8645
2016-03-14,22.419999,22.479999,22.279998,22.419999,55347900,17.808897
2016-03-15,22.269998,22.409999,22.189999,22.409999,75699100,17.800954
2016-03-16,22.289998,22.499999,22.189999,22.36,72380000,17.761238
2016-03-17,22.36,22.699999,22.199999,22.63,65859500,17.975707
2016-03-18,22.669999,22.82,22.61,22.729999,65031300,18.153891
2016-03-21,22.659999,22.84,22.6,22.689999,47484300,18.121944
2016-03-22,22.529998,22.709999,22.479999,22.62,43482400,18.066038
2016-03-23,22.58,22.62,22.439999,22.449999,55912300,17.930262
2016-03-24,22.249999,22.309998,22.1,22.309998,48500800,17.818447
2016-03-28,22.34,22.449999,22.269998,22.38,36121400,17.874356
2016-03-29,22.289998,22.429999,22.159999,22.419999,44438100,17.906302
2016-03-30,22.539998,22.719999,22.519998,22.549998,37636100,18.010129
2016-03-31,22.489999,22.639999,22.449999,22.499999,39946100,17.970196
2016-04-01,22.39,22.729999,22.299998,22.699999,45753300,18.129931
2016-04-04,22.679999,22.729999,22.539998,22.59,38544800,18.042078
2016-04-05,22.38,22.419999,22.229999,22.269998,61644200,17.7865
2016-04-06,22.229999,22.409999,22.159999,22.39,38129600,17.882342
2016-04-07,22.229999,22.249999,21.85,21.969999,51315200,17.546898
2016-04-08,22.12,22.269998,22.009999,22.049998,55956800,17.610791
2016-04-11,22.15,22.33,22.12,22.14,45423200,17.682673
2016-04-12,22.169999,22.459999,22.12,22.419999,48225900,17.906302
2016-04-13,22.649999,22.949999,22.63,22.929999,69649500,18.313626
2016-04-14,22.82,23.1,22.82,22.979999,52055100,18.35356
2016-04-15,23.039998,23.07,22.86,22.899999,53901800,18.289666
2016-04-18,22.789998,23.09,22.769998,23.07,52434100,18.425442
2016-04-19,23.139999,23.36,23.139999,23.36,57169400,18.657057
2016-04-20,23.35,23.58,23.34,23.54,74743100,18.800819
2016-04-21,23.529998,23.629999,23.269998,23.33,63436800,18.633097
2016-04-22,23.35,23.6,23.35,23.55,46728100,18.808806
2016-04-25,23.449999,23.519998,23.33,23.499998,38189700,18.768871
2016-04-26,23.519998,23.679999,23.489998,23.649999,41664800,18.888673
2016-04-27,23.629999,23.769998,23.55,23.689999,56916100,18.920619
2016-04-28,23.489998,23.679999,23.36,23.439999,74850800,18.720951
2016-04-29,23.31,23.399999,23.1,23.31,60318100,18.617124
2016-05-02,23.33,23.55,23.279998,23.519998,43564600,18.784844
2016-05-03,23.249998,23.269998,23.019998,23.219999,44142100,18.545242
2016-05-04,22.949999,23.159999,22.929999,23.039998,46466700,18.40148
2016-05-05,23.09,23.179999,22.969999,23.029998,47043200,18.393493
2016-05-06,22.86,23.139999,22.86,23.129999,38964100,18.473362
2016-05-09,23.09,23.199999,22.979999,23.07,31989300,18.425442
