Date,Open,High,Low,Close,Volume,Adj Close
2016-01-04,33.389999,33.389999,32.759998,32.990002,111400,32.376817
2016-01-05,32.98,33.419998,32.970001,33.41,24000,32.789008
2016-01-06,33.130001,33.330002,33.110001,33.240002,11800,32.62217
2016-01-07,32.830002,32.950001,32.599998,32.669998,25500,32.062761
2016-01-08,32.75,32.759998,32.139999,32.169998,100300,31.572055
2016-01-11,32.220001,32.459999,32.169998,32.34,52000,31.738897
2016-01-12,32.52,32.52,31.959999,32.240002,99500,31.640757
2016-01-13,32.27,32.299999,31.49,31.65,268400,31.061721
2016-01-14,31.75,32.220001,31.549999,31.959999,43600,31.365959
2016-01-15,31.370001,31.610001,31.0,31.559999,56500,30.973394
2016-01-19,31.870001,31.870001,31.42,31.67,79300,31.08135
2016-01-20,31.27,31.65,30.559999,31.370001,86300,30.786927
2016-01-21,31.48,31.59,31.110001,31.309999,55400,30.728041
2016-01-22,31.58,31.870001,31.530001,31.870001,28500,31.277633
2016-01-25,31.76,31.780001,31.290001,31.33,50500,30.747669
2016-01-26,31.51,32.060001,31.51,32.049999,40100,31.454286
2016-01-27,31.91,32.130001,31.58,31.68,38100,31.091164
2016-01-28,31.91,32.110001,31.9,31.9,27800,31.307075
2016-01-29,32.060001,32.810001,32.060001,32.810001,116800,32.200162
2016-02-01,32.650002,32.91,32.59,32.720001,32900,32.111835
2016-02-02,32.799999,32.799999,32.200001,32.27,305100,31.670198
2016-02-03,32.599998,32.599998,32.0,32.389999,81100,31.787967
2016-02-04,32.34,32.669998,32.189999,32.419998,74900,31.817408
2016-02-05,32.380001,32.400002,32.02,32.02,53300,31.424845
2016-02-08,32.580002,32.580002,31.559999,32.080002,67500,31.483731
2016-02-09,31.780001,32.200001,31.76,31.93,159600,31.336518
2016-02-10,32.16,32.330002,31.790001,31.790001,41900,31.19912
2016-02-11,31.690001,31.690001,31.24,31.52,119700,30.934138
2016-02-12,31.73,31.99,31.68,31.93,188000,31.336518
2016-02-16,32.23,32.52,32.07,32.439999,573500,31.837037
2016-02-17,32.689999,32.77,32.490002,32.490002,251300,31.88611
2016-02-18,32.419998,32.630001,32.330002,32.610001,1472200,32.003879
2016-02-19,32.619999,32.860001,32.619999,32.740002,61500,32.131463
2016-02-22,33.07,33.119999,32.900002,32.91,73100,32.298302
2016-02-23,32.91,32.959999,32.779999,32.779999,103600,32.170717
2016-02-24,32.799999,33.049999,32.459999,33.0,177900,32.386629
2016-02-25,33.16,33.290001,33.0,33.290001,121900,32.67124
2016-02-26,33.27,33.48,33.02,33.130001,58400,32.514214
2016-02-29,33.200001,33.34,32.91,32.93,78200,32.317931
2016-03-01,33.200001,33.459999,33.080002,33.459999,47600,32.838078
2016-03-02,33.509998,33.59,33.299999,33.59,33300,32.965663
2016-03-03,33.580002,33.810001,33.540001,33.810001,206500,33.181575
2016-03-04,33.84,33.959999,33.759998,33.959999,47400,33.328785
2016-03-07,33.830002,34.150002,33.82,34.139999,131700,33.505439
2016-03-08,34.119999,34.119999,33.779999,33.779999,106500,33.15213
2016-03-09,33.959999,34.029999,33.759998,33.849998,58100,33.220829
2016-03-10,33.950001,34.02,33.43,33.650002,75500,33.024549
2016-03-11,33.990002,34.209999,33.869999,34.139999,44600,33.505439
2016-03-14,34.18,34.240002,33.93,34.029999,153100,33.397483
2016-03-15,33.919998,33.970001,33.790001,33.849998,53100,33.220829
2016-03-16,33.830002,34.07,33.790001,33.939999,157400,33.309156
2016-03-17,33.970001,34.68,33.84,34.59,66700,33.947076
2016-03-18,34.689999,34.75,34.5,34.599998,87000,33.956889
2016-03-21,34.599998,34.619999,34.389999,34.459999,55800,33.819491
2016-03-22,34.369999,34.57,34.240002,34.419998,84800,33.780234
2016-03-23,34.439999,34.439999,34.119999,34.119999,80000,33.485811
2016-03-24,34.0,34.18,33.91,34.18,41600,33.544697
2016-03-28,34.369999,34.400002,34.130001,34.279999,201700,33.642837
2016-03-29,34.290001,35.099998,34.240002,35.099998,80200,34.447595
2016-03-30,35.27,35.290001,35.080002,35.139999,111700,34.486852
2016-03-31,35.189999,35.209999,34.98,35.02,88300,34.369084
2016-04-01,34.790001,35.209999,34.790001,35.200001,67200,34.545739
2016-04-04,35.18,35.18,34.849998,34.880001,146200,34.231687
2016-04-05,34.639999,34.709999,34.400002,34.419998,50400,33.780234
2016-04-06,34.41,34.509998,34.299999,34.509998,33900,33.868561
2016-04-07,34.310001,34.349998,33.91,34.080002,43900,33.446557
2016-04-08,34.279999,34.470001,34.099998,34.299999,171000,33.662465
2016-04-11,34.400002,34.610001,34.279999,34.290001,42800,33.652653
2016-04-12,34.290001,34.639999,34.279999,34.59,44900,33.947076
2016-04-13,34.740002,35.110001,34.560001,35.110001,70700,34.457411
2016-04-14,35.09,35.200001,34.939999,35.07,70800,34.418154
2016-04-15,34.98,35.220001,34.98,35.16,50600,34.506481
2016-04-18,35.080002,35.330002,35.07,35.32,227700,34.663507
2016-04-19,35.509998,35.59,35.369999,35.48,127200,34.820533
2016-04-20,35.509998,35.599998,35.299999,35.369999,191900,34.712577
2016-04-21,35.349998,35.43,34.889999,34.939999,66400,34.290569
2016-04-22,35.029999,35.349998,35.029999,35.240002,128400,34.584996
2016-04-25,35.27,35.27,35.02,35.220001,59700,34.565367
2016-04-26,35.27,35.529999,35.240002,35.529999,55400,34.869603
2016-04-27,35.540001,35.630001,35.349998,35.580002,131500,34.918677
2016-04-28,35.529999,35.610001,35.25,35.310001,143300,34.653695
2016-04-29,35.330002,35.459999,35.0,35.240002,93200,34.584996
2016-05-02,35.349998,35.580002,35.299999,35.549999,99300,34.889232
2016-05-03,35.330002,35.389999,34.990002,35.299999,57200,34.643878
2016-05-04,35.18,35.470001,35.16,35.34,88000,34.683136
