Date,Open,High,Low,Close,Volume,Adj Close
2016-01-04,10.38,10.555,10.38,10.555,1500,10.035124
2016-01-05,10.457,10.5,10.43,10.5,700,9.982832
2016-01-06,10.37,10.393,10.36,10.36,800,9.849728
2016-01-07,10.24,10.24,10.0,10.0,1400,9.507459
2016-01-08,10.06,10.06,10.06,10.06,300,9.564505
2016-01-11,10.01,10.094,9.868,9.868,2200,9.381961
2016-01-12,10.0,10.0,9.75,9.804,1900,9.321113
2016-01-13,9.9,9.9,9.52,9.52,1400,9.051102
2016-01-14,9.54,9.788,9.41,9.69,3600,9.212728
2016-01-15,9.56,9.56,9.17,9.35,1800,8.889475
2016-01-19,9.31,9.31,9.31,9.31,1200,8.851445
2016-01-20,9.31,9.31,9.31,9.31,0,8.851445
2016-01-21,9.54,9.54,9.09,9.331,105500,8.871411
2016-01-22,9.69,9.7,9.572,9.572,12000,9.10054
2016-01-25,9.67,9.67,9.43,9.43,500,8.965535
2016-01-26,9.7,9.7,9.61,9.61,2000,9.136668
2016-01-27,9.62,9.8,9.62,9.751,7400,9.270724
2016-01-28,9.943,10.0,9.91,9.97,19100,9.478937
2016-01-29,10.04,10.17,10.0,10.09,8700,9.593027
2016-02-01,10.01,10.01,9.918,9.918,1500,9.429498
2016-02-02,9.82,9.82,9.76,9.76,800,9.279281
2016-02-03,9.899,9.899,9.899,9.899,300,9.411434
2016-02-04,10.19,10.27,10.16,10.16,1700,9.659579
2016-02-05,10.07,10.12,9.87,9.959,12900,9.605566
2016-02-08,9.706,9.706,9.706,9.706,200,9.361545
2016-02-09,9.45,9.45,9.32,9.443,3100,9.107878
2016-02-10,9.31,9.31,9.26,9.31,6600,8.979599
2016-02-11,9.12,9.12,8.99,9.08,18900,8.757761
2016-02-12,9.12,9.19,9.09,9.19,7300,8.863857
2016-02-16,9.33,9.42,9.328,9.34,1600,9.008534
2016-02-17,9.572,9.572,9.572,9.572,400,9.2323
2016-02-18,9.408,9.71,9.408,9.608,3600,9.267022
2016-02-19,9.63,9.63,9.492,9.55,2100,9.211081
2016-02-22,9.59,9.721,9.59,9.64,2000,9.297887
2016-02-23,9.6,9.6,9.45,9.47,1500,9.13392
2016-02-24,9.43,9.43,9.43,9.43,200,9.09534
2016-02-25,9.52,9.52,9.28,9.28,1300,8.950663
2016-02-26,9.53,9.66,9.53,9.64,1600,9.297887
2016-02-29,9.6,9.6,9.6,9.6,200,9.259307
2016-03-01,9.82,9.92,9.77,9.92,1200,9.56795
2016-03-02,9.99,9.99,9.99,9.99,200,9.635466
2016-03-03,10.12,10.12,10.106,10.106,400,9.747349
2016-03-04,10.17,10.17,9.99,9.99,1900,9.635466
2016-03-07,10.1,10.34,10.1,10.34,2000,9.973045
2016-03-08,10.3,10.3,10.21,10.21,6000,9.847658
2016-03-09,10.35,10.41,10.3,10.34,5300,9.973045
2016-03-10,10.34,10.34,10.33,10.33,400,9.9634
2016-03-11,10.556,10.6,10.49,10.6,5100,10.223818
2016-03-14,10.46,10.469,10.45,10.469,1200,10.097467
2016-03-15,10.35,10.43,10.35,10.43,1300,10.059851
2016-03-16,10.31,10.49,10.31,10.4,2000,10.030915
2016-03-17,10.548,10.548,10.509,10.534,900,10.16016
2016-03-18,10.55,10.55,10.39,10.418,3600,10.048277
2016-03-21,10.61,10.61,10.38,10.48,4100,10.108076
2016-03-22,10.373,10.479,10.373,10.45,2000,10.079141
2016-03-23,10.241,10.25,10.21,10.21,1300,9.847658
2016-03-24,10.1,10.1,10.1,10.1,300,9.741562
2016-03-28,10.11,10.28,10.11,10.28,400,9.915174
2016-03-29,10.175,10.46,10.175,10.46,1000,10.088786
2016-03-30,10.49,10.55,10.46,10.46,1000,10.088786
2016-03-31,10.55,10.64,10.53,10.62,9800,10.243108
2016-04-01,10.48,10.579,10.46,10.576,600,10.20067
2016-04-04,10.4,10.4,10.36,10.36,600,9.992335
2016-04-05,10.3,10.304,10.3,10.3,500,9.934464
2016-04-06,10.365,10.446,10.365,10.446,3000,10.075283
2016-04-07,10.49,10.49,10.468,10.468,1200,10.096503
2016-04-08,10.468,10.468,10.468,10.468,0,10.096503
2016-04-11,10.68,10.68,10.551,10.551,14600,10.176556
2016-04-12,10.6,10.643,10.591,10.593,1700,10.217066
2016-04-13,10.65,10.67,10.605,10.618,3100,10.241179
2016-04-14,10.622,10.622,10.61,10.61,500,10.233462
2016-04-15,10.6,10.65,10.56,10.56,1100,10.185238
2016-04-18,10.61,10.7,10.52,10.7,7900,10.320269
