Date,Open,High,Low,Close,Volume,Adj Close
2016-01-04,4.67,4.8,4.58,4.69,16800,21.111044
2016-01-05,4.64,4.75,4.6,4.66,13800,20.976004
2016-01-06,4.54,4.57,4.44,4.45,14900,20.030734
2016-01-07,4.35,4.38,4.23,4.24,13500,19.085464
2016-01-08,4.24,4.44,4.24,4.37,8300,19.670632
2016-01-11,4.42,4.43,4.13,4.19,25500,18.8604
2016-01-12,4.19,4.24,3.89,4.03,40100,18.140193
2016-01-13,4.03,4.1,3.8,3.81,33700,17.149909
2016-01-14,3.84,3.95,3.71,3.93,50000,17.690064
2016-01-15,3.75,3.9,3.7,3.78,31000,17.014871
2016-01-19,3.74,3.81,3.46,3.48,92500,15.664484
2016-01-20,3.45,3.47,3.11,3.42,47800,15.394407
2016-01-21,3.37,3.73,3.37,3.61,17600,16.249651
2016-01-22,3.7,4.03,3.7,3.97,20900,17.870116
2016-01-25,3.97,4.11,3.84,3.87,11700,17.419987
2016-01-26,3.91,4.11,3.86,4.08,11500,18.365257
2016-01-27,4.11,4.2,4.02,4.09,21500,18.410271
2016-01-28,4.37,4.37,4.1,4.22,30800,18.995438
2016-01-29,4.2,4.36,4.2,4.27,25300,19.220503
2016-02-01,4.18,4.19,4.11,4.18,14900,18.815386
2016-02-02,4.05,4.1,3.98,4.08,60400,18.365257
2016-02-03,4.11,4.11,3.91,4.08,24500,18.365257
2016-02-04,4.1,4.2,4.04,4.08,19500,18.365257
2016-02-05,4.08,4.1,3.98,3.99,11100,17.960142
2016-02-08,3.97,3.97,3.68,3.76,36100,16.924844
2016-02-09,3.71,3.72,3.5,3.58,28300,16.114613
2016-02-10,3.65,3.65,3.48,3.5,21200,15.75451
2016-02-11,3.45,3.47,3.25,3.32,33800,14.944278
2016-02-12,3.13,3.32,3.09,3.29,24200,15.708203
2016-02-16,3.38,3.48,3.32,3.45,28300,16.472127
2016-02-17,3.5,3.63,3.5,3.58,19300,17.092816
2016-02-18,3.6,3.64,3.45,3.49,59100,16.663109
2016-02-19,3.44,3.59,3.32,3.39,32100,16.185656
2016-02-22,3.64,3.64,3.43,3.58,26300,17.092816
2016-02-23,3.48,3.57,3.38,3.39,56400,16.185656
2016-02-24,3.28,3.44,3.24,3.41,20200,16.281146
2016-02-25,3.34,3.51,3.31,3.42,21000,16.328892
2016-02-26,3.5,3.57,3.47,3.5,13200,16.710854
2016-02-29,3.56,3.69,3.51,3.57,17900,17.045071
2016-03-01,3.56,3.72,3.5,3.69,22900,17.618015
2016-03-02,3.62,3.81,3.62,3.81,18700,18.190957
2016-03-03,3.8,3.97,3.8,3.96,20300,18.907137
2016-03-04,4.0,4.1,3.93,4.0,30000,19.098119
2016-03-07,3.96,4.16,3.9,4.13,31800,19.718807
2016-03-08,4.13,4.15,3.87,3.91,50700,18.66841
2016-03-09,3.92,4.05,3.85,3.93,41400,18.763901
2016-03-10,3.93,3.93,3.78,3.85,20500,18.381939
2016-03-11,3.88,3.98,3.85,3.88,27000,18.525175
2016-03-14,3.82,3.93,3.8,3.91,21100,18.66841
2016-03-15,3.87,3.87,3.77,3.83,19900,18.286448
2016-03-16,3.9,3.99,3.86,3.99,13300,19.050374
2016-03-17,3.98,4.18,3.86,4.16,37200,19.862043
2016-03-18,4.18,4.23,4.08,4.12,46400,19.671063
2016-03-21,4.15,4.24,4.01,4.07,17200,19.432336
2016-03-22,4.07,4.08,4.0,4.06,13000,19.38459
2016-03-23,4.05,4.06,3.91,3.92,14900,18.716157
2016-03-24,3.82,3.96,3.8,3.95,24000,18.859392
2016-03-28,3.94,3.98,3.87,3.92,11000,18.716157
2016-03-29,3.85,4.0,3.8,3.99,11600,19.050374
2016-03-30,4.0,4.06,4.0,4.02,18300,19.19361
2016-03-31,4.0,4.04,4.0,4.04,46800,19.289101
2016-04-01,3.95,4.06,3.93,3.95,26500,18.859392
2016-04-04,3.92,3.99,3.86,3.86,30700,18.429684
2016-04-05,3.87,3.93,3.87,3.9,7900,18.620666
2016-04-06,3.94,3.98,3.89,3.94,10500,18.811648
2016-04-07,3.98,4.01,3.94,3.98,14300,19.002628
2016-04-08,4.0,4.1,4.0,4.05,18300,19.336845
2016-04-11,4.12,4.14,4.1,4.1,46000,19.575572
2016-04-12,4.14,4.21,4.11,4.21,41900,20.100769
2016-04-13,4.25,4.25,4.18,4.23,39100,20.19626
2016-04-14,4.25,4.25,4.15,4.17,36600,19.909789
2016-04-15,4.15,4.19,4.1,4.16,41500,19.862043
2016-04-18,4.1,4.16,4.05,4.15,33300,19.814298
2016-04-19,4.15,4.26,4.15,4.26,39700,20.339496
2016-04-20,4.27,4.35,4.22,4.32,56700,20.625969
2016-04-21,4.36,4.4,4.32,4.34,41700,20.72146
2016-04-22,4.34,4.53,4.34,4.48,24200,21.389893
2016-04-25,4.48,4.52,4.4,4.42,29500,21.103422
2016-04-26,4.42,4.53,4.4,4.51,89200,21.533128
2016-04-27,4.55,4.62,4.52,4.58,72800,21.867346
2016-04-28,4.55,4.64,4.55,4.59,51600,21.915092
2016-04-29,4.67,4.67,4.47,4.52,60600,21.580875
2016-05-02,4.68,4.68,4.42,4.5,51100,21.485384
2016-05-03,4.44,4.44,4.3,4.41,30100,21.055675
2016-05-04,4.39,4.46,4.37,4.42,26800,21.103422
2016-05-05,4.48,4.62,4.42,4.45,19100,21.246657
2016-05-06,4.45,4.55,4.43,4.55,16600,21.72411
2016-05-09,4.56,4.56,4.4,4.45,114300,21.246657
2016-05-10,4.43,4.53,4.43,4.52,16300,21.580875
2016-05-11,4.46,4.61,4.42,4.58,22400,21.867346
2016-05-12,4.64,4.65,4.55,4.57,14200,21.819601
2016-05-13,4.52,4.75,4.5,4.53,20400,21.628619
2016-05-16,4.55,4.55,4.45,4.5,40100,21.970381
2016-05-17,4.47,4.58,4.47,4.56,35000,22.263318
2016-05-18,4.53,4.58,4.44,4.47,16600,21.823912
2016-05-19,4.41,4.53,4.4,4.5,41300,21.970381
2016-05-20,4.53,4.55,4.48,4.53,27100,22.11685
2016-05-23,4.52,4.55,4.46,4.54,59300,22.165674
2016-05-24,4.56,4.57,4.48,4.51,149900,22.019203
2016-05-25,4.51,4.64,4.51,4.57,39400,22.312143
2016-05-26,4.57,4.65,4.53,4.54,22000,22.165674
2016-05-27,4.51,4.57,4.51,4.56,5800,22.263318
2016-05-31,4.53,4.63,4.53,4.58,17400,22.360965
2016-06-01,4.51,4.67,4.51,4.65,13300,22.702727
2016-06-02,4.6,4.76,4.6,4.76,23900,23.23978
2016-06-03,4.76,4.82,4.74,4.79,12900,23.38625
2016-06-06,4.83,4.87,4.8,4.85,38700,23.679188
2016-06-07,4.83,4.91,4.83,4.89,24700,23.874481
2016-06-08,4.94,4.96,4.85,4.87,45700,23.776835
2016-06-09,4.85,4.86,4.74,4.78,14800,23.337426
2016-06-10,4.75,4.76,4.66,4.68,19700,22.849196
2016-06-13,4.62,4.68,4.6,4.6,33900,22.458611
2016-06-14,4.6,4.6,4.5,4.56,37200,22.263318
2016-06-15,4.51,4.66,4.51,4.62,23100,22.556258
2016-06-16,4.61,4.61,4.5,4.6,20700,22.458611
2016-06-17,4.64,4.7,4.64,4.65,11500,22.702727
2016-06-20,4.74,4.75,4.6,4.7,11800,22.946842
2016-06-21,4.67,4.75,4.67,4.71,21800,22.995664
2016-06-22,4.7,4.78,4.67,4.69,15800,22.89802
2016-06-23,4.7,4.76,4.69,4.75,23400,23.190957
2016-06-24,4.6,4.74,4.55,4.66,25100,22.751549
2016-06-27,4.57,4.6,4.43,4.45,59800,21.726265
2016-06-28,4.59,4.69,4.58,4.68,16100,22.849196
2016-06-29,23.93,23.93,23.41,23.780001,44500,23.220252
2016-06-30,23.780001,23.780001,23.1,23.75,46900,23.190957
2016-07-01,23.5,24.139999,23.5,24.049999,29800,23.483895
2016-07-05,23.5,23.969999,23.33,23.620001,58500,23.064018
2016-07-06,23.34,24.01,23.299999,24.0,59700,23.435072
2016-07-07,24.01,24.18,23.58,23.59,30100,23.034723
2016-07-08,23.66,24.200001,23.440001,24.110001,68600,23.542484
2016-07-11,24.059999,24.360001,23.940001,23.950001,95700,23.38625
2016-07-12,24.15,24.620001,24.139999,24.459999,48900,23.884244
2016-07-13,24.34,24.49,24.129999,24.24,17200,23.669423
2016-07-14,24.280001,24.450001,24.280001,24.32,30400,23.74754
2016-07-15,24.33,24.459999,24.24,24.379999,45300,23.806127
2016-07-18,24.200001,24.59,24.120001,24.540001,18000,23.962362
2016-07-19,24.42,24.6,24.379999,24.51,38600,23.933068
2016-07-20,24.23,24.790001,24.23,24.790001,23200,24.206478
2016-07-21,24.9,24.9,24.5,24.5,16200,23.923303
2016-07-22,24.41,24.690001,24.389999,24.639999,10200,24.060007
2016-07-25,24.360001,24.370001,24.16,24.32,23000,23.74754
2016-07-26,24.15,24.799999,24.0,24.719999,51100,24.138124
2016-07-27,24.700001,24.92,24.51,24.51,9700,23.933068
2016-07-28,24.32,24.68,24.32,24.59,7600,24.011185
2016-07-29,24.440001,24.91,24.290001,24.91,11700,24.323652
2016-08-01,24.75,25.0,24.34,24.42,18500,23.845186
2016-08-02,24.5,24.5,24.01,24.200001,53100,23.630365
2016-08-03,24.370001,24.799999,24.059999,24.690001,17300,24.108831
2016-08-04,24.540001,25.110001,24.540001,24.99,18700,24.401769
2016-08-05,24.959999,25.389999,24.950001,25.190001,21600,24.597062
2016-08-08,25.209999,25.76,25.209999,25.58,25900,24.977881
2016-08-09,25.6,25.6,25.25,25.440001,16100,24.841177
2016-08-10,25.32,25.43,25.129999,25.18,28500,24.587297
